user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2043,Coop,0,108,8,20,-12,-5,2045,Coop,0,108,8,20,-12,-5,146663
2045,Coop,0,116,8,20,-12,-5,2043,Coop,0,116,8,20,-12,-5,146664
2043,Coop,0,124,8,20,-12,-5,2045,Coop,0,124,8,20,-12,-5,146665
2045,Coop,0,132,8,20,-12,-5,2043,Coop,0,132,8,20,-12,-5,146666
2043,Coop,0,140,8,20,-12,-5,2045,Coop,0,140,8,20,-12,-5,146667
2045,Coop,0,148,8,20,-12,-5,2043,Coop,0,148,8,20,-12,-5,146668
2043,Coop,0,156,8,20,-12,-5,2045,Coop,0,156,8,20,-12,-5,146669
2045,Coop,0,164,8,20,-12,-5,2043,Coop,0,164,8,20,-12,-5,146670
2043,Coop,0,172,8,20,-12,-5,2045,Coop,0,172,8,20,-12,-5,146671
2045,Coop,0,180,8,20,-12,-5,2043,Coop,0,180,8,20,-12,-5,146672
2043,Coop,0,188,8,20,-12,-5,2045,Coop,0,188,8,20,-12,-5,146673
2045,Coop,0,196,8,20,-12,-5,2043,Coop,0,196,8,20,-12,-5,146674
2043,Coop,0,204,8,20,-12,-5,2045,Coop,0,204,8,20,-12,-5,146675
2045,Coop,0,212,8,20,-12,-5,2043,Coop,0,212,8,20,-12,-5,146676
2043,Coop,0,220,8,20,-12,-5,2045,Coop,0,220,8,20,-12,-5,146677
2045,Coop,0,228,8,20,-12,-5,2043,Coop,0,228,8,20,-12,-5,146678
2043,Coop,0,236,8,20,-12,-5,2045,Coop,0,236,8,20,-12,-5,146679
2045,Coop,0,244,8,20,-12,-5,2043,Coop,0,244,8,20,-12,-5,146680
2043,Coop,0,252,8,20,-12,-5,2045,Coop,0,252,8,20,-12,-5,146681
2045,Coop,0,260,8,20,-12,-5,2043,Coop,0,260,8,20,-12,-5,146682
2043,Coop,0,268,8,20,-12,-5,2045,Coop,0,268,8,20,-12,-5,146683
2045,Coop,0,276,8,20,-12,-5,2043,Coop,0,276,8,20,-12,-5,146684
2043,Coop,0,284,8,20,-12,-5,2045,Coop,0,284,8,20,-12,-5,146685
2045,Coop,0,292,8,20,-12,-5,2043,Coop,0,292,8,20,-12,-5,146686
2043,Coop,0,300,8,20,-12,-5,2045,Coop,0,300,8,20,-12,-5,146687
2045,Coop,0,308,8,20,-12,-5,2043,Coop,0,308,8,20,-12,-5,146688
2043,Coop,0,316,8,20,-12,-5,2045,Coop,0,316,8,20,-12,-5,146689
2045,Coop,0,324,8,20,-12,-5,2043,Coop,0,324,8,20,-12,-5,146690
2043,Coop,0,332,8,20,-12,-5,2045,Coop,0,332,8,20,-12,-5,146691
2045,Coop,0,340,8,20,-12,-5,2043,Coop,0,340,8,20,-12,-5,146692
2043,Coop,0,348,8,20,-12,-5,2045,Coop,0,348,8,20,-12,-5,146693
2045,Coop,0,356,8,20,-12,-5,2043,Coop,0,356,8,20,-12,-5,146694
2043,Coop,0,364,8,20,-12,-5,2045,Coop,0,364,8,20,-12,-5,146695
2045,Coop,0,372,8,20,-12,-5,2043,Coop,0,372,8,20,-12,-5,146696
2043,Coop,0,380,8,20,-12,-5,2045,Coop,0,380,8,20,-12,-5,146697
2045,Coop,0,388,8,20,-12,-5,2043,Coop,0,388,8,20,-12,-5,146698
2043,Coop,0,396,8,20,-12,-5,2045,Coop,0,396,8,20,-12,-5,146699
2045,Coop,0,404,8,20,-12,-5,2043,Coop,0,404,8,20,-12,-5,146700
2043,Coop,0,412,8,20,-12,-5,2045,Coop,0,412,8,20,-12,-5,146701
2045,Coop,0,420,8,20,-12,-5,2043,Coop,0,420,8,20,-12,-5,146702
2043,Coop,0,428,8,20,-12,-5,2045,Coop,0,428,8,20,-12,-5,146703
2045,Coop,0,436,8,20,-12,-5,2043,Coop,0,436,8,20,-12,-5,146704
2043,Coop,0,444,8,20,-12,-5,2045,Coop,0,444,8,20,-12,-5,146705
2045,Coop,0,452,8,20,-12,-5,2043,Coop,0,452,8,20,-12,-5,146706
2043,Coop,0,460,8,20,-12,-5,2045,Coop,0,460,8,20,-12,-5,146707
2045,Coop,0,468,8,20,-12,-5,2043,Coop,0,468,8,20,-12,-5,146708
2043,Coop,0,476,8,20,-12,-5,2045,Coop,0,476,8,20,-12,-5,146709
2045,Coop,0,484,8,20,-12,-5,2043,Coop,0,484,8,20,-12,-5,146710
2043,Coop,0,492,8,20,-12,-5,2045,Coop,0,492,8,20,-12,-5,146711
2045,Coop,0,500,8,20,-12,-5,2043,Coop,0,500,8,20,-12,-5,146712
2043,Coop,0,508,8,20,-12,-5,2045,Coop,0,508,8,20,-12,-5,146713
2045,Coop,0,516,8,20,-12,-5,2043,Coop,0,516,8,20,-12,-5,146714
2043,Coop,0,524,8,20,-12,-5,2045,Coop,0,524,8,20,-12,-5,146715
2045,Coop,0,532,8,20,-12,-5,2043,Coop,0,532,8,20,-12,-5,146716
2043,Coop,0,540,8,20,-12,-5,2045,Coop,0,540,8,20,-12,-5,146717
2045,Coop,0,548,8,20,-12,-5,2043,Coop,0,548,8,20,-12,-5,146718
2043,Coop,0,556,8,20,-12,-5,2045,Coop,0,556,8,20,-12,-5,146719
2045,Coop,0,564,8,20,-12,-5,2043,Coop,0,564,8,20,-12,-5,146720
2043,Coop,0,572,8,20,-12,-5,2045,Coop,0,572,8,20,-12,-5,146721
2045,Coop,0,580,8,20,-12,-5,2043,Coop,0,580,8,20,-12,-5,146722
2043,Coop,0,588,8,20,-12,-5,2045,Coop,0,588,8,20,-12,-5,146723
2045,Coop,0,596,8,20,-12,-5,2043,Coop,0,596,8,20,-12,-5,146724
2043,Coop,0,604,8,20,-12,-5,2045,Coop,0,604,8,20,-12,-5,146725
2043,Buy,0,604,8,20,-12,-5,2043,Buy,0,104,9,21,-11,-4,146726
2045,Buy,0,604,8,20,-12,-5,2045,Buy,0,104,9,21,-11,-4,146727
2045,Coop,0,113,9,21,-11,-4,2043,Coop,0,113,9,21,-11,-4,146728
2043,Coop,0,122,9,21,-11,-4,2045,Coop,0,122,9,21,-11,-4,146729
2045,Coop,0,131,9,21,-11,-4,2043,Coop,0,131,9,21,-11,-4,146730
2043,Coop,0,140,9,21,-11,-4,2045,Coop,0,140,9,21,-11,-4,146731
2045,Coop,0,149,9,21,-11,-4,2043,Coop,0,149,9,21,-11,-4,146732
2043,Coop,0,158,9,21,-11,-4,2045,Coop,0,158,9,21,-11,-4,146733
2045,Coop,0,167,9,21,-11,-4,2043,Coop,0,167,9,21,-11,-4,146734
2043,Coop,0,176,9,21,-11,-4,2045,Coop,0,176,9,21,-11,-4,146735
2045,Coop,0,185,9,21,-11,-4,2043,Coop,0,185,9,21,-11,-4,146736
2043,Coop,0,194,9,21,-11,-4,2045,Coop,0,194,9,21,-11,-4,146737
2045,Coop,0,203,9,21,-11,-4,2043,Coop,0,203,9,21,-11,-4,146738
2043,Coop,0,212,9,21,-11,-4,2045,Coop,0,212,9,21,-11,-4,146739
2045,Coop,0,221,9,21,-11,-4,2043,Coop,0,221,9,21,-11,-4,146740
