user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2043,Coop,0,88,8,20,-12,-5,2048,Deflect,0,120,8,20,-12,-5,148811
2048,Coop,0,128,8,20,-12,-5,2043,Coop,0,96,8,20,-12,-5,148812
2043,Coop,0,84,8,20,-12,-5,2048,Deflect,0,148,8,20,-12,-5,148813
2048,Coop,0,156,8,20,-12,-5,2043,Coop,0,92,8,20,-12,-5,148814
2043,Coop,0,80,8,20,-12,-5,2048,Deflect,0,176,8,20,-12,-5,148815
2048,Coop,0,184,8,20,-12,-5,2043,Coop,0,88,8,20,-12,-5,148816
2043,Coop,0,76,8,20,-12,-5,2048,Deflect,0,204,8,20,-12,-5,148817
2048,Coop,0,212,8,20,-12,-5,2043,Coop,0,84,8,20,-12,-5,148818
2043,Coop,0,72,8,20,-12,-5,2048,Deflect,0,232,8,20,-12,-5,148819
2048,Coop,0,240,8,20,-12,-5,2043,Coop,0,80,8,20,-12,-5,148820
2043,Coop,0,68,8,20,-12,-5,2048,Deflect,0,260,8,20,-12,-5,148821
2048,Coop,0,268,8,20,-12,-5,2043,Coop,0,76,8,20,-12,-5,148822
2043,Coop,0,64,8,20,-12,-5,2048,Deflect,0,288,8,20,-12,-5,148823
2048,Coop,0,296,8,20,-12,-5,2043,Coop,0,72,8,20,-12,-5,148824
2043,Coop,0,60,8,20,-12,-5,2048,Deflect,0,316,8,20,-12,-5,148825
2048,Coop,0,324,8,20,-12,-5,2043,Coop,0,68,8,20,-12,-5,148826
2043,Coop,0,56,8,20,-12,-5,2048,Deflect,0,344,8,20,-12,-5,148827
2048,Coop,0,352,8,20,-12,-5,2043,Coop,0,64,8,20,-12,-5,148828
2043,Coop,0,52,8,20,-12,-5,2048,Deflect,0,372,8,20,-12,-5,148829
2048,Coop,0,380,8,20,-12,-5,2043,Coop,0,60,8,20,-12,-5,148830
2043,Coop,0,48,8,20,-12,-5,2048,Deflect,0,400,8,20,-12,-5,148831
2048,Coop,0,408,8,20,-12,-5,2043,Coop,0,56,8,20,-12,-5,148832
2043,Coop,0,44,8,20,-12,-5,2048,Deflect,0,428,8,20,-12,-5,148833
2048,Coop,0,436,8,20,-12,-5,2043,Coop,0,52,8,20,-12,-5,148834
2043,Coop,0,40,8,20,-12,-5,2048,Deflect,0,456,8,20,-12,-5,148835
2048,Coop,0,464,8,20,-12,-5,2043,Coop,0,48,8,20,-12,-5,148836
2043,Coop,0,36,8,20,-12,-5,2048,Deflect,0,484,8,20,-12,-5,148837
2048,Coop,0,492,8,20,-12,-5,2043,Coop,0,44,8,20,-12,-5,148838
2043,Coop,0,32,8,20,-12,-5,2048,Deflect,0,512,8,20,-12,-5,148839
2048,Coop,0,520,8,20,-12,-5,2043,Coop,0,40,8,20,-12,-5,148840
2043,Coop,0,28,8,20,-12,-5,2048,Deflect,0,540,8,20,-12,-5,148841
2048,Coop,0,548,8,20,-12,-5,2043,Coop,0,36,8,20,-12,-5,148842
2043,Coop,0,24,8,20,-12,-5,2048,Deflect,0,568,8,20,-12,-5,148843
2048,Coop,0,576,8,20,-12,-5,2043,Coop,0,32,8,20,-12,-5,148844
2043,Coop,0,20,8,20,-12,-5,2048,Deflect,0,596,8,20,-12,-5,148845
2048,Coop,0,604,8,20,-12,-5,2043,Coop,0,28,8,20,-12,-5,148846
2048,Buy,0,604,8,20,-12,-5,2048,Buy,0,104,9,21,-11,-4,148847
2043,Coop,0,16,8,20,-12,-5,2048,Deflect,0,125,9,21,-11,-4,148848
2048,Coop,0,134,9,21,-11,-4,2043,Coop,0,24,8,20,-12,-5,148849
2043,Coop,0,12,8,20,-12,-5,2048,Deflect,0,155,9,21,-11,-4,148850
2048,Coop,0,164,9,21,-11,-4,2043,Coop,0,20,8,20,-12,-5,148851
2043,Coop,0,8,8,20,-12,-5,2048,Deflect,0,185,9,21,-11,-4,148852
2048,Coop,0,194,9,21,-11,-4,2043,Coop,0,16,8,20,-12,-5,148853
2043,Coop,0,4,8,20,-12,-5,2048,Deflect,0,215,9,21,-11,-4,148854
2048,Coop,0,224,9,21,-11,-4,2043,Coop,0,12,8,20,-12,-5,148855
2043,Coop,0,0,8,20,-12,-5,2048,Deflect,0,245,9,21,-11,-4,148856
