user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2042,Deflect,0,95,8,20,-12,-5,2046,Deflect,0,95,8,20,-12,-5,146608
2046,Coop,0,83,8,20,-12,-5,2042,Deflect,0,115,8,20,-12,-5,146609
2042,Deflect,0,135,8,20,-12,-5,2046,Coop,0,71,8,20,-12,-5,146610
2046,Deflect,0,66,8,20,-12,-5,2042,Deflect,0,130,8,20,-12,-5,146611
2042,Deflect,0,125,8,20,-12,-5,2046,Deflect,0,61,8,20,-12,-5,146612
2046,Deflect,0,56,8,20,-12,-5,2042,Deflect,0,120,8,20,-12,-5,146613
2042,Deflect,0,115,8,20,-12,-5,2046,Deflect,0,51,8,20,-12,-5,146614
2046,Deflect,0,46,8,20,-12,-5,2042,Deflect,0,110,8,20,-12,-5,146615
2042,Deflect,0,105,8,20,-12,-5,2046,Deflect,0,41,8,20,-12,-5,146616
2046,Deflect,0,36,8,20,-12,-5,2042,Deflect,0,100,8,20,-12,-5,146617
2042,Deflect,0,95,8,20,-12,-5,2046,Deflect,0,31,8,20,-12,-5,146618
2046,Deflect,0,26,8,20,-12,-5,2042,Deflect,0,90,8,20,-12,-5,146619
2042,Deflect,0,85,8,20,-12,-5,2046,Deflect,0,21,8,20,-12,-5,146620
2046,Deflect,0,16,8,20,-12,-5,2042,Deflect,0,80,8,20,-12,-5,146621
2042,Deflect,0,75,8,20,-12,-5,2046,Deflect,0,11,8,20,-12,-5,146622
2046,Deflect,0,6,8,20,-12,-5,2042,Deflect,0,70,8,20,-12,-5,146623
2042,Deflect,0,65,8,20,-12,-5,2046,Deflect,0,1,8,20,-12,-5,146624
2046,Deflect,0,-4,8,20,-12,-5,2042,Deflect,0,60,8,20,-12,-5,146625
