user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2042,Deflect,0,95,8,20,-12,-5,2051,Deflect,0,95,8,20,-12,-5,154280
2051,Deflect,0,90,8,20,-12,-5,2042,Deflect,0,90,8,20,-12,-5,154281
2042,Deflect,0,85,8,20,-12,-5,2051,Deflect,0,85,8,20,-12,-5,154282
2051,Deflect,0,80,8,20,-12,-5,2042,Deflect,0,80,8,20,-12,-5,154283
2042,Deflect,0,75,8,20,-12,-5,2051,Deflect,0,75,8,20,-12,-5,154284
2051,Deflect,0,70,8,20,-12,-5,2042,Deflect,0,70,8,20,-12,-5,154285
2042,Deflect,0,65,8,20,-12,-5,2051,Deflect,0,65,8,20,-12,-5,154286
2051,Deflect,0,60,8,20,-12,-5,2042,Deflect,0,60,8,20,-12,-5,154287
2042,Deflect,0,55,8,20,-12,-5,2051,Deflect,0,55,8,20,-12,-5,154288
2051,Deflect,0,50,8,20,-12,-5,2042,Deflect,0,50,8,20,-12,-5,154289
2042,Deflect,0,45,8,20,-12,-5,2051,Deflect,0,45,8,20,-12,-5,154290
2051,Deflect,0,40,8,20,-12,-5,2042,Deflect,0,40,8,20,-12,-5,154291
2042,Deflect,0,35,8,20,-12,-5,2051,Deflect,0,35,8,20,-12,-5,154292
2051,Deflect,0,30,8,20,-12,-5,2042,Deflect,0,30,8,20,-12,-5,154293
2042,Deflect,0,25,8,20,-12,-5,2051,Deflect,0,25,8,20,-12,-5,154294
2051,Deflect,0,20,8,20,-12,-5,2042,Deflect,0,20,8,20,-12,-5,154295
2042,Deflect,0,15,8,20,-12,-5,2051,Deflect,0,15,8,20,-12,-5,154296
2051,Deflect,0,10,8,20,-12,-5,2042,Deflect,0,10,8,20,-12,-5,154297
2042,Deflect,0,5,8,20,-12,-5,2051,Deflect,0,5,8,20,-12,-5,154298
2051,Deflect,0,0,8,20,-12,-5,2042,Deflect,0,0,8,20,-12,-5,154299
