user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2046,Deflect,0,95,8,20,-12,-5,2051,Deflect,0,95,8,20,-12,-5,152174
2051,Coop,0,103,8,20,-12,-5,2046,Coop,0,103,8,20,-12,-5,152175
2046,Coop,0,111,8,20,-12,-5,2051,Coop,0,111,8,20,-12,-5,152176
2051,Deflect,0,106,8,20,-12,-5,2046,Deflect,0,106,8,20,-12,-5,152177
2046,Deflect,0,101,8,20,-12,-5,2051,Deflect,0,101,8,20,-12,-5,152178
2051,Deflect,0,96,8,20,-12,-5,2046,Deflect,0,96,8,20,-12,-5,152179
2046,Deflect,0,91,8,20,-12,-5,2051,Deflect,0,91,8,20,-12,-5,152180
2051,Deflect,0,86,8,20,-12,-5,2046,Deflect,0,86,8,20,-12,-5,152181
2046,Deflect,0,81,8,20,-12,-5,2051,Deflect,0,81,8,20,-12,-5,152182
2051,Deflect,0,76,8,20,-12,-5,2046,Deflect,0,76,8,20,-12,-5,152183
2046,Deflect,0,71,8,20,-12,-5,2051,Deflect,0,71,8,20,-12,-5,152184
2051,Deflect,0,66,8,20,-12,-5,2046,Deflect,0,66,8,20,-12,-5,152185
2046,Deflect,0,61,8,20,-12,-5,2051,Deflect,0,61,8,20,-12,-5,152186
2051,Deflect,0,56,8,20,-12,-5,2046,Deflect,0,56,8,20,-12,-5,152187
2046,Deflect,0,51,8,20,-12,-5,2051,Deflect,0,51,8,20,-12,-5,152188
2051,Deflect,0,46,8,20,-12,-5,2046,Deflect,0,46,8,20,-12,-5,152189
2046,Deflect,0,41,8,20,-12,-5,2051,Deflect,0,41,8,20,-12,-5,152190
2051,Deflect,0,36,8,20,-12,-5,2046,Deflect,0,36,8,20,-12,-5,152191
2046,Deflect,0,31,8,20,-12,-5,2051,Deflect,0,31,8,20,-12,-5,152192
2051,Deflect,0,26,8,20,-12,-5,2046,Deflect,0,26,8,20,-12,-5,152193
2046,Deflect,0,21,8,20,-12,-5,2051,Deflect,0,21,8,20,-12,-5,152194
2051,Deflect,0,16,8,20,-12,-5,2046,Deflect,0,16,8,20,-12,-5,152195
2046,Deflect,0,11,8,20,-12,-5,2051,Deflect,0,11,8,20,-12,-5,152196
2051,Deflect,0,6,8,20,-12,-5,2046,Deflect,0,6,8,20,-12,-5,152197
2046,Deflect,0,1,8,20,-12,-5,2051,Deflect,0,1,8,20,-12,-5,152198
2051,Deflect,0,-4,8,20,-12,-5,2046,Deflect,0,-4,8,20,-12,-5,152199
