user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2046,Deflect,0,95,8,20,-12,-5,2048,Deflect,0,95,8,20,-12,-5,149981
2048,Coop,0,103,8,20,-12,-5,2046,Coop,0,103,8,20,-12,-5,149982
2046,Coop,0,91,8,20,-12,-5,2048,Deflect,0,123,8,20,-12,-5,149983
2048,Coop,0,111,8,20,-12,-5,2046,Deflect,0,111,8,20,-12,-5,149984
2046,Deflect,0,106,8,20,-12,-5,2048,Deflect,0,106,8,20,-12,-5,149985
2048,Coop,0,94,8,20,-12,-5,2046,Deflect,0,126,8,20,-12,-5,149986
2046,Deflect,0,121,8,20,-12,-5,2048,Deflect,0,89,8,20,-12,-5,149987
2048,Coop,0,77,8,20,-12,-5,2046,Deflect,0,141,8,20,-12,-5,149988
2046,Deflect,0,136,8,20,-12,-5,2048,Deflect,0,72,8,20,-12,-5,149989
2048,Coop,0,60,8,20,-12,-5,2046,Deflect,0,156,8,20,-12,-5,149990
2046,Deflect,0,151,8,20,-12,-5,2048,Deflect,0,55,8,20,-12,-5,149991
2048,Coop,0,43,8,20,-12,-5,2046,Deflect,0,171,8,20,-12,-5,149992
2046,Deflect,0,166,8,20,-12,-5,2048,Deflect,0,38,8,20,-12,-5,149993
2048,Coop,0,26,8,20,-12,-5,2046,Deflect,0,186,8,20,-12,-5,149994
2046,Deflect,0,181,8,20,-12,-5,2048,Deflect,0,21,8,20,-12,-5,149995
2048,Coop,0,9,8,20,-12,-5,2046,Deflect,0,201,8,20,-12,-5,149996
2046,Deflect,0,196,8,20,-12,-5,2048,Deflect,0,4,8,20,-12,-5,149997
2048,Coop,0,-8,8,20,-12,-5,2046,Deflect,0,216,8,20,-12,-5,149998
