user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2041,Deflect,0,120,8,20,-12,-5,2043,Coop,0,88,8,20,-12,-5,143046
2043,Coop,0,96,8,20,-12,-5,2041,Coop,0,128,8,20,-12,-5,143047
2041,Deflect,0,148,8,20,-12,-5,2043,Coop,0,84,8,20,-12,-5,143048
2043,Coop,0,92,8,20,-12,-5,2041,Coop,0,156,8,20,-12,-5,143049
2041,Coop,0,164,8,20,-12,-5,2043,Coop,0,100,8,20,-12,-5,143050
2043,Coop,0,108,8,20,-12,-5,2041,Coop,0,172,8,20,-12,-5,143051
2041,Coop,0,180,8,20,-12,-5,2043,Coop,0,116,8,20,-12,-5,143052
2043,Coop,0,124,8,20,-12,-5,2041,Coop,0,188,8,20,-12,-5,143053
2041,Coop,0,196,8,20,-12,-5,2043,Coop,0,132,8,20,-12,-5,143054
2043,Coop,0,120,8,20,-12,-5,2041,Deflect,0,216,8,20,-12,-5,143055
2041,Deflect,0,236,8,20,-12,-5,2043,Coop,0,108,8,20,-12,-5,143056
2043,Coop,0,96,8,20,-12,-5,2041,Deflect,0,256,8,20,-12,-5,143057
2041,Deflect,0,276,8,20,-12,-5,2043,Coop,0,84,8,20,-12,-5,143058
2043,Coop,0,92,8,20,-12,-5,2041,Coop,0,284,8,20,-12,-5,143059
2041,Deflect,0,304,8,20,-12,-5,2043,Coop,0,80,8,20,-12,-5,143060
2043,Coop,0,88,8,20,-12,-5,2041,Coop,0,312,8,20,-12,-5,143061
2041,Coop,0,320,8,20,-12,-5,2043,Coop,0,96,8,20,-12,-5,143062
2043,Coop,0,84,8,20,-12,-5,2041,Deflect,0,340,8,20,-12,-5,143063
2041,Coop,0,348,8,20,-12,-5,2043,Coop,0,92,8,20,-12,-5,143064
2043,Coop,0,100,8,20,-12,-5,2041,Coop,0,356,8,20,-12,-5,143065
2041,Coop,0,364,8,20,-12,-5,2043,Coop,0,108,8,20,-12,-5,143066
2043,Coop,0,116,8,20,-12,-5,2041,Coop,0,372,8,20,-12,-5,143067
2041,Coop,0,380,8,20,-12,-5,2043,Coop,0,124,8,20,-12,-5,143068
2043,Coop,0,132,8,20,-12,-5,2041,Coop,0,388,8,20,-12,-5,143069
2041,Deflect,0,408,8,20,-12,-5,2043,Coop,0,120,8,20,-12,-5,143070
2043,Coop,0,128,8,20,-12,-5,2041,Coop,0,416,8,20,-12,-5,143071
2041,Deflect,0,436,8,20,-12,-5,2043,Coop,0,116,8,20,-12,-5,143072
2043,Coop,0,124,8,20,-12,-5,2041,Coop,0,444,8,20,-12,-5,143073
2041,Deflect,0,464,8,20,-12,-5,2043,Coop,0,112,8,20,-12,-5,143074
2043,Coop,0,100,8,20,-12,-5,2041,Deflect,0,484,8,20,-12,-5,143075
2041,Coop,0,492,8,20,-12,-5,2043,Coop,0,108,8,20,-12,-5,143076
2043,Coop,0,116,8,20,-12,-5,2041,Coop,0,500,8,20,-12,-5,143077
2041,Deflect,0,520,8,20,-12,-5,2043,Coop,0,104,8,20,-12,-5,143078
2043,Coop,0,92,8,20,-12,-5,2041,Deflect,0,540,8,20,-12,-5,143079
2041,Deflect,0,560,8,20,-12,-5,2043,Coop,0,80,8,20,-12,-5,143080
2043,Coop,0,88,8,20,-12,-5,2041,Coop,0,568,8,20,-12,-5,143081
2041,Deflect,0,588,8,20,-12,-5,2043,Coop,0,76,8,20,-12,-5,143082
2043,Coop,0,84,8,20,-12,-5,2041,Coop,0,596,8,20,-12,-5,143083
2041,Coop,0,604,8,20,-12,-5,2043,Coop,0,92,8,20,-12,-5,143084
2041,Buy,0,604,8,20,-12,-5,2041,Buy,0,104,9,21,-11,-4,143085
2043,Coop,0,80,8,20,-12,-5,2041,Deflect,0,125,9,21,-11,-4,143086
2041,Deflect,0,146,9,21,-11,-4,2043,Coop,0,68,8,20,-12,-5,143087
