user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2041,Deflect,0,120,8,20,-12,-5,2047,Coop,0,88,8,20,-12,-5,145388
2047,Deflect,0,108,8,20,-12,-5,2041,Coop,0,108,8,20,-12,-5,145389
2041,Deflect,0,103,8,20,-12,-5,2047,Deflect,0,103,8,20,-12,-5,145390
2047,Deflect,0,98,8,20,-12,-5,2041,Deflect,0,98,8,20,-12,-5,145391
2041,Coop,0,86,8,20,-12,-5,2047,Deflect,0,118,8,20,-12,-5,145392
2047,Deflect,0,138,8,20,-12,-5,2041,Coop,0,74,8,20,-12,-5,145393
2041,Coop,0,62,8,20,-12,-5,2047,Deflect,0,158,8,20,-12,-5,145394
2047,Deflect,0,178,8,20,-12,-5,2041,Coop,0,50,8,20,-12,-5,145395
2041,Coop,0,38,8,20,-12,-5,2047,Deflect,0,198,8,20,-12,-5,145396
2047,Deflect,0,193,8,20,-12,-5,2041,Deflect,0,33,8,20,-12,-5,145397
2041,Deflect,0,28,8,20,-12,-5,2047,Deflect,0,188,8,20,-12,-5,145398
2047,Deflect,0,208,8,20,-12,-5,2041,Coop,0,16,8,20,-12,-5,145399
2041,Deflect,0,11,8,20,-12,-5,2047,Deflect,0,203,8,20,-12,-5,145400
2047,Deflect,0,223,8,20,-12,-5,2041,Coop,0,-1,8,20,-12,-5,145401
