user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2041,Deflect,0,95,8,20,-12,-5,2046,Deflect,0,95,8,20,-12,-5,144373
2046,Coop,0,83,8,20,-12,-5,2041,Deflect,0,115,8,20,-12,-5,144374
2041,Coop,0,123,8,20,-12,-5,2046,Coop,0,91,8,20,-12,-5,144375
2046,Coop,0,79,8,20,-12,-5,2041,Deflect,0,143,8,20,-12,-5,144376
2041,Coop,0,131,8,20,-12,-5,2046,Deflect,0,99,8,20,-12,-5,144377
2046,Coop,0,107,8,20,-12,-5,2041,Coop,0,139,8,20,-12,-5,144378
2041,Deflect,0,159,8,20,-12,-5,2046,Coop,0,95,8,20,-12,-5,144379
2046,Deflect,0,115,8,20,-12,-5,2041,Coop,0,147,8,20,-12,-5,144380
2041,Coop,0,155,8,20,-12,-5,2046,Coop,0,123,8,20,-12,-5,144381
2046,Coop,0,131,8,20,-12,-5,2041,Coop,0,163,8,20,-12,-5,144382
2041,Coop,0,171,8,20,-12,-5,2046,Coop,0,139,8,20,-12,-5,144383
2046,Coop,0,127,8,20,-12,-5,2041,Deflect,0,191,8,20,-12,-5,144384
2041,Deflect,0,186,8,20,-12,-5,2046,Deflect,0,122,8,20,-12,-5,144385
2046,Deflect,0,142,8,20,-12,-5,2041,Coop,0,174,8,20,-12,-5,144386
2041,Deflect,0,194,8,20,-12,-5,2046,Coop,0,130,8,20,-12,-5,144387
2046,Deflect,0,125,8,20,-12,-5,2041,Deflect,0,189,8,20,-12,-5,144388
2041,Coop,0,177,8,20,-12,-5,2046,Deflect,0,145,8,20,-12,-5,144389
2046,Coop,0,153,8,20,-12,-5,2041,Coop,0,185,8,20,-12,-5,144390
2041,Coop,0,193,8,20,-12,-5,2046,Coop,0,161,8,20,-12,-5,144391
2046,Coop,0,149,8,20,-12,-5,2041,Deflect,0,213,8,20,-12,-5,144392
2041,Deflect,0,208,8,20,-12,-5,2046,Deflect,0,144,8,20,-12,-5,144393
2046,Deflect,0,164,8,20,-12,-5,2041,Coop,0,196,8,20,-12,-5,144394
2041,Coop,0,204,8,20,-12,-5,2046,Coop,0,172,8,20,-12,-5,144395
2046,Coop,0,160,8,20,-12,-5,2041,Deflect,0,224,8,20,-12,-5,144396
2041,Coop,0,212,8,20,-12,-5,2046,Deflect,0,180,8,20,-12,-5,144397
