user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2041,Deflect,0,120,8,20,-12,-5,2045,Coop,0,88,8,20,-12,-5,143280
2045,Coop,0,96,8,20,-12,-5,2041,Coop,0,128,8,20,-12,-5,143281
2041,Coop,0,136,8,20,-12,-5,2045,Coop,0,104,8,20,-12,-5,143282
2045,Coop,0,112,8,20,-12,-5,2041,Coop,0,144,8,20,-12,-5,143283
2041,Coop,0,152,8,20,-12,-5,2045,Coop,0,120,8,20,-12,-5,143284
2045,Coop,0,108,8,20,-12,-5,2041,Deflect,0,172,8,20,-12,-5,143285
2041,Deflect,0,192,8,20,-12,-5,2045,Coop,0,96,8,20,-12,-5,143286
2045,Deflect,0,116,8,20,-12,-5,2041,Coop,0,180,8,20,-12,-5,143287
2041,Coop,0,188,8,20,-12,-5,2045,Coop,0,124,8,20,-12,-5,143288
2045,Coop,0,132,8,20,-12,-5,2041,Coop,0,196,8,20,-12,-5,143289
2041,Deflect,0,216,8,20,-12,-5,2045,Coop,0,120,8,20,-12,-5,143290
2045,Coop,0,128,8,20,-12,-5,2041,Coop,0,224,8,20,-12,-5,143291
2041,Coop,0,232,8,20,-12,-5,2045,Coop,0,136,8,20,-12,-5,143292
2045,Coop,0,144,8,20,-12,-5,2041,Coop,0,240,8,20,-12,-5,143293
2041,Coop,0,248,8,20,-12,-5,2045,Coop,0,152,8,20,-12,-5,143294
2045,Coop,0,160,8,20,-12,-5,2041,Coop,0,256,8,20,-12,-5,143295
2041,Deflect,0,276,8,20,-12,-5,2045,Coop,0,148,8,20,-12,-5,143296
2045,Coop,0,156,8,20,-12,-5,2041,Coop,0,284,8,20,-12,-5,143297
2041,Deflect,0,304,8,20,-12,-5,2045,Coop,0,144,8,20,-12,-5,143298
2045,Coop,0,152,8,20,-12,-5,2041,Coop,0,312,8,20,-12,-5,143299
2041,Coop,0,320,8,20,-12,-5,2045,Coop,0,160,8,20,-12,-5,143300
2045,Coop,0,148,8,20,-12,-5,2041,Deflect,0,340,8,20,-12,-5,143301
2041,Deflect,0,360,8,20,-12,-5,2045,Coop,0,136,8,20,-12,-5,143302
2045,Deflect,0,131,8,20,-12,-5,2041,Deflect,0,355,8,20,-12,-5,143303
2041,Deflect,0,350,8,20,-12,-5,2045,Deflect,0,126,8,20,-12,-5,143304
2045,Deflect,0,146,8,20,-12,-5,2041,Coop,0,338,8,20,-12,-5,143305
2041,Coop,0,346,8,20,-12,-5,2045,Coop,0,154,8,20,-12,-5,143306
2045,Coop,0,162,8,20,-12,-5,2041,Coop,0,354,8,20,-12,-5,143307
2041,Deflect,0,374,8,20,-12,-5,2045,Coop,0,150,8,20,-12,-5,143308
2045,Coop,0,158,8,20,-12,-5,2041,Coop,0,382,8,20,-12,-5,143309
2041,Coop,0,390,8,20,-12,-5,2045,Coop,0,166,8,20,-12,-5,143310
2045,Coop,0,174,8,20,-12,-5,2041,Coop,0,398,8,20,-12,-5,143311
2041,Deflect,0,418,8,20,-12,-5,2045,Coop,0,162,8,20,-12,-5,143312
2045,Coop,0,170,8,20,-12,-5,2041,Coop,0,426,8,20,-12,-5,143313
2041,Deflect,0,446,8,20,-12,-5,2045,Coop,0,158,8,20,-12,-5,143314
2045,Coop,0,166,8,20,-12,-5,2041,Coop,0,454,8,20,-12,-5,143315
2041,Coop,0,462,8,20,-12,-5,2045,Coop,0,174,8,20,-12,-5,143316
2045,Coop,0,182,8,20,-12,-5,2041,Coop,0,470,8,20,-12,-5,143317
2041,Deflect,0,490,8,20,-12,-5,2045,Coop,0,170,8,20,-12,-5,143318
2045,Coop,0,178,8,20,-12,-5,2041,Coop,0,498,8,20,-12,-5,143319
2041,Deflect,0,518,8,20,-12,-5,2045,Coop,0,166,8,20,-12,-5,143320
2045,Coop,0,154,8,20,-12,-5,2041,Deflect,0,538,8,20,-12,-5,143321
2041,Coop,0,526,8,20,-12,-5,2045,Deflect,0,174,8,20,-12,-5,143322
2045,Coop,0,162,8,20,-12,-5,2041,Deflect,0,546,8,20,-12,-5,143323
2041,Coop,0,554,8,20,-12,-5,2045,Coop,0,170,8,20,-12,-5,143324
2045,Coop,0,178,8,20,-12,-5,2041,Coop,0,562,8,20,-12,-5,143325
2041,Deflect,0,582,8,20,-12,-5,2045,Coop,0,166,8,20,-12,-5,143326
2045,Coop,0,174,8,20,-12,-5,2041,Coop,0,590,8,20,-12,-5,143327
2041,Coop,0,598,8,20,-12,-5,2045,Coop,0,182,8,20,-12,-5,143328
2045,Coop,0,170,8,20,-12,-5,2041,Deflect,0,618,8,20,-12,-5,143329
2041,Buy,0,618,8,20,-12,-5,2041,Buy,0,118,9,21,-11,-4,143330
2041,Deflect,0,139,9,21,-11,-4,2045,Coop,0,158,8,20,-12,-5,143331
2045,Deflect,0,178,8,20,-12,-5,2041,Coop,0,128,9,21,-11,-4,143332
2041,Coop,0,137,9,21,-11,-4,2045,Coop,0,186,8,20,-12,-5,143333
2045,Coop,0,174,8,20,-12,-5,2041,Deflect,0,158,9,21,-11,-4,143334
2041,Coop,0,167,9,21,-11,-4,2045,Coop,0,182,8,20,-12,-5,143335
2045,Coop,0,170,8,20,-12,-5,2041,Deflect,0,188,9,21,-11,-4,143336
2041,Deflect,0,209,9,21,-11,-4,2045,Coop,0,158,8,20,-12,-5,143337
2045,Deflect,0,178,8,20,-12,-5,2041,Coop,0,198,9,21,-11,-4,143338
2041,Deflect,0,219,9,21,-11,-4,2045,Coop,0,166,8,20,-12,-5,143339
2045,Coop,0,174,8,20,-12,-5,2041,Coop,0,228,9,21,-11,-4,143340
2041,Coop,0,237,9,21,-11,-4,2045,Coop,0,182,8,20,-12,-5,143341
2045,Coop,0,190,8,20,-12,-5,2041,Coop,0,246,9,21,-11,-4,143342
2041,Coop,0,255,9,21,-11,-4,2045,Coop,0,198,8,20,-12,-5,143343
2045,Coop,0,206,8,20,-12,-5,2041,Coop,0,264,9,21,-11,-4,143344
2041,Coop,0,273,9,21,-11,-4,2045,Coop,0,214,8,20,-12,-5,143345
2045,Coop,0,202,8,20,-12,-5,2041,Deflect,0,294,9,21,-11,-4,143346
2041,Coop,0,303,9,21,-11,-4,2045,Coop,0,210,8,20,-12,-5,143347
2045,Coop,0,198,8,20,-12,-5,2041,Deflect,0,324,9,21,-11,-4,143348
2041,Deflect,0,345,9,21,-11,-4,2045,Coop,0,186,8,20,-12,-5,143349
2045,Deflect,0,181,8,20,-12,-5,2041,Deflect,0,341,9,21,-11,-4,143350
2041,Coop,0,330,9,21,-11,-4,2045,Deflect,0,201,8,20,-12,-5,143351
2045,Coop,0,189,8,20,-12,-5,2041,Deflect,0,351,9,21,-11,-4,143352
2041,Deflect,0,372,9,21,-11,-4,2045,Coop,0,177,8,20,-12,-5,143353
2045,Deflect,0,197,8,20,-12,-5,2041,Coop,0,361,9,21,-11,-4,143354
2041,Deflect,0,382,9,21,-11,-4,2045,Coop,0,185,8,20,-12,-5,143355
2045,Coop,0,173,8,20,-12,-5,2041,Deflect,0,403,9,21,-11,-4,143356
2041,Deflect,0,399,9,21,-11,-4,2045,Deflect,0,168,8,20,-12,-5,143357
2045,Deflect,0,188,8,20,-12,-5,2041,Coop,0,388,9,21,-11,-4,143358
2041,Coop,0,397,9,21,-11,-4,2045,Coop,0,196,8,20,-12,-5,143359
2045,Coop,0,184,8,20,-12,-5,2041,Deflect,0,418,9,21,-11,-4,143360
2041,Coop,0,427,9,21,-11,-4,2045,Coop,0,192,8,20,-12,-5,143361
2045,Coop,0,180,8,20,-12,-5,2041,Deflect,0,448,9,21,-11,-4,143362
2041,Coop,0,457,9,21,-11,-4,2045,Coop,0,188,8,20,-12,-5,143363
2045,Coop,0,196,8,20,-12,-5,2041,Coop,0,466,9,21,-11,-4,143364
2041,Coop,0,475,9,21,-11,-4,2045,Coop,0,204,8,20,-12,-5,143365
2045,Coop,0,192,8,20,-12,-5,2041,Deflect,0,496,9,21,-11,-4,143366
2041,Deflect,0,517,9,21,-11,-4,2045,Coop,0,180,8,20,-12,-5,143367
2045,Deflect,0,200,8,20,-12,-5,2041,Coop,0,506,9,21,-11,-4,143368
2041,Coop,0,515,9,21,-11,-4,2045,Coop,0,208,8,20,-12,-5,143369
2045,Coop,0,216,8,20,-12,-5,2041,Coop,0,524,9,21,-11,-4,143370
2041,Deflect,0,545,9,21,-11,-4,2045,Coop,0,204,8,20,-12,-5,143371
2045,Coop,0,192,8,20,-12,-5,2041,Deflect,0,566,9,21,-11,-4,143372
2041,Deflect,0,562,9,21,-11,-4,2045,Deflect,0,187,8,20,-12,-5,143373
2045,Deflect,0,182,8,20,-12,-5,2041,Deflect,0,558,9,21,-11,-4,143374
2041,Deflect,0,554,9,21,-11,-4,2045,Deflect,0,177,8,20,-12,-5,143375
2045,Deflect,0,172,8,20,-12,-5,2041,Deflect,0,550,9,21,-11,-4,143376
2041,Coop,0,539,9,21,-11,-4,2045,Deflect,0,192,8,20,-12,-5,143377
2045,Coop,0,180,8,20,-12,-5,2041,Deflect,0,560,9,21,-11,-4,143378
2041,Deflect,0,581,9,21,-11,-4,2045,Coop,0,168,8,20,-12,-5,143379
2045,Deflect,0,188,8,20,-12,-5,2041,Coop,0,570,9,21,-11,-4,143380
2041,Coop,0,579,9,21,-11,-4,2045,Coop,0,196,8,20,-12,-5,143381
2045,Coop,0,184,8,20,-12,-5,2041,Deflect,0,600,9,21,-11,-4,143382
2041,Deflect,0,621,9,21,-11,-4,2045,Coop,0,172,8,20,-12,-5,143383
2041,Buy,0,621,9,21,-11,-4,2041,Buy,0,121,10,22,-10,-3,143384
2045,Deflect,0,192,8,20,-12,-5,2041,Coop,0,111,10,22,-10,-3,143385
2041,Deflect,0,133,10,22,-10,-3,2045,Coop,0,180,8,20,-12,-5,143386
2045,Coop,0,188,8,20,-12,-5,2041,Coop,0,143,10,22,-10,-3,143387
2041,Coop,0,153,10,22,-10,-3,2045,Coop,0,196,8,20,-12,-5,143388
2045,Coop,0,204,8,20,-12,-5,2041,Coop,0,163,10,22,-10,-3,143389
2041,Coop,0,173,10,22,-10,-3,2045,Coop,0,212,8,20,-12,-5,143390
2045,Coop,0,200,8,20,-12,-5,2041,Deflect,0,195,10,22,-10,-3,143391
2041,Deflect,0,217,10,22,-10,-3,2045,Coop,0,188,8,20,-12,-5,143392
2045,Deflect,0,208,8,20,-12,-5,2041,Coop,0,207,10,22,-10,-3,143393
2041,Deflect,0,229,10,22,-10,-3,2045,Coop,0,196,8,20,-12,-5,143394
2045,Coop,0,184,8,20,-12,-5,2041,Deflect,0,251,10,22,-10,-3,143395
2041,Deflect,0,248,10,22,-10,-3,2045,Deflect,0,179,8,20,-12,-5,143396
2045,Deflect,0,199,8,20,-12,-5,2041,Coop,0,238,10,22,-10,-3,143397
2041,Coop,0,248,10,22,-10,-3,2045,Coop,0,207,8,20,-12,-5,143398
