user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2041,Deflect,0,95,8,20,-12,-5,2042,Deflect,0,95,8,20,-12,-5,143034
2042,Deflect,0,90,8,20,-12,-5,2041,Deflect,0,90,8,20,-12,-5,143035
2041,Coop,0,78,8,20,-12,-5,2042,Deflect,0,110,8,20,-12,-5,143036
2042,Deflect,0,130,8,20,-12,-5,2041,Coop,0,66,8,20,-12,-5,143037
2041,Coop,0,54,8,20,-12,-5,2042,Deflect,0,150,8,20,-12,-5,143038
2042,Deflect,0,145,8,20,-12,-5,2041,Deflect,0,49,8,20,-12,-5,143039
2041,Deflect,0,44,8,20,-12,-5,2042,Deflect,0,140,8,20,-12,-5,143040
2042,Deflect,0,135,8,20,-12,-5,2041,Deflect,0,39,8,20,-12,-5,143041
2041,Deflect,0,34,8,20,-12,-5,2042,Deflect,0,130,8,20,-12,-5,143042
2042,Deflect,0,150,8,20,-12,-5,2041,Coop,0,22,8,20,-12,-5,143043
2041,Coop,0,10,8,20,-12,-5,2042,Deflect,0,170,8,20,-12,-5,143044
2042,Deflect,0,190,8,20,-12,-5,2041,Coop,0,-2,8,20,-12,-5,143045
