user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2041,Deflect,0,95,8,20,-12,-5,2048,Deflect,0,95,8,20,-12,-5,145402
2048,Coop,0,83,8,20,-12,-5,2041,Deflect,0,115,8,20,-12,-5,145403
2041,Deflect,0,135,8,20,-12,-5,2048,Coop,0,71,8,20,-12,-5,145404
2048,Deflect,0,66,8,20,-12,-5,2041,Deflect,0,130,8,20,-12,-5,145405
2041,Coop,0,118,8,20,-12,-5,2048,Deflect,0,86,8,20,-12,-5,145406
2048,Coop,0,94,8,20,-12,-5,2041,Coop,0,126,8,20,-12,-5,145407
2041,Coop,0,134,8,20,-12,-5,2048,Coop,0,102,8,20,-12,-5,145408
2048,Coop,0,110,8,20,-12,-5,2041,Coop,0,142,8,20,-12,-5,145409
2041,Deflect,0,162,8,20,-12,-5,2048,Coop,0,98,8,20,-12,-5,145410
2048,Deflect,0,118,8,20,-12,-5,2041,Coop,0,150,8,20,-12,-5,145411
2041,Deflect,0,170,8,20,-12,-5,2048,Coop,0,106,8,20,-12,-5,145412
2048,Deflect,0,101,8,20,-12,-5,2041,Deflect,0,165,8,20,-12,-5,145413
2041,Deflect,0,160,8,20,-12,-5,2048,Deflect,0,96,8,20,-12,-5,145414
2048,Deflect,0,116,8,20,-12,-5,2041,Coop,0,148,8,20,-12,-5,145415
2041,Coop,0,156,8,20,-12,-5,2048,Coop,0,124,8,20,-12,-5,145416
2048,Coop,0,112,8,20,-12,-5,2041,Deflect,0,176,8,20,-12,-5,145417
2041,Deflect,0,171,8,20,-12,-5,2048,Deflect,0,107,8,20,-12,-5,145418
2048,Deflect,0,102,8,20,-12,-5,2041,Deflect,0,166,8,20,-12,-5,145419
2041,Coop,0,154,8,20,-12,-5,2048,Deflect,0,122,8,20,-12,-5,145420
2048,Coop,0,130,8,20,-12,-5,2041,Coop,0,162,8,20,-12,-5,145421
2041,Coop,0,170,8,20,-12,-5,2048,Coop,0,138,8,20,-12,-5,145422
2048,Coop,0,146,8,20,-12,-5,2041,Coop,0,178,8,20,-12,-5,145423
2041,Deflect,0,198,8,20,-12,-5,2048,Coop,0,134,8,20,-12,-5,145424
2048,Deflect,0,154,8,20,-12,-5,2041,Coop,0,186,8,20,-12,-5,145425
2041,Deflect,0,206,8,20,-12,-5,2048,Coop,0,142,8,20,-12,-5,145426
2048,Deflect,0,137,8,20,-12,-5,2041,Deflect,0,201,8,20,-12,-5,145427
2041,Deflect,0,196,8,20,-12,-5,2048,Deflect,0,132,8,20,-12,-5,145428
2048,Deflect,0,152,8,20,-12,-5,2041,Coop,0,184,8,20,-12,-5,145429
2041,Coop,0,192,8,20,-12,-5,2048,Coop,0,160,8,20,-12,-5,145430
2048,Coop,0,148,8,20,-12,-5,2041,Deflect,0,212,8,20,-12,-5,145431
2041,Coop,0,200,8,20,-12,-5,2048,Deflect,0,168,8,20,-12,-5,145432
2048,Coop,0,176,8,20,-12,-5,2041,Coop,0,208,8,20,-12,-5,145433
2041,Coop,0,216,8,20,-12,-5,2048,Coop,0,184,8,20,-12,-5,145434
2048,Coop,0,192,8,20,-12,-5,2041,Coop,0,224,8,20,-12,-5,145435
2041,Coop,0,232,8,20,-12,-5,2048,Coop,0,200,8,20,-12,-5,145436
2048,Coop,0,188,8,20,-12,-5,2041,Deflect,0,252,8,20,-12,-5,145437
2041,Coop,0,240,8,20,-12,-5,2048,Deflect,0,208,8,20,-12,-5,145438
2048,Coop,0,196,8,20,-12,-5,2041,Deflect,0,260,8,20,-12,-5,145439
2041,Deflect,0,255,8,20,-12,-5,2048,Deflect,0,191,8,20,-12,-5,145440
2048,Deflect,0,186,8,20,-12,-5,2041,Deflect,0,250,8,20,-12,-5,145441
2041,Deflect,0,245,8,20,-12,-5,2048,Deflect,0,181,8,20,-12,-5,145442
2048,Deflect,0,176,8,20,-12,-5,2041,Deflect,0,240,8,20,-12,-5,145443
2041,Coop,0,228,8,20,-12,-5,2048,Deflect,0,196,8,20,-12,-5,145444
2048,Coop,0,204,8,20,-12,-5,2041,Coop,0,236,8,20,-12,-5,145445
2041,Coop,0,244,8,20,-12,-5,2048,Coop,0,212,8,20,-12,-5,145446
2048,Coop,0,200,8,20,-12,-5,2041,Deflect,0,264,8,20,-12,-5,145447
2041,Coop,0,252,8,20,-12,-5,2048,Deflect,0,220,8,20,-12,-5,145448
2048,Coop,0,228,8,20,-12,-5,2041,Coop,0,260,8,20,-12,-5,145449
2041,Deflect,0,280,8,20,-12,-5,2048,Coop,0,216,8,20,-12,-5,145450
2048,Deflect,0,236,8,20,-12,-5,2041,Coop,0,268,8,20,-12,-5,145451
2041,Deflect,0,288,8,20,-12,-5,2048,Coop,0,224,8,20,-12,-5,145452
2048,Deflect,0,244,8,20,-12,-5,2041,Coop,0,276,8,20,-12,-5,145453
2041,Coop,0,284,8,20,-12,-5,2048,Coop,0,252,8,20,-12,-5,145454
2048,Coop,0,260,8,20,-12,-5,2041,Coop,0,292,8,20,-12,-5,145455
2041,Coop,0,300,8,20,-12,-5,2048,Coop,0,268,8,20,-12,-5,145456
2048,Coop,0,256,8,20,-12,-5,2041,Deflect,0,320,8,20,-12,-5,145457
2041,Coop,0,308,8,20,-12,-5,2048,Deflect,0,276,8,20,-12,-5,145458
2048,Coop,0,284,8,20,-12,-5,2041,Coop,0,316,8,20,-12,-5,145459
2041,Deflect,0,336,8,20,-12,-5,2048,Coop,0,272,8,20,-12,-5,145460
2048,Deflect,0,292,8,20,-12,-5,2041,Coop,0,324,8,20,-12,-5,145461
2041,Coop,0,332,8,20,-12,-5,2048,Coop,0,300,8,20,-12,-5,145462
2048,Coop,0,308,8,20,-12,-5,2041,Coop,0,340,8,20,-12,-5,145463
2041,Deflect,0,360,8,20,-12,-5,2048,Coop,0,296,8,20,-12,-5,145464
2048,Deflect,0,316,8,20,-12,-5,2041,Coop,0,348,8,20,-12,-5,145465
2041,Coop,0,356,8,20,-12,-5,2048,Coop,0,324,8,20,-12,-5,145466
2048,Coop,0,312,8,20,-12,-5,2041,Deflect,0,376,8,20,-12,-5,145467
2041,Coop,0,364,8,20,-12,-5,2048,Deflect,0,332,8,20,-12,-5,145468
2048,Coop,0,320,8,20,-12,-5,2041,Deflect,0,384,8,20,-12,-5,145469
2041,Coop,0,372,8,20,-12,-5,2048,Deflect,0,340,8,20,-12,-5,145470
2048,Coop,0,328,8,20,-12,-5,2041,Deflect,0,392,8,20,-12,-5,145471
2041,Deflect,0,387,8,20,-12,-5,2048,Deflect,0,323,8,20,-12,-5,145472
2048,Deflect,0,343,8,20,-12,-5,2041,Coop,0,375,8,20,-12,-5,145473
2041,Coop,0,383,8,20,-12,-5,2048,Coop,0,351,8,20,-12,-5,145474
2048,Coop,0,339,8,20,-12,-5,2041,Deflect,0,403,8,20,-12,-5,145475
2041,Coop,0,391,8,20,-12,-5,2048,Deflect,0,359,8,20,-12,-5,145476
2048,Coop,0,347,8,20,-12,-5,2041,Deflect,0,411,8,20,-12,-5,145477
2041,Coop,0,399,8,20,-12,-5,2048,Deflect,0,367,8,20,-12,-5,145478
2048,Coop,0,355,8,20,-12,-5,2041,Deflect,0,419,8,20,-12,-5,145479
2041,Deflect,0,414,8,20,-12,-5,2048,Deflect,0,350,8,20,-12,-5,145480
2048,Deflect,0,345,8,20,-12,-5,2041,Deflect,0,409,8,20,-12,-5,145481
2041,Coop,0,397,8,20,-12,-5,2048,Deflect,0,365,8,20,-12,-5,145482
2048,Coop,0,373,8,20,-12,-5,2041,Coop,0,405,8,20,-12,-5,145483
2041,Coop,0,413,8,20,-12,-5,2048,Coop,0,381,8,20,-12,-5,145484
2048,Coop,0,369,8,20,-12,-5,2041,Deflect,0,433,8,20,-12,-5,145485
2041,Deflect,0,428,8,20,-12,-5,2048,Deflect,0,364,8,20,-12,-5,145486
2048,Deflect,0,359,8,20,-12,-5,2041,Deflect,0,423,8,20,-12,-5,145487
2041,Coop,0,411,8,20,-12,-5,2048,Deflect,0,379,8,20,-12,-5,145488
2048,Coop,0,387,8,20,-12,-5,2041,Coop,0,419,8,20,-12,-5,145489
2041,Deflect,0,439,8,20,-12,-5,2048,Coop,0,375,8,20,-12,-5,145490
2048,Deflect,0,395,8,20,-12,-5,2041,Coop,0,427,8,20,-12,-5,145491
2041,Coop,0,435,8,20,-12,-5,2048,Coop,0,403,8,20,-12,-5,145492
2048,Coop,0,391,8,20,-12,-5,2041,Deflect,0,455,8,20,-12,-5,145493
2041,Deflect,0,450,8,20,-12,-5,2048,Deflect,0,386,8,20,-12,-5,145494
2048,Deflect,0,381,8,20,-12,-5,2041,Deflect,0,445,8,20,-12,-5,145495
2041,Deflect,0,440,8,20,-12,-5,2048,Deflect,0,376,8,20,-12,-5,145496
2048,Deflect,0,371,8,20,-12,-5,2041,Deflect,0,435,8,20,-12,-5,145497
2041,Coop,0,423,8,20,-12,-5,2048,Deflect,0,391,8,20,-12,-5,145498
2048,Coop,0,379,8,20,-12,-5,2041,Deflect,0,443,8,20,-12,-5,145499
2041,Deflect,0,438,8,20,-12,-5,2048,Deflect,0,374,8,20,-12,-5,145500
2048,Deflect,0,369,8,20,-12,-5,2041,Deflect,0,433,8,20,-12,-5,145501
2041,Deflect,0,428,8,20,-12,-5,2048,Deflect,0,364,8,20,-12,-5,145502
2048,Deflect,0,384,8,20,-12,-5,2041,Coop,0,416,8,20,-12,-5,145503
2041,Coop,0,424,8,20,-12,-5,2048,Coop,0,392,8,20,-12,-5,145504
2048,Coop,0,380,8,20,-12,-5,2041,Deflect,0,444,8,20,-12,-5,145505
2041,Deflect,0,439,8,20,-12,-5,2048,Deflect,0,375,8,20,-12,-5,145506
2048,Deflect,0,395,8,20,-12,-5,2041,Coop,0,427,8,20,-12,-5,145507
2041,Deflect,0,447,8,20,-12,-5,2048,Coop,0,383,8,20,-12,-5,145508
2048,Deflect,0,403,8,20,-12,-5,2041,Coop,0,435,8,20,-12,-5,145509
2041,Coop,0,443,8,20,-12,-5,2048,Coop,0,411,8,20,-12,-5,145510
2048,Coop,0,399,8,20,-12,-5,2041,Deflect,0,463,8,20,-12,-5,145511
2041,Deflect,0,458,8,20,-12,-5,2048,Deflect,0,394,8,20,-12,-5,145512
2048,Deflect,0,389,8,20,-12,-5,2041,Deflect,0,453,8,20,-12,-5,145513
2041,Coop,0,441,8,20,-12,-5,2048,Deflect,0,409,8,20,-12,-5,145514
2048,Coop,0,397,8,20,-12,-5,2041,Deflect,0,461,8,20,-12,-5,145515
2041,Coop,0,449,8,20,-12,-5,2048,Deflect,0,417,8,20,-12,-5,145516
2048,Coop,0,405,8,20,-12,-5,2041,Deflect,0,469,8,20,-12,-5,145517
2041,Deflect,0,464,8,20,-12,-5,2048,Deflect,0,400,8,20,-12,-5,145518
2048,Deflect,0,395,8,20,-12,-5,2041,Deflect,0,459,8,20,-12,-5,145519
2041,Coop,0,447,8,20,-12,-5,2048,Deflect,0,415,8,20,-12,-5,145520
2048,Coop,0,423,8,20,-12,-5,2041,Coop,0,455,8,20,-12,-5,145521
2041,Coop,0,463,8,20,-12,-5,2048,Coop,0,431,8,20,-12,-5,145522
2048,Coop,0,439,8,20,-12,-5,2041,Coop,0,471,8,20,-12,-5,145523
2041,Coop,0,479,8,20,-12,-5,2048,Coop,0,447,8,20,-12,-5,145524
2048,Coop,0,455,8,20,-12,-5,2041,Coop,0,487,8,20,-12,-5,145525
2041,Coop,0,495,8,20,-12,-5,2048,Coop,0,463,8,20,-12,-5,145526
2048,Coop,0,471,8,20,-12,-5,2041,Coop,0,503,8,20,-12,-5,145527
2041,Deflect,0,523,8,20,-12,-5,2048,Coop,0,459,8,20,-12,-5,145528
2048,Deflect,0,454,8,20,-12,-5,2041,Deflect,0,518,8,20,-12,-5,145529
2041,Deflect,0,513,8,20,-12,-5,2048,Deflect,0,449,8,20,-12,-5,145530
2048,Deflect,0,444,8,20,-12,-5,2041,Deflect,0,508,8,20,-12,-5,145531
2041,Deflect,0,503,8,20,-12,-5,2048,Deflect,0,439,8,20,-12,-5,145532
2048,Deflect,0,434,8,20,-12,-5,2041,Deflect,0,498,8,20,-12,-5,145533
2041,Coop,0,486,8,20,-12,-5,2048,Deflect,0,454,8,20,-12,-5,145534
2048,Coop,0,462,8,20,-12,-5,2041,Coop,0,494,8,20,-12,-5,145535
2041,Coop,0,502,8,20,-12,-5,2048,Coop,0,470,8,20,-12,-5,145536
2048,Coop,0,458,8,20,-12,-5,2041,Deflect,0,522,8,20,-12,-5,145537
2041,Deflect,0,517,8,20,-12,-5,2048,Deflect,0,453,8,20,-12,-5,145538
2048,Deflect,0,448,8,20,-12,-5,2041,Deflect,0,512,8,20,-12,-5,145539
2041,Deflect,0,507,8,20,-12,-5,2048,Deflect,0,443,8,20,-12,-5,145540
2048,Deflect,0,438,8,20,-12,-5,2041,Deflect,0,502,8,20,-12,-5,145541
2041,Coop,0,490,8,20,-12,-5,2048,Deflect,0,458,8,20,-12,-5,145542
2048,Coop,0,466,8,20,-12,-5,2041,Coop,0,498,8,20,-12,-5,145543
2041,Coop,0,506,8,20,-12,-5,2048,Coop,0,474,8,20,-12,-5,145544
2048,Coop,0,482,8,20,-12,-5,2041,Coop,0,514,8,20,-12,-5,145545
2041,Coop,0,522,8,20,-12,-5,2048,Coop,0,490,8,20,-12,-5,145546
2048,Coop,0,498,8,20,-12,-5,2041,Coop,0,530,8,20,-12,-5,145547
2041,Deflect,0,550,8,20,-12,-5,2048,Coop,0,486,8,20,-12,-5,145548
2048,Deflect,0,481,8,20,-12,-5,2041,Deflect,0,545,8,20,-12,-5,145549
2041,Coop,0,533,8,20,-12,-5,2048,Deflect,0,501,8,20,-12,-5,145550
2048,Coop,0,489,8,20,-12,-5,2041,Deflect,0,553,8,20,-12,-5,145551
2041,Deflect,0,548,8,20,-12,-5,2048,Deflect,0,484,8,20,-12,-5,145552
2048,Deflect,0,479,8,20,-12,-5,2041,Deflect,0,543,8,20,-12,-5,145553
2041,Deflect,0,538,8,20,-12,-5,2048,Deflect,0,474,8,20,-12,-5,145554
2048,Deflect,0,469,8,20,-12,-5,2041,Deflect,0,533,8,20,-12,-5,145555
2041,Deflect,0,528,8,20,-12,-5,2048,Deflect,0,464,8,20,-12,-5,145556
2048,Deflect,0,459,8,20,-12,-5,2041,Deflect,0,523,8,20,-12,-5,145557
2041,Coop,0,511,8,20,-12,-5,2048,Deflect,0,479,8,20,-12,-5,145558
2048,Coop,0,487,8,20,-12,-5,2041,Coop,0,519,8,20,-12,-5,145559
2041,Deflect,0,539,8,20,-12,-5,2048,Coop,0,475,8,20,-12,-5,145560
2048,Deflect,0,495,8,20,-12,-5,2041,Coop,0,527,8,20,-12,-5,145561
2041,Coop,0,535,8,20,-12,-5,2048,Coop,0,503,8,20,-12,-5,145562
2048,Coop,0,511,8,20,-12,-5,2041,Coop,0,543,8,20,-12,-5,145563
2041,Deflect,0,563,8,20,-12,-5,2048,Coop,0,499,8,20,-12,-5,145564
2048,Deflect,0,519,8,20,-12,-5,2041,Coop,0,551,8,20,-12,-5,145565
2041,Deflect,0,571,8,20,-12,-5,2048,Coop,0,507,8,20,-12,-5,145566
2048,Deflect,0,502,8,20,-12,-5,2041,Deflect,0,566,8,20,-12,-5,145567
2041,Coop,0,554,8,20,-12,-5,2048,Deflect,0,522,8,20,-12,-5,145568
2048,Coop,0,510,8,20,-12,-5,2041,Deflect,0,574,8,20,-12,-5,145569
2041,Deflect,0,569,8,20,-12,-5,2048,Deflect,0,505,8,20,-12,-5,145570
2048,Deflect,0,500,8,20,-12,-5,2041,Deflect,0,564,8,20,-12,-5,145571
2041,Deflect,0,559,8,20,-12,-5,2048,Deflect,0,495,8,20,-12,-5,145572
2048,Deflect,0,490,8,20,-12,-5,2041,Deflect,0,554,8,20,-12,-5,145573
2041,Coop,0,542,8,20,-12,-5,2048,Deflect,0,510,8,20,-12,-5,145574
2048,Coop,0,498,8,20,-12,-5,2041,Deflect,0,562,8,20,-12,-5,145575
