user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2045,Coop,0,88,8,20,-12,-5,2048,Deflect,0,120,8,20,-12,-5,149912
2048,Coop,0,128,8,20,-12,-5,2045,Coop,0,96,8,20,-12,-5,149913
2045,Coop,0,84,8,20,-12,-5,2048,Deflect,0,148,8,20,-12,-5,149914
2048,Coop,0,156,8,20,-12,-5,2045,Coop,0,92,8,20,-12,-5,149915
2045,Coop,0,80,8,20,-12,-5,2048,Deflect,0,176,8,20,-12,-5,149916
2048,Coop,0,184,8,20,-12,-5,2045,Coop,0,88,8,20,-12,-5,149917
2045,Coop,0,76,8,20,-12,-5,2048,Deflect,0,204,8,20,-12,-5,149918
2048,Coop,0,212,8,20,-12,-5,2045,Coop,0,84,8,20,-12,-5,149919
2045,Coop,0,72,8,20,-12,-5,2048,Deflect,0,232,8,20,-12,-5,149920
2048,Coop,0,240,8,20,-12,-5,2045,Coop,0,80,8,20,-12,-5,149921
2045,Coop,0,68,8,20,-12,-5,2048,Deflect,0,260,8,20,-12,-5,149922
2048,Coop,0,268,8,20,-12,-5,2045,Coop,0,76,8,20,-12,-5,149923
2045,Coop,0,64,8,20,-12,-5,2048,Deflect,0,288,8,20,-12,-5,149924
2048,Coop,0,296,8,20,-12,-5,2045,Coop,0,72,8,20,-12,-5,149925
2045,Coop,0,60,8,20,-12,-5,2048,Deflect,0,316,8,20,-12,-5,149926
2048,Coop,0,324,8,20,-12,-5,2045,Coop,0,68,8,20,-12,-5,149927
2045,Coop,0,56,8,20,-12,-5,2048,Deflect,0,344,8,20,-12,-5,149928
2048,Coop,0,352,8,20,-12,-5,2045,Coop,0,64,8,20,-12,-5,149929
2045,Coop,0,52,8,20,-12,-5,2048,Deflect,0,372,8,20,-12,-5,149930
2048,Coop,0,380,8,20,-12,-5,2045,Coop,0,60,8,20,-12,-5,149931
2045,Coop,0,48,8,20,-12,-5,2048,Deflect,0,400,8,20,-12,-5,149932
2048,Coop,0,408,8,20,-12,-5,2045,Coop,0,56,8,20,-12,-5,149933
2045,Coop,0,44,8,20,-12,-5,2048,Deflect,0,428,8,20,-12,-5,149934
2048,Coop,0,436,8,20,-12,-5,2045,Coop,0,52,8,20,-12,-5,149935
2045,Coop,0,40,8,20,-12,-5,2048,Deflect,0,456,8,20,-12,-5,149936
2048,Coop,0,464,8,20,-12,-5,2045,Coop,0,48,8,20,-12,-5,149937
2045,Coop,0,36,8,20,-12,-5,2048,Deflect,0,484,8,20,-12,-5,149938
2048,Coop,0,492,8,20,-12,-5,2045,Coop,0,44,8,20,-12,-5,149939
2045,Coop,0,32,8,20,-12,-5,2048,Deflect,0,512,8,20,-12,-5,149940
2048,Coop,0,520,8,20,-12,-5,2045,Coop,0,40,8,20,-12,-5,149941
2045,Coop,0,28,8,20,-12,-5,2048,Deflect,0,540,8,20,-12,-5,149942
2048,Coop,0,548,8,20,-12,-5,2045,Coop,0,36,8,20,-12,-5,149943
2045,Coop,0,24,8,20,-12,-5,2048,Deflect,0,568,8,20,-12,-5,149944
2048,Coop,0,576,8,20,-12,-5,2045,Coop,0,32,8,20,-12,-5,149945
2045,Coop,0,20,8,20,-12,-5,2048,Deflect,0,596,8,20,-12,-5,149946
2048,Coop,0,604,8,20,-12,-5,2045,Coop,0,28,8,20,-12,-5,149947
2048,Buy,0,604,8,20,-12,-5,2048,Buy,0,104,9,21,-11,-4,149948
2045,Coop,0,16,8,20,-12,-5,2048,Deflect,0,125,9,21,-11,-4,149949
2048,Coop,0,134,9,21,-11,-4,2045,Coop,0,24,8,20,-12,-5,149950
2045,Coop,0,12,8,20,-12,-5,2048,Deflect,0,155,9,21,-11,-4,149951
2048,Coop,0,164,9,21,-11,-4,2045,Coop,0,20,8,20,-12,-5,149952
2045,Coop,0,8,8,20,-12,-5,2048,Deflect,0,185,9,21,-11,-4,149953
2048,Coop,0,194,9,21,-11,-4,2045,Coop,0,16,8,20,-12,-5,149954
2045,Coop,0,4,8,20,-12,-5,2048,Deflect,0,215,9,21,-11,-4,149955
2048,Coop,0,224,9,21,-11,-4,2045,Coop,0,12,8,20,-12,-5,149956
2045,Coop,0,0,8,20,-12,-5,2048,Deflect,0,245,9,21,-11,-4,149957
