user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2047,Coop,0,108,8,20,-12,-5,2051,Coop,0,108,8,20,-12,-5,151136
2051,Coop,0,116,8,20,-12,-5,2047,Coop,0,116,8,20,-12,-5,151137
2047,Coop,0,124,8,20,-12,-5,2051,Coop,0,124,8,20,-12,-5,151138
2051,Coop,0,132,8,20,-12,-5,2047,Coop,0,132,8,20,-12,-5,151139
2047,Coop,0,140,8,20,-12,-5,2051,Coop,0,140,8,20,-12,-5,151140
2051,Coop,0,148,8,20,-12,-5,2047,Coop,0,148,8,20,-12,-5,151141
2047,Coop,0,156,8,20,-12,-5,2051,Coop,0,156,8,20,-12,-5,151142
2051,Coop,0,164,8,20,-12,-5,2047,Coop,0,164,8,20,-12,-5,151143
2047,Coop,0,172,8,20,-12,-5,2051,Coop,0,172,8,20,-12,-5,151144
2051,Coop,0,180,8,20,-12,-5,2047,Coop,0,180,8,20,-12,-5,151145
2047,Coop,0,188,8,20,-12,-5,2051,Coop,0,188,8,20,-12,-5,151146
2051,Coop,0,196,8,20,-12,-5,2047,Coop,0,196,8,20,-12,-5,151147
2047,Coop,0,204,8,20,-12,-5,2051,Coop,0,204,8,20,-12,-5,151148
2051,Coop,0,212,8,20,-12,-5,2047,Coop,0,212,8,20,-12,-5,151149
2047,Coop,0,220,8,20,-12,-5,2051,Coop,0,220,8,20,-12,-5,151150
2051,Coop,0,228,8,20,-12,-5,2047,Coop,0,228,8,20,-12,-5,151151
2047,Coop,0,236,8,20,-12,-5,2051,Coop,0,236,8,20,-12,-5,151152
2051,Coop,0,244,8,20,-12,-5,2047,Coop,0,244,8,20,-12,-5,151153
2047,Coop,0,252,8,20,-12,-5,2051,Coop,0,252,8,20,-12,-5,151154
2051,Coop,0,260,8,20,-12,-5,2047,Coop,0,260,8,20,-12,-5,151155
