user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2041,Deflect,0,95,8,20,-12,-5,2051,Deflect,0,95,8,20,-12,-5,154300
2051,Deflect,0,115,8,20,-12,-5,2041,Coop,0,83,8,20,-12,-5,154301
2041,Deflect,0,78,8,20,-12,-5,2051,Deflect,0,110,8,20,-12,-5,154302
2051,Deflect,0,105,8,20,-12,-5,2041,Deflect,0,73,8,20,-12,-5,154303
2041,Deflect,0,68,8,20,-12,-5,2051,Deflect,0,100,8,20,-12,-5,154304
2051,Deflect,0,95,8,20,-12,-5,2041,Deflect,0,63,8,20,-12,-5,154305
2041,Deflect,0,83,8,20,-12,-5,2051,Coop,0,83,8,20,-12,-5,154306
2051,Deflect,0,103,8,20,-12,-5,2041,Coop,0,71,8,20,-12,-5,154307
2041,Coop,0,79,8,20,-12,-5,2051,Coop,0,111,8,20,-12,-5,154308
2051,Coop,0,119,8,20,-12,-5,2041,Coop,0,87,8,20,-12,-5,154309
2041,Deflect,0,82,8,20,-12,-5,2051,Deflect,0,114,8,20,-12,-5,154310
2051,Deflect,0,109,8,20,-12,-5,2041,Deflect,0,77,8,20,-12,-5,154311
2041,Coop,0,65,8,20,-12,-5,2051,Deflect,0,129,8,20,-12,-5,154312
2051,Deflect,0,124,8,20,-12,-5,2041,Deflect,0,60,8,20,-12,-5,154313
2041,Deflect,0,55,8,20,-12,-5,2051,Deflect,0,119,8,20,-12,-5,154314
2051,Deflect,0,139,8,20,-12,-5,2041,Coop,0,43,8,20,-12,-5,154315
2041,Deflect,0,63,8,20,-12,-5,2051,Coop,0,127,8,20,-12,-5,154316
2051,Coop,0,135,8,20,-12,-5,2041,Coop,0,71,8,20,-12,-5,154317
2041,Coop,0,79,8,20,-12,-5,2051,Coop,0,143,8,20,-12,-5,154318
2051,Coop,0,151,8,20,-12,-5,2041,Coop,0,87,8,20,-12,-5,154319
2041,Deflect,0,107,8,20,-12,-5,2051,Coop,0,139,8,20,-12,-5,154320
2051,Deflect,0,134,8,20,-12,-5,2041,Deflect,0,102,8,20,-12,-5,154321
2041,Deflect,0,122,8,20,-12,-5,2051,Coop,0,122,8,20,-12,-5,154322
2051,Deflect,0,142,8,20,-12,-5,2041,Coop,0,110,8,20,-12,-5,154323
2041,Deflect,0,105,8,20,-12,-5,2051,Deflect,0,137,8,20,-12,-5,154324
2051,Coop,0,145,8,20,-12,-5,2041,Coop,0,113,8,20,-12,-5,154325
2041,Coop,0,101,8,20,-12,-5,2051,Deflect,0,165,8,20,-12,-5,154326
2051,Deflect,0,185,8,20,-12,-5,2041,Coop,0,89,8,20,-12,-5,154327
2041,Coop,0,97,8,20,-12,-5,2051,Coop,0,193,8,20,-12,-5,154328
2051,Coop,0,181,8,20,-12,-5,2041,Deflect,0,117,8,20,-12,-5,154329
2041,Coop,0,125,8,20,-12,-5,2051,Coop,0,189,8,20,-12,-5,154330
2051,Deflect,0,209,8,20,-12,-5,2041,Coop,0,113,8,20,-12,-5,154331
2041,Deflect,0,133,8,20,-12,-5,2051,Coop,0,197,8,20,-12,-5,154332
2051,Coop,0,205,8,20,-12,-5,2041,Coop,0,141,8,20,-12,-5,154333
2041,Coop,0,129,8,20,-12,-5,2051,Deflect,0,225,8,20,-12,-5,154334
2051,Coop,0,233,8,20,-12,-5,2041,Coop,0,137,8,20,-12,-5,154335
2041,Deflect,0,157,8,20,-12,-5,2051,Coop,0,221,8,20,-12,-5,154336
2051,Coop,0,209,8,20,-12,-5,2041,Deflect,0,177,8,20,-12,-5,154337
2041,Deflect,0,172,8,20,-12,-5,2051,Deflect,0,204,8,20,-12,-5,154338
2051,Coop,0,192,8,20,-12,-5,2041,Deflect,0,192,8,20,-12,-5,154339
2041,Deflect,0,212,8,20,-12,-5,2051,Coop,0,180,8,20,-12,-5,154340
2051,Coop,0,168,8,20,-12,-5,2041,Deflect,0,232,8,20,-12,-5,154341
2041,Deflect,0,252,8,20,-12,-5,2051,Coop,0,156,8,20,-12,-5,154342
2051,Deflect,0,151,8,20,-12,-5,2041,Deflect,0,247,8,20,-12,-5,154343
2041,Deflect,0,267,8,20,-12,-5,2051,Coop,0,139,8,20,-12,-5,154344
2051,Coop,0,127,8,20,-12,-5,2041,Deflect,0,287,8,20,-12,-5,154345
2041,Deflect,0,307,8,20,-12,-5,2051,Coop,0,115,8,20,-12,-5,154346
2051,Coop,0,103,8,20,-12,-5,2041,Deflect,0,327,8,20,-12,-5,154347
2041,Deflect,0,322,8,20,-12,-5,2051,Deflect,0,98,8,20,-12,-5,154348
2051,Deflect,0,93,8,20,-12,-5,2041,Deflect,0,317,8,20,-12,-5,154349
2041,Deflect,0,337,8,20,-12,-5,2051,Coop,0,81,8,20,-12,-5,154350
2051,Deflect,0,76,8,20,-12,-5,2041,Deflect,0,332,8,20,-12,-5,154351
2041,Deflect,0,327,8,20,-12,-5,2051,Deflect,0,71,8,20,-12,-5,154352
2051,Deflect,0,91,8,20,-12,-5,2041,Coop,0,315,8,20,-12,-5,154353
2041,Coop,0,303,8,20,-12,-5,2051,Deflect,0,111,8,20,-12,-5,154354
2051,Deflect,0,131,8,20,-12,-5,2041,Coop,0,291,8,20,-12,-5,154355
2041,Coop,0,299,8,20,-12,-5,2051,Coop,0,139,8,20,-12,-5,154356
2051,Deflect,0,134,8,20,-12,-5,2041,Deflect,0,294,8,20,-12,-5,154357
2041,Coop,0,282,8,20,-12,-5,2051,Deflect,0,154,8,20,-12,-5,154358
2051,Coop,0,162,8,20,-12,-5,2041,Coop,0,290,8,20,-12,-5,154359
2041,Deflect,0,310,8,20,-12,-5,2051,Coop,0,150,8,20,-12,-5,154360
2051,Deflect,0,170,8,20,-12,-5,2041,Coop,0,298,8,20,-12,-5,154361
2041,Coop,0,286,8,20,-12,-5,2051,Deflect,0,190,8,20,-12,-5,154362
2051,Deflect,0,185,8,20,-12,-5,2041,Deflect,0,281,8,20,-12,-5,154363
2041,Deflect,0,276,8,20,-12,-5,2051,Deflect,0,180,8,20,-12,-5,154364
2051,Deflect,0,200,8,20,-12,-5,2041,Coop,0,264,8,20,-12,-5,154365
2041,Deflect,0,284,8,20,-12,-5,2051,Coop,0,188,8,20,-12,-5,154366
2051,Deflect,0,208,8,20,-12,-5,2041,Coop,0,272,8,20,-12,-5,154367
2041,Coop,0,260,8,20,-12,-5,2051,Deflect,0,228,8,20,-12,-5,154368
2051,Deflect,0,248,8,20,-12,-5,2041,Coop,0,248,8,20,-12,-5,154369
2041,Coop,0,236,8,20,-12,-5,2051,Deflect,0,268,8,20,-12,-5,154370
2051,Coop,0,276,8,20,-12,-5,2041,Coop,0,244,8,20,-12,-5,154371
2041,Coop,0,252,8,20,-12,-5,2051,Coop,0,284,8,20,-12,-5,154372
2051,Deflect,0,304,8,20,-12,-5,2041,Coop,0,240,8,20,-12,-5,154373
2041,Deflect,0,260,8,20,-12,-5,2051,Coop,0,292,8,20,-12,-5,154374
2051,Deflect,0,312,8,20,-12,-5,2041,Coop,0,248,8,20,-12,-5,154375
2041,Coop,0,256,8,20,-12,-5,2051,Coop,0,320,8,20,-12,-5,154376
2051,Deflect,0,340,8,20,-12,-5,2041,Coop,0,244,8,20,-12,-5,154377
2041,Coop,0,232,8,20,-12,-5,2051,Deflect,0,360,8,20,-12,-5,154378
2051,Coop,0,368,8,20,-12,-5,2041,Coop,0,240,8,20,-12,-5,154379
2041,Deflect,0,260,8,20,-12,-5,2051,Coop,0,356,8,20,-12,-5,154380
2051,Coop,0,364,8,20,-12,-5,2041,Coop,0,268,8,20,-12,-5,154381
2041,Coop,0,276,8,20,-12,-5,2051,Coop,0,372,8,20,-12,-5,154382
2051,Coop,0,380,8,20,-12,-5,2041,Coop,0,284,8,20,-12,-5,154383
2041,Coop,0,272,8,20,-12,-5,2051,Deflect,0,400,8,20,-12,-5,154384
2051,Deflect,0,420,8,20,-12,-5,2041,Coop,0,260,8,20,-12,-5,154385
2041,Deflect,0,280,8,20,-12,-5,2051,Coop,0,408,8,20,-12,-5,154386
2051,Coop,0,416,8,20,-12,-5,2041,Coop,0,288,8,20,-12,-5,154387
2041,Coop,0,276,8,20,-12,-5,2051,Deflect,0,436,8,20,-12,-5,154388
2051,Coop,0,424,8,20,-12,-5,2041,Deflect,0,296,8,20,-12,-5,154389
2041,Deflect,0,291,8,20,-12,-5,2051,Deflect,0,419,8,20,-12,-5,154390
2051,Deflect,0,439,8,20,-12,-5,2041,Coop,0,279,8,20,-12,-5,154391
2041,Coop,0,287,8,20,-12,-5,2051,Coop,0,447,8,20,-12,-5,154392
2051,Coop,0,435,8,20,-12,-5,2041,Deflect,0,307,8,20,-12,-5,154393
2041,Deflect,0,327,8,20,-12,-5,2051,Coop,0,423,8,20,-12,-5,154394
2051,Coop,0,431,8,20,-12,-5,2041,Coop,0,335,8,20,-12,-5,154395
2041,Deflect,0,355,8,20,-12,-5,2051,Coop,0,419,8,20,-12,-5,154396
2051,Coop,0,407,8,20,-12,-5,2041,Deflect,0,375,8,20,-12,-5,154397
2041,Deflect,0,370,8,20,-12,-5,2051,Deflect,0,402,8,20,-12,-5,154398
2051,Coop,0,410,8,20,-12,-5,2041,Coop,0,378,8,20,-12,-5,154399
2041,Coop,0,386,8,20,-12,-5,2051,Coop,0,418,8,20,-12,-5,154400
2051,Coop,0,426,8,20,-12,-5,2041,Coop,0,394,8,20,-12,-5,154401
2041,Deflect,0,414,8,20,-12,-5,2051,Coop,0,414,8,20,-12,-5,154402
2051,Coop,0,402,8,20,-12,-5,2041,Deflect,0,434,8,20,-12,-5,154403
2041,Deflect,0,429,8,20,-12,-5,2051,Deflect,0,397,8,20,-12,-5,154404
2051,Deflect,0,417,8,20,-12,-5,2041,Coop,0,417,8,20,-12,-5,154405
2041,Deflect,0,412,8,20,-12,-5,2051,Deflect,0,412,8,20,-12,-5,154406
2051,Deflect,0,407,8,20,-12,-5,2041,Deflect,0,407,8,20,-12,-5,154407
2041,Coop,0,395,8,20,-12,-5,2051,Deflect,0,427,8,20,-12,-5,154408
2051,Coop,0,415,8,20,-12,-5,2041,Deflect,0,415,8,20,-12,-5,154409
2041,Coop,0,423,8,20,-12,-5,2051,Coop,0,423,8,20,-12,-5,154410
2051,Deflect,0,443,8,20,-12,-5,2041,Coop,0,411,8,20,-12,-5,154411
2041,Deflect,0,431,8,20,-12,-5,2051,Coop,0,431,8,20,-12,-5,154412
2051,Deflect,0,426,8,20,-12,-5,2041,Deflect,0,426,8,20,-12,-5,154413
2041,Coop,0,414,8,20,-12,-5,2051,Deflect,0,446,8,20,-12,-5,154414
2051,Coop,0,454,8,20,-12,-5,2041,Coop,0,422,8,20,-12,-5,154415
2041,Deflect,0,442,8,20,-12,-5,2051,Coop,0,442,8,20,-12,-5,154416
2051,Coop,0,430,8,20,-12,-5,2041,Deflect,0,462,8,20,-12,-5,154417
2041,Deflect,0,482,8,20,-12,-5,2051,Coop,0,418,8,20,-12,-5,154418
2051,Coop,0,426,8,20,-12,-5,2041,Coop,0,490,8,20,-12,-5,154419
2041,Coop,0,498,8,20,-12,-5,2051,Coop,0,434,8,20,-12,-5,154420
2051,Deflect,0,429,8,20,-12,-5,2041,Deflect,0,493,8,20,-12,-5,154421
2041,Coop,0,481,8,20,-12,-5,2051,Deflect,0,449,8,20,-12,-5,154422
2051,Deflect,0,469,8,20,-12,-5,2041,Coop,0,469,8,20,-12,-5,154423
2041,Coop,0,457,8,20,-12,-5,2051,Deflect,0,489,8,20,-12,-5,154424
2051,Deflect,0,484,8,20,-12,-5,2041,Deflect,0,452,8,20,-12,-5,154425
2041,Deflect,0,472,8,20,-12,-5,2051,Coop,0,472,8,20,-12,-5,154426
2051,Deflect,0,467,8,20,-12,-5,2041,Deflect,0,467,8,20,-12,-5,154427
2041,Deflect,0,487,8,20,-12,-5,2051,Coop,0,455,8,20,-12,-5,154428
2051,Coop,0,443,8,20,-12,-5,2041,Deflect,0,507,8,20,-12,-5,154429
2041,Deflect,0,527,8,20,-12,-5,2051,Coop,0,431,8,20,-12,-5,154430
2051,Deflect,0,426,8,20,-12,-5,2041,Deflect,0,522,8,20,-12,-5,154431
2041,Coop,0,530,8,20,-12,-5,2051,Coop,0,434,8,20,-12,-5,154432
2051,Deflect,0,454,8,20,-12,-5,2041,Coop,0,518,8,20,-12,-5,154433
2041,Coop,0,506,8,20,-12,-5,2051,Deflect,0,474,8,20,-12,-5,154434
2051,Coop,0,462,8,20,-12,-5,2041,Deflect,0,526,8,20,-12,-5,154435
2041,Deflect,0,546,8,20,-12,-5,2051,Coop,0,450,8,20,-12,-5,154436
2051,Deflect,0,470,8,20,-12,-5,2041,Coop,0,534,8,20,-12,-5,154437
2041,Deflect,0,554,8,20,-12,-5,2051,Coop,0,458,8,20,-12,-5,154438
2051,Deflect,0,478,8,20,-12,-5,2041,Coop,0,542,8,20,-12,-5,154439
2041,Coop,0,550,8,20,-12,-5,2051,Coop,0,486,8,20,-12,-5,154440
2051,Deflect,0,481,8,20,-12,-5,2041,Deflect,0,545,8,20,-12,-5,154441
2041,Coop,0,533,8,20,-12,-5,2051,Deflect,0,501,8,20,-12,-5,154442
2051,Deflect,0,521,8,20,-12,-5,2041,Coop,0,521,8,20,-12,-5,154443
2041,Deflect,0,516,8,20,-12,-5,2051,Deflect,0,516,8,20,-12,-5,154444
2051,Deflect,0,511,8,20,-12,-5,2041,Deflect,0,511,8,20,-12,-5,154445
2041,Coop,0,519,8,20,-12,-5,2051,Coop,0,519,8,20,-12,-5,154446
2051,Deflect,0,539,8,20,-12,-5,2041,Coop,0,507,8,20,-12,-5,154447
2041,Deflect,0,527,8,20,-12,-5,2051,Coop,0,527,8,20,-12,-5,154448
2051,Deflect,0,547,8,20,-12,-5,2041,Coop,0,515,8,20,-12,-5,154449
2041,Deflect,0,510,8,20,-12,-5,2051,Deflect,0,542,8,20,-12,-5,154450
2051,Coop,0,530,8,20,-12,-5,2041,Deflect,0,530,8,20,-12,-5,154451
2041,Coop,0,538,8,20,-12,-5,2051,Coop,0,538,8,20,-12,-5,154452
2051,Deflect,0,533,8,20,-12,-5,2041,Deflect,0,533,8,20,-12,-5,154453
2041,Coop,0,541,8,20,-12,-5,2051,Coop,0,541,8,20,-12,-5,154454
2051,Deflect,0,561,8,20,-12,-5,2041,Coop,0,529,8,20,-12,-5,154455
2041,Coop,0,517,8,20,-12,-5,2051,Deflect,0,581,8,20,-12,-5,154456
2051,Deflect,0,601,8,20,-12,-5,2041,Coop,0,505,8,20,-12,-5,154457
2051,Buy,0,601,8,20,-12,-5,2051,Buy,0,101,9,21,-11,-4,154458
2041,Deflect,0,525,8,20,-12,-5,2051,Coop,0,90,9,21,-11,-4,154459
2051,Coop,0,79,9,21,-11,-4,2041,Deflect,0,545,8,20,-12,-5,154460
2041,Deflect,0,540,8,20,-12,-5,2051,Deflect,0,75,9,21,-11,-4,154461
2051,Deflect,0,96,9,21,-11,-4,2041,Coop,0,528,8,20,-12,-5,154462
2041,Coop,0,536,8,20,-12,-5,2051,Coop,0,105,9,21,-11,-4,154463
2051,Deflect,0,101,9,21,-11,-4,2041,Deflect,0,531,8,20,-12,-5,154464
2041,Coop,0,539,8,20,-12,-5,2051,Coop,0,110,9,21,-11,-4,154465
2051,Coop,0,119,9,21,-11,-4,2041,Coop,0,547,8,20,-12,-5,154466
2041,Deflect,0,542,8,20,-12,-5,2051,Deflect,0,115,9,21,-11,-4,154467
2051,Coop,0,124,9,21,-11,-4,2041,Coop,0,550,8,20,-12,-5,154468
2041,Deflect,0,570,8,20,-12,-5,2051,Coop,0,113,9,21,-11,-4,154469
2051,Deflect,0,134,9,21,-11,-4,2041,Coop,0,558,8,20,-12,-5,154470
2041,Deflect,0,553,8,20,-12,-5,2051,Deflect,0,130,9,21,-11,-4,154471
2051,Deflect,0,151,9,21,-11,-4,2041,Coop,0,541,8,20,-12,-5,154472
2041,Coop,0,529,8,20,-12,-5,2051,Deflect,0,172,9,21,-11,-4,154473
2051,Deflect,0,193,9,21,-11,-4,2041,Coop,0,517,8,20,-12,-5,154474
2041,Coop,0,505,8,20,-12,-5,2051,Deflect,0,214,9,21,-11,-4,154475
2051,Coop,0,203,9,21,-11,-4,2041,Deflect,0,525,8,20,-12,-5,154476
2041,Deflect,0,545,8,20,-12,-5,2051,Coop,0,192,9,21,-11,-4,154477
