user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2040,Coop,0,108,8,20,-12,-5,2051,Coop,0,108,8,20,-12,-5,155521
2051,Coop,0,116,8,20,-12,-5,2040,Coop,0,116,8,20,-12,-5,155522
2040,Coop,0,124,8,20,-12,-5,2051,Coop,0,124,8,20,-12,-5,155523
2051,Coop,0,132,8,20,-12,-5,2040,Coop,0,132,8,20,-12,-5,155524
2040,Deflect,0,127,8,20,-12,-5,2051,Deflect,0,127,8,20,-12,-5,155525
2051,Deflect,0,122,8,20,-12,-5,2040,Deflect,0,122,8,20,-12,-5,155526
2040,Deflect,0,117,8,20,-12,-5,2051,Deflect,0,117,8,20,-12,-5,155527
2051,Deflect,0,112,8,20,-12,-5,2040,Deflect,0,112,8,20,-12,-5,155528
2040,Deflect,0,107,8,20,-12,-5,2051,Deflect,0,107,8,20,-12,-5,155529
2051,Deflect,0,102,8,20,-12,-5,2040,Deflect,0,102,8,20,-12,-5,155530
2040,Deflect,0,97,8,20,-12,-5,2051,Deflect,0,97,8,20,-12,-5,155531
2051,Deflect,0,92,8,20,-12,-5,2040,Deflect,0,92,8,20,-12,-5,155532
2040,Deflect,0,87,8,20,-12,-5,2051,Deflect,0,87,8,20,-12,-5,155533
2051,Deflect,0,82,8,20,-12,-5,2040,Deflect,0,82,8,20,-12,-5,155534
2040,Deflect,0,77,8,20,-12,-5,2051,Deflect,0,77,8,20,-12,-5,155535
2051,Deflect,0,72,8,20,-12,-5,2040,Deflect,0,72,8,20,-12,-5,155536
2040,Deflect,0,67,8,20,-12,-5,2051,Deflect,0,67,8,20,-12,-5,155537
2051,Deflect,0,62,8,20,-12,-5,2040,Deflect,0,62,8,20,-12,-5,155538
2040,Deflect,0,57,8,20,-12,-5,2051,Deflect,0,57,8,20,-12,-5,155539
2051,Deflect,0,52,8,20,-12,-5,2040,Deflect,0,52,8,20,-12,-5,155540
2040,Deflect,0,47,8,20,-12,-5,2051,Deflect,0,47,8,20,-12,-5,155541
2051,Deflect,0,42,8,20,-12,-5,2040,Deflect,0,42,8,20,-12,-5,155542
2040,Deflect,0,37,8,20,-12,-5,2051,Deflect,0,37,8,20,-12,-5,155543
2051,Deflect,0,32,8,20,-12,-5,2040,Deflect,0,32,8,20,-12,-5,155544
2040,Deflect,0,27,8,20,-12,-5,2051,Deflect,0,27,8,20,-12,-5,155545
2051,Deflect,0,22,8,20,-12,-5,2040,Deflect,0,22,8,20,-12,-5,155546
2040,Deflect,0,17,8,20,-12,-5,2051,Deflect,0,17,8,20,-12,-5,155547
2051,Deflect,0,12,8,20,-12,-5,2040,Deflect,0,12,8,20,-12,-5,155548
2040,Deflect,0,7,8,20,-12,-5,2051,Deflect,0,7,8,20,-12,-5,155549
2051,Deflect,0,2,8,20,-12,-5,2040,Deflect,0,2,8,20,-12,-5,155550
2040,Deflect,0,-3,8,20,-12,-5,2051,Deflect,0,-3,8,20,-12,-5,155551
