user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2048,Deflect,0,95,8,20,-12,-5,2051,Deflect,0,95,8,20,-12,-5,150022
2051,Coop,0,103,8,20,-12,-5,2048,Coop,0,103,8,20,-12,-5,150023
2048,Deflect,0,98,8,20,-12,-5,2051,Deflect,0,98,8,20,-12,-5,150024
2051,Coop,0,106,8,20,-12,-5,2048,Coop,0,106,8,20,-12,-5,150025
2048,Deflect,0,101,8,20,-12,-5,2051,Deflect,0,101,8,20,-12,-5,150026
2051,Coop,0,109,8,20,-12,-5,2048,Coop,0,109,8,20,-12,-5,150027
2048,Deflect,0,104,8,20,-12,-5,2051,Deflect,0,104,8,20,-12,-5,150028
2051,Coop,0,112,8,20,-12,-5,2048,Coop,0,112,8,20,-12,-5,150029
2048,Deflect,0,107,8,20,-12,-5,2051,Deflect,0,107,8,20,-12,-5,150030
2051,Coop,0,115,8,20,-12,-5,2048,Coop,0,115,8,20,-12,-5,150031
2048,Deflect,0,110,8,20,-12,-5,2051,Deflect,0,110,8,20,-12,-5,150032
2051,Coop,0,118,8,20,-12,-5,2048,Coop,0,118,8,20,-12,-5,150033
2048,Deflect,0,113,8,20,-12,-5,2051,Deflect,0,113,8,20,-12,-5,150034
2051,Coop,0,121,8,20,-12,-5,2048,Coop,0,121,8,20,-12,-5,150035
2048,Deflect,0,116,8,20,-12,-5,2051,Deflect,0,116,8,20,-12,-5,150036
2051,Coop,0,124,8,20,-12,-5,2048,Coop,0,124,8,20,-12,-5,150037
2048,Deflect,0,119,8,20,-12,-5,2051,Deflect,0,119,8,20,-12,-5,150038
2051,Coop,0,127,8,20,-12,-5,2048,Coop,0,127,8,20,-12,-5,150039
2048,Deflect,0,122,8,20,-12,-5,2051,Deflect,0,122,8,20,-12,-5,150040
2051,Coop,0,130,8,20,-12,-5,2048,Coop,0,130,8,20,-12,-5,150041
2048,Deflect,0,125,8,20,-12,-5,2051,Deflect,0,125,8,20,-12,-5,150042
2051,Coop,0,133,8,20,-12,-5,2048,Coop,0,133,8,20,-12,-5,150043
2048,Deflect,0,128,8,20,-12,-5,2051,Deflect,0,128,8,20,-12,-5,150044
2051,Coop,0,136,8,20,-12,-5,2048,Coop,0,136,8,20,-12,-5,150045
2048,Deflect,0,131,8,20,-12,-5,2051,Deflect,0,131,8,20,-12,-5,150046
2051,Coop,0,139,8,20,-12,-5,2048,Coop,0,139,8,20,-12,-5,150047
2048,Deflect,0,134,8,20,-12,-5,2051,Deflect,0,134,8,20,-12,-5,150048
2051,Coop,0,142,8,20,-12,-5,2048,Coop,0,142,8,20,-12,-5,150049
2048,Deflect,0,137,8,20,-12,-5,2051,Deflect,0,137,8,20,-12,-5,150050
2051,Coop,0,145,8,20,-12,-5,2048,Coop,0,145,8,20,-12,-5,150051
2048,Deflect,0,140,8,20,-12,-5,2051,Deflect,0,140,8,20,-12,-5,150052
2051,Coop,0,148,8,20,-12,-5,2048,Coop,0,148,8,20,-12,-5,150053
2048,Deflect,0,143,8,20,-12,-5,2051,Deflect,0,143,8,20,-12,-5,150054
2051,Coop,0,151,8,20,-12,-5,2048,Coop,0,151,8,20,-12,-5,150055
2048,Deflect,0,146,8,20,-12,-5,2051,Deflect,0,146,8,20,-12,-5,150056
2051,Coop,0,154,8,20,-12,-5,2048,Coop,0,154,8,20,-12,-5,150057
2048,Deflect,0,149,8,20,-12,-5,2051,Deflect,0,149,8,20,-12,-5,150058
2051,Coop,0,157,8,20,-12,-5,2048,Coop,0,157,8,20,-12,-5,150059
2048,Deflect,0,152,8,20,-12,-5,2051,Deflect,0,152,8,20,-12,-5,150060
2051,Coop,0,160,8,20,-12,-5,2048,Coop,0,160,8,20,-12,-5,150061
2048,Deflect,0,155,8,20,-12,-5,2051,Deflect,0,155,8,20,-12,-5,150062
2051,Coop,0,163,8,20,-12,-5,2048,Coop,0,163,8,20,-12,-5,150063
2048,Deflect,0,158,8,20,-12,-5,2051,Deflect,0,158,8,20,-12,-5,150064
2051,Coop,0,166,8,20,-12,-5,2048,Coop,0,166,8,20,-12,-5,150065
2048,Deflect,0,161,8,20,-12,-5,2051,Deflect,0,161,8,20,-12,-5,150066
2051,Coop,0,169,8,20,-12,-5,2048,Coop,0,169,8,20,-12,-5,150067
2048,Deflect,0,164,8,20,-12,-5,2051,Deflect,0,164,8,20,-12,-5,150068
2051,Coop,0,172,8,20,-12,-5,2048,Coop,0,172,8,20,-12,-5,150069
2048,Deflect,0,167,8,20,-12,-5,2051,Deflect,0,167,8,20,-12,-5,150070
2051,Coop,0,175,8,20,-12,-5,2048,Coop,0,175,8,20,-12,-5,150071
2048,Deflect,0,170,8,20,-12,-5,2051,Deflect,0,170,8,20,-12,-5,150072
2051,Coop,0,178,8,20,-12,-5,2048,Coop,0,178,8,20,-12,-5,150073
2048,Deflect,0,173,8,20,-12,-5,2051,Deflect,0,173,8,20,-12,-5,150074
2051,Coop,0,181,8,20,-12,-5,2048,Coop,0,181,8,20,-12,-5,150075
2048,Deflect,0,176,8,20,-12,-5,2051,Deflect,0,176,8,20,-12,-5,150076
2051,Coop,0,184,8,20,-12,-5,2048,Coop,0,184,8,20,-12,-5,150077
2048,Deflect,0,179,8,20,-12,-5,2051,Deflect,0,179,8,20,-12,-5,150078
2051,Coop,0,187,8,20,-12,-5,2048,Coop,0,187,8,20,-12,-5,150079
2048,Deflect,0,182,8,20,-12,-5,2051,Deflect,0,182,8,20,-12,-5,150080
2051,Coop,0,190,8,20,-12,-5,2048,Coop,0,190,8,20,-12,-5,150081
2048,Deflect,0,185,8,20,-12,-5,2051,Deflect,0,185,8,20,-12,-5,150082
2051,Coop,0,193,8,20,-12,-5,2048,Coop,0,193,8,20,-12,-5,150083
2048,Deflect,0,188,8,20,-12,-5,2051,Deflect,0,188,8,20,-12,-5,150084
2051,Coop,0,196,8,20,-12,-5,2048,Coop,0,196,8,20,-12,-5,150085
2048,Deflect,0,191,8,20,-12,-5,2051,Deflect,0,191,8,20,-12,-5,150086
2051,Coop,0,199,8,20,-12,-5,2048,Coop,0,199,8,20,-12,-5,150087
