user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2040,Coop,0,108,8,20,-12,-5,2043,Coop,0,108,8,20,-12,-5,140699
2043,Coop,0,116,8,20,-12,-5,2040,Coop,0,116,8,20,-12,-5,140700
2040,Coop,0,124,8,20,-12,-5,2043,Coop,0,124,8,20,-12,-5,140701
2043,Coop,0,132,8,20,-12,-5,2040,Coop,0,132,8,20,-12,-5,140702
2040,Deflect,0,152,8,20,-12,-5,2043,Coop,0,120,8,20,-12,-5,140703
2043,Coop,0,128,8,20,-12,-5,2040,Coop,0,160,8,20,-12,-5,140704
2040,Coop,0,168,8,20,-12,-5,2043,Coop,0,136,8,20,-12,-5,140705
2043,Coop,0,144,8,20,-12,-5,2040,Coop,0,176,8,20,-12,-5,140706
2040,Coop,0,184,8,20,-12,-5,2043,Coop,0,152,8,20,-12,-5,140707
2043,Coop,0,140,8,20,-12,-5,2040,Deflect,0,204,8,20,-12,-5,140708
2040,Coop,0,212,8,20,-12,-5,2043,Coop,0,148,8,20,-12,-5,140709
2043,Coop,0,156,8,20,-12,-5,2040,Coop,0,220,8,20,-12,-5,140710
2040,Coop,0,228,8,20,-12,-5,2043,Coop,0,164,8,20,-12,-5,140711
2043,Coop,0,172,8,20,-12,-5,2040,Coop,0,236,8,20,-12,-5,140712
2040,Deflect,0,256,8,20,-12,-5,2043,Coop,0,160,8,20,-12,-5,140713
2043,Coop,0,168,8,20,-12,-5,2040,Coop,0,264,8,20,-12,-5,140714
2040,Coop,0,272,8,20,-12,-5,2043,Coop,0,176,8,20,-12,-5,140715
2043,Coop,0,184,8,20,-12,-5,2040,Coop,0,280,8,20,-12,-5,140716
2040,Coop,0,288,8,20,-12,-5,2043,Coop,0,192,8,20,-12,-5,140717
2043,Coop,0,180,8,20,-12,-5,2040,Deflect,0,308,8,20,-12,-5,140718
2040,Coop,0,316,8,20,-12,-5,2043,Coop,0,188,8,20,-12,-5,140719
2043,Coop,0,196,8,20,-12,-5,2040,Coop,0,324,8,20,-12,-5,140720
2040,Coop,0,332,8,20,-12,-5,2043,Coop,0,204,8,20,-12,-5,140721
