user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2040,Coop,0,108,8,20,-12,-5,2047,Coop,0,108,8,20,-12,-5,142965
2047,Coop,0,116,8,20,-12,-5,2040,Coop,0,116,8,20,-12,-5,142966
2040,Coop,0,124,8,20,-12,-5,2047,Coop,0,124,8,20,-12,-5,142967
2047,Coop,0,132,8,20,-12,-5,2040,Coop,0,132,8,20,-12,-5,142968
2040,Deflect,0,152,8,20,-12,-5,2047,Coop,0,120,8,20,-12,-5,142969
2047,Deflect,0,140,8,20,-12,-5,2040,Coop,0,140,8,20,-12,-5,142970
2040,Deflect,0,135,8,20,-12,-5,2047,Deflect,0,135,8,20,-12,-5,142971
2047,Deflect,0,130,8,20,-12,-5,2040,Deflect,0,130,8,20,-12,-5,142972
2040,Deflect,0,125,8,20,-12,-5,2047,Deflect,0,125,8,20,-12,-5,142973
2047,Deflect,0,120,8,20,-12,-5,2040,Deflect,0,120,8,20,-12,-5,142974
2040,Deflect,0,115,8,20,-12,-5,2047,Deflect,0,115,8,20,-12,-5,142975
2047,Deflect,0,110,8,20,-12,-5,2040,Deflect,0,110,8,20,-12,-5,142976
2040,Deflect,0,105,8,20,-12,-5,2047,Deflect,0,105,8,20,-12,-5,142977
2047,Deflect,0,100,8,20,-12,-5,2040,Deflect,0,100,8,20,-12,-5,142978
2040,Deflect,0,95,8,20,-12,-5,2047,Deflect,0,95,8,20,-12,-5,142979
2047,Deflect,0,90,8,20,-12,-5,2040,Deflect,0,90,8,20,-12,-5,142980
2040,Deflect,0,85,8,20,-12,-5,2047,Deflect,0,85,8,20,-12,-5,142981
2047,Deflect,0,80,8,20,-12,-5,2040,Deflect,0,80,8,20,-12,-5,142982
2040,Deflect,0,75,8,20,-12,-5,2047,Deflect,0,75,8,20,-12,-5,142983
2047,Deflect,0,70,8,20,-12,-5,2040,Deflect,0,70,8,20,-12,-5,142984
2040,Deflect,0,65,8,20,-12,-5,2047,Deflect,0,65,8,20,-12,-5,142985
2047,Deflect,0,60,8,20,-12,-5,2040,Deflect,0,60,8,20,-12,-5,142986
2040,Deflect,0,55,8,20,-12,-5,2047,Deflect,0,55,8,20,-12,-5,142987
2047,Deflect,0,50,8,20,-12,-5,2040,Deflect,0,50,8,20,-12,-5,142988
2040,Deflect,0,45,8,20,-12,-5,2047,Deflect,0,45,8,20,-12,-5,142989
2047,Deflect,0,40,8,20,-12,-5,2040,Deflect,0,40,8,20,-12,-5,142990
2040,Deflect,0,35,8,20,-12,-5,2047,Deflect,0,35,8,20,-12,-5,142991
2047,Deflect,0,30,8,20,-12,-5,2040,Deflect,0,30,8,20,-12,-5,142992
2040,Deflect,0,25,8,20,-12,-5,2047,Deflect,0,25,8,20,-12,-5,142993
2047,Deflect,0,20,8,20,-12,-5,2040,Deflect,0,20,8,20,-12,-5,142994
2040,Deflect,0,15,8,20,-12,-5,2047,Deflect,0,15,8,20,-12,-5,142995
2047,Deflect,0,10,8,20,-12,-5,2040,Deflect,0,10,8,20,-12,-5,142996
2040,Deflect,0,5,8,20,-12,-5,2047,Deflect,0,5,8,20,-12,-5,142997
2047,Deflect,0,0,8,20,-12,-5,2040,Deflect,0,0,8,20,-12,-5,142998
