user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2040,Coop,0,108,8,20,-12,-5,2045,Coop,0,108,8,20,-12,-5,141891
2045,Coop,0,116,8,20,-12,-5,2040,Coop,0,116,8,20,-12,-5,141892
2040,Coop,0,124,8,20,-12,-5,2045,Coop,0,124,8,20,-12,-5,141893
2045,Coop,0,132,8,20,-12,-5,2040,Coop,0,132,8,20,-12,-5,141894
2040,Deflect,0,152,8,20,-12,-5,2045,Coop,0,120,8,20,-12,-5,141895
2045,Coop,0,128,8,20,-12,-5,2040,Coop,0,160,8,20,-12,-5,141896
2040,Coop,0,168,8,20,-12,-5,2045,Coop,0,136,8,20,-12,-5,141897
2045,Coop,0,144,8,20,-12,-5,2040,Coop,0,176,8,20,-12,-5,141898
2040,Coop,0,184,8,20,-12,-5,2045,Coop,0,152,8,20,-12,-5,141899
2045,Coop,0,140,8,20,-12,-5,2040,Deflect,0,204,8,20,-12,-5,141900
2040,Coop,0,212,8,20,-12,-5,2045,Coop,0,148,8,20,-12,-5,141901
2045,Coop,0,156,8,20,-12,-5,2040,Coop,0,220,8,20,-12,-5,141902
2040,Coop,0,228,8,20,-12,-5,2045,Coop,0,164,8,20,-12,-5,141903
2045,Coop,0,172,8,20,-12,-5,2040,Coop,0,236,8,20,-12,-5,141904
2040,Deflect,0,256,8,20,-12,-5,2045,Coop,0,160,8,20,-12,-5,141905
2045,Coop,0,168,8,20,-12,-5,2040,Coop,0,264,8,20,-12,-5,141906
2040,Coop,0,272,8,20,-12,-5,2045,Coop,0,176,8,20,-12,-5,141907
2045,Coop,0,184,8,20,-12,-5,2040,Coop,0,280,8,20,-12,-5,141908
2040,Coop,0,288,8,20,-12,-5,2045,Coop,0,192,8,20,-12,-5,141909
2045,Coop,0,180,8,20,-12,-5,2040,Deflect,0,308,8,20,-12,-5,141910
2040,Coop,0,316,8,20,-12,-5,2045,Coop,0,188,8,20,-12,-5,141911
2045,Coop,0,196,8,20,-12,-5,2040,Coop,0,324,8,20,-12,-5,141912
2040,Coop,0,332,8,20,-12,-5,2045,Coop,0,204,8,20,-12,-5,141913
2045,Coop,0,212,8,20,-12,-5,2040,Coop,0,340,8,20,-12,-5,141914
2040,Deflect,0,360,8,20,-12,-5,2045,Coop,0,200,8,20,-12,-5,141915
2045,Coop,0,208,8,20,-12,-5,2040,Coop,0,368,8,20,-12,-5,141916
2040,Coop,0,376,8,20,-12,-5,2045,Coop,0,216,8,20,-12,-5,141917
2045,Coop,0,224,8,20,-12,-5,2040,Coop,0,384,8,20,-12,-5,141918
2040,Coop,0,392,8,20,-12,-5,2045,Coop,0,232,8,20,-12,-5,141919
2045,Coop,0,220,8,20,-12,-5,2040,Deflect,0,412,8,20,-12,-5,141920
2040,Coop,0,420,8,20,-12,-5,2045,Coop,0,228,8,20,-12,-5,141921
2045,Coop,0,236,8,20,-12,-5,2040,Coop,0,428,8,20,-12,-5,141922
2040,Coop,0,436,8,20,-12,-5,2045,Coop,0,244,8,20,-12,-5,141923
2045,Coop,0,252,8,20,-12,-5,2040,Coop,0,444,8,20,-12,-5,141924
2040,Deflect,0,464,8,20,-12,-5,2045,Coop,0,240,8,20,-12,-5,141925
2045,Coop,0,248,8,20,-12,-5,2040,Coop,0,472,8,20,-12,-5,141926
2040,Coop,0,480,8,20,-12,-5,2045,Coop,0,256,8,20,-12,-5,141927
2045,Coop,0,264,8,20,-12,-5,2040,Coop,0,488,8,20,-12,-5,141928
2040,Coop,0,496,8,20,-12,-5,2045,Coop,0,272,8,20,-12,-5,141929
2045,Coop,0,260,8,20,-12,-5,2040,Deflect,0,516,8,20,-12,-5,141930
2040,Coop,0,524,8,20,-12,-5,2045,Coop,0,268,8,20,-12,-5,141931
2045,Coop,0,276,8,20,-12,-5,2040,Coop,0,532,8,20,-12,-5,141932
2040,Coop,0,540,8,20,-12,-5,2045,Coop,0,284,8,20,-12,-5,141933
2045,Coop,0,292,8,20,-12,-5,2040,Coop,0,548,8,20,-12,-5,141934
2040,Deflect,0,568,8,20,-12,-5,2045,Coop,0,280,8,20,-12,-5,141935
2045,Coop,0,288,8,20,-12,-5,2040,Coop,0,576,8,20,-12,-5,141936
2040,Coop,0,584,8,20,-12,-5,2045,Coop,0,296,8,20,-12,-5,141937
2045,Coop,0,304,8,20,-12,-5,2040,Coop,0,592,8,20,-12,-5,141938
2040,Coop,0,600,8,20,-12,-5,2045,Coop,0,312,8,20,-12,-5,141939
2045,Coop,0,300,8,20,-12,-5,2040,Deflect,0,620,8,20,-12,-5,141940
2040,Buy,0,620,8,20,-12,-5,2040,Buy,0,120,9,21,-11,-4,141941
2040,Coop,0,129,9,21,-11,-4,2045,Coop,0,308,8,20,-12,-5,141942
2045,Coop,0,316,8,20,-12,-5,2040,Coop,0,138,9,21,-11,-4,141943
2040,Coop,0,147,9,21,-11,-4,2045,Coop,0,324,8,20,-12,-5,141944
2045,Coop,0,332,8,20,-12,-5,2040,Coop,0,156,9,21,-11,-4,141945
2040,Deflect,0,177,9,21,-11,-4,2045,Coop,0,320,8,20,-12,-5,141946
2045,Coop,0,328,8,20,-12,-5,2040,Coop,0,186,9,21,-11,-4,141947
2040,Coop,0,195,9,21,-11,-4,2045,Coop,0,336,8,20,-12,-5,141948
2045,Coop,0,344,8,20,-12,-5,2040,Coop,0,204,9,21,-11,-4,141949
2040,Coop,0,213,9,21,-11,-4,2045,Coop,0,352,8,20,-12,-5,141950
2045,Coop,0,340,8,20,-12,-5,2040,Deflect,0,234,9,21,-11,-4,141951
2040,Coop,0,243,9,21,-11,-4,2045,Coop,0,348,8,20,-12,-5,141952
2045,Coop,0,356,8,20,-12,-5,2040,Coop,0,252,9,21,-11,-4,141953
2040,Coop,0,261,9,21,-11,-4,2045,Coop,0,364,8,20,-12,-5,141954
2045,Coop,0,372,8,20,-12,-5,2040,Coop,0,270,9,21,-11,-4,141955
2040,Deflect,0,291,9,21,-11,-4,2045,Coop,0,360,8,20,-12,-5,141956
2045,Coop,0,368,8,20,-12,-5,2040,Coop,0,300,9,21,-11,-4,141957
2040,Coop,0,309,9,21,-11,-4,2045,Coop,0,376,8,20,-12,-5,141958
2045,Coop,0,384,8,20,-12,-5,2040,Coop,0,318,9,21,-11,-4,141959
2040,Coop,0,327,9,21,-11,-4,2045,Coop,0,392,8,20,-12,-5,141960
2045,Coop,0,380,8,20,-12,-5,2040,Deflect,0,348,9,21,-11,-4,141961
2040,Coop,0,357,9,21,-11,-4,2045,Coop,0,388,8,20,-12,-5,141962
2045,Coop,0,396,8,20,-12,-5,2040,Coop,0,366,9,21,-11,-4,141963
2040,Coop,0,375,9,21,-11,-4,2045,Coop,0,404,8,20,-12,-5,141964
2045,Coop,0,412,8,20,-12,-5,2040,Coop,0,384,9,21,-11,-4,141965
2040,Deflect,0,405,9,21,-11,-4,2045,Coop,0,400,8,20,-12,-5,141966
2045,Coop,0,408,8,20,-12,-5,2040,Coop,0,414,9,21,-11,-4,141967
2040,Coop,0,423,9,21,-11,-4,2045,Coop,0,416,8,20,-12,-5,141968
2045,Coop,0,424,8,20,-12,-5,2040,Coop,0,432,9,21,-11,-4,141969
2040,Coop,0,441,9,21,-11,-4,2045,Coop,0,432,8,20,-12,-5,141970
2045,Coop,0,420,8,20,-12,-5,2040,Deflect,0,462,9,21,-11,-4,141971
2040,Coop,0,471,9,21,-11,-4,2045,Coop,0,428,8,20,-12,-5,141972
2045,Coop,0,436,8,20,-12,-5,2040,Coop,0,480,9,21,-11,-4,141973
2040,Coop,0,489,9,21,-11,-4,2045,Coop,0,444,8,20,-12,-5,141974
2045,Coop,0,452,8,20,-12,-5,2040,Coop,0,498,9,21,-11,-4,141975
2040,Deflect,0,519,9,21,-11,-4,2045,Coop,0,440,8,20,-12,-5,141976
2045,Coop,0,448,8,20,-12,-5,2040,Coop,0,528,9,21,-11,-4,141977
2040,Coop,0,537,9,21,-11,-4,2045,Coop,0,456,8,20,-12,-5,141978
2045,Coop,0,464,8,20,-12,-5,2040,Coop,0,546,9,21,-11,-4,141979
