user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2039,Coop,0,108,8,20,-12,-5,2040,Coop,0,108,8,20,-12,-5,119543
2040,Coop,0,116,8,20,-12,-5,2039,Coop,0,116,8,20,-12,-5,119544
2039,Coop,0,124,8,20,-12,-5,2040,Coop,0,124,8,20,-12,-5,119545
2040,Coop,0,132,8,20,-12,-5,2039,Coop,0,132,8,20,-12,-5,119546
2039,Coop,0,120,8,20,-12,-5,2040,Deflect,0,152,8,20,-12,-5,119547
2040,Coop,0,140,8,20,-12,-5,2039,Deflect,0,140,8,20,-12,-5,119548
2039,Coop,0,128,8,20,-12,-5,2040,Deflect,0,160,8,20,-12,-5,119549
2040,Coop,0,148,8,20,-12,-5,2039,Deflect,0,148,8,20,-12,-5,119550
2039,Coop,0,136,8,20,-12,-5,2040,Deflect,0,168,8,20,-12,-5,119551
2040,Deflect,0,163,8,20,-12,-5,2039,Deflect,0,131,8,20,-12,-5,119552
2039,Deflect,0,126,8,20,-12,-5,2040,Deflect,0,158,8,20,-12,-5,119553
2040,Deflect,0,153,8,20,-12,-5,2039,Deflect,0,121,8,20,-12,-5,119554
2039,Deflect,0,116,8,20,-12,-5,2040,Deflect,0,148,8,20,-12,-5,119555
2040,Deflect,0,143,8,20,-12,-5,2039,Deflect,0,111,8,20,-12,-5,119556
2039,Deflect,0,106,8,20,-12,-5,2040,Deflect,0,138,8,20,-12,-5,119557
2040,Deflect,0,133,8,20,-12,-5,2039,Deflect,0,101,8,20,-12,-5,119558
2039,Deflect,0,96,8,20,-12,-5,2040,Deflect,0,128,8,20,-12,-5,119559
2040,Deflect,0,123,8,20,-12,-5,2039,Deflect,0,91,8,20,-12,-5,119560
2039,Deflect,0,86,8,20,-12,-5,2040,Deflect,0,118,8,20,-12,-5,119561
2040,Deflect,0,113,8,20,-12,-5,2039,Deflect,0,81,8,20,-12,-5,119562
2039,Deflect,0,76,8,20,-12,-5,2040,Deflect,0,108,8,20,-12,-5,119563
2040,Deflect,0,103,8,20,-12,-5,2039,Deflect,0,71,8,20,-12,-5,119564
2039,Deflect,0,66,8,20,-12,-5,2040,Deflect,0,98,8,20,-12,-5,119565
2040,Deflect,0,93,8,20,-12,-5,2039,Deflect,0,61,8,20,-12,-5,119566
2039,Deflect,0,56,8,20,-12,-5,2040,Deflect,0,88,8,20,-12,-5,119567
2040,Deflect,0,83,8,20,-12,-5,2039,Deflect,0,51,8,20,-12,-5,119568
2039,Deflect,0,46,8,20,-12,-5,2040,Deflect,0,78,8,20,-12,-5,119569
2040,Deflect,0,73,8,20,-12,-5,2039,Deflect,0,41,8,20,-12,-5,119570
2039,Deflect,0,36,8,20,-12,-5,2040,Deflect,0,68,8,20,-12,-5,119571
2040,Deflect,0,63,8,20,-12,-5,2039,Deflect,0,31,8,20,-12,-5,119572
2039,Deflect,0,26,8,20,-12,-5,2040,Deflect,0,58,8,20,-12,-5,119573
2040,Deflect,0,53,8,20,-12,-5,2039,Deflect,0,21,8,20,-12,-5,119574
2039,Deflect,0,16,8,20,-12,-5,2040,Deflect,0,48,8,20,-12,-5,119575
2040,Deflect,0,43,8,20,-12,-5,2039,Deflect,0,11,8,20,-12,-5,119576
2039,Deflect,0,6,8,20,-12,-5,2040,Deflect,0,38,8,20,-12,-5,119577
2040,Deflect,0,33,8,20,-12,-5,2039,Deflect,0,1,8,20,-12,-5,119578
2039,Deflect,0,-4,8,20,-12,-5,2040,Deflect,0,28,8,20,-12,-5,119579
