user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2039,Coop,0,88,8,20,-12,-5,2041,Deflect,0,120,8,20,-12,-5,119580
2041,Coop,0,108,8,20,-12,-5,2039,Deflect,0,108,8,20,-12,-5,119581
2039,Coop,0,96,8,20,-12,-5,2041,Deflect,0,128,8,20,-12,-5,119582
2041,Coop,0,116,8,20,-12,-5,2039,Deflect,0,116,8,20,-12,-5,119583
2039,Coop,0,104,8,20,-12,-5,2041,Deflect,0,136,8,20,-12,-5,119584
2041,Coop,0,124,8,20,-12,-5,2039,Deflect,0,124,8,20,-12,-5,119585
2039,Coop,0,132,8,20,-12,-5,2041,Coop,0,132,8,20,-12,-5,119586
2041,Coop,0,140,8,20,-12,-5,2039,Coop,0,140,8,20,-12,-5,119587
2039,Coop,0,148,8,20,-12,-5,2041,Coop,0,148,8,20,-12,-5,119588
2041,Deflect,0,168,8,20,-12,-5,2039,Coop,0,136,8,20,-12,-5,119589
2039,Deflect,0,131,8,20,-12,-5,2041,Deflect,0,163,8,20,-12,-5,119590
2041,Deflect,0,158,8,20,-12,-5,2039,Deflect,0,126,8,20,-12,-5,119591
2039,Deflect,0,146,8,20,-12,-5,2041,Coop,0,146,8,20,-12,-5,119592
2041,Coop,0,154,8,20,-12,-5,2039,Coop,0,154,8,20,-12,-5,119593
2039,Coop,0,142,8,20,-12,-5,2041,Deflect,0,174,8,20,-12,-5,119594
2041,Deflect,0,169,8,20,-12,-5,2039,Deflect,0,137,8,20,-12,-5,119595
2039,Deflect,0,132,8,20,-12,-5,2041,Deflect,0,164,8,20,-12,-5,119596
2041,Deflect,0,159,8,20,-12,-5,2039,Deflect,0,127,8,20,-12,-5,119597
2039,Deflect,0,147,8,20,-12,-5,2041,Coop,0,147,8,20,-12,-5,119598
2041,Deflect,0,167,8,20,-12,-5,2039,Coop,0,135,8,20,-12,-5,119599
2039,Deflect,0,155,8,20,-12,-5,2041,Coop,0,155,8,20,-12,-5,119600
2041,Coop,0,163,8,20,-12,-5,2039,Coop,0,163,8,20,-12,-5,119601
2039,Coop,0,171,8,20,-12,-5,2041,Coop,0,171,8,20,-12,-5,119602
2041,Coop,0,179,8,20,-12,-5,2039,Coop,0,179,8,20,-12,-5,119603
2039,Coop,0,187,8,20,-12,-5,2041,Coop,0,187,8,20,-12,-5,119604
2041,Coop,0,195,8,20,-12,-5,2039,Coop,0,195,8,20,-12,-5,119605
2039,Coop,0,203,8,20,-12,-5,2041,Coop,0,203,8,20,-12,-5,119606
2041,Deflect,0,223,8,20,-12,-5,2039,Coop,0,191,8,20,-12,-5,119607
2039,Deflect,0,186,8,20,-12,-5,2041,Deflect,0,218,8,20,-12,-5,119608
2041,Deflect,0,213,8,20,-12,-5,2039,Deflect,0,181,8,20,-12,-5,119609
2039,Deflect,0,176,8,20,-12,-5,2041,Deflect,0,208,8,20,-12,-5,119610
2041,Coop,0,196,8,20,-12,-5,2039,Deflect,0,196,8,20,-12,-5,119611
2039,Coop,0,184,8,20,-12,-5,2041,Deflect,0,216,8,20,-12,-5,119612
2041,Coop,0,204,8,20,-12,-5,2039,Deflect,0,204,8,20,-12,-5,119613
2039,Coop,0,212,8,20,-12,-5,2041,Coop,0,212,8,20,-12,-5,119614
2041,Deflect,0,232,8,20,-12,-5,2039,Coop,0,200,8,20,-12,-5,119615
2039,Deflect,0,195,8,20,-12,-5,2041,Deflect,0,227,8,20,-12,-5,119616
2041,Coop,0,215,8,20,-12,-5,2039,Deflect,0,215,8,20,-12,-5,119617
2039,Coop,0,223,8,20,-12,-5,2041,Coop,0,223,8,20,-12,-5,119618
2041,Coop,0,231,8,20,-12,-5,2039,Coop,0,231,8,20,-12,-5,119619
2039,Coop,0,239,8,20,-12,-5,2041,Coop,0,239,8,20,-12,-5,119620
2041,Deflect,0,259,8,20,-12,-5,2039,Coop,0,227,8,20,-12,-5,119621
2039,Deflect,0,247,8,20,-12,-5,2041,Coop,0,247,8,20,-12,-5,119622
2041,Deflect,0,267,8,20,-12,-5,2039,Coop,0,235,8,20,-12,-5,119623
2039,Deflect,0,255,8,20,-12,-5,2041,Coop,0,255,8,20,-12,-5,119624
2041,Coop,0,263,8,20,-12,-5,2039,Coop,0,263,8,20,-12,-5,119625
2039,Coop,0,271,8,20,-12,-5,2041,Coop,0,271,8,20,-12,-5,119626
2041,Deflect,0,291,8,20,-12,-5,2039,Coop,0,259,8,20,-12,-5,119627
2039,Deflect,0,279,8,20,-12,-5,2041,Coop,0,279,8,20,-12,-5,119628
2041,Coop,0,287,8,20,-12,-5,2039,Coop,0,287,8,20,-12,-5,119629
2039,Coop,0,295,8,20,-12,-5,2041,Coop,0,295,8,20,-12,-5,119630
2041,Deflect,0,315,8,20,-12,-5,2039,Coop,0,283,8,20,-12,-5,119631
2039,Deflect,0,303,8,20,-12,-5,2041,Coop,0,303,8,20,-12,-5,119632
2041,Coop,0,311,8,20,-12,-5,2039,Coop,0,311,8,20,-12,-5,119633
2039,Coop,0,299,8,20,-12,-5,2041,Deflect,0,331,8,20,-12,-5,119634
2041,Deflect,0,326,8,20,-12,-5,2039,Deflect,0,294,8,20,-12,-5,119635
2039,Deflect,0,289,8,20,-12,-5,2041,Deflect,0,321,8,20,-12,-5,119636
2041,Coop,0,309,8,20,-12,-5,2039,Deflect,0,309,8,20,-12,-5,119637
2039,Coop,0,297,8,20,-12,-5,2041,Deflect,0,329,8,20,-12,-5,119638
2041,Coop,0,317,8,20,-12,-5,2039,Deflect,0,317,8,20,-12,-5,119639
2039,Coop,0,325,8,20,-12,-5,2041,Coop,0,325,8,20,-12,-5,119640
2041,Deflect,0,345,8,20,-12,-5,2039,Coop,0,313,8,20,-12,-5,119641
2039,Deflect,0,333,8,20,-12,-5,2041,Coop,0,333,8,20,-12,-5,119642
2041,Coop,0,341,8,20,-12,-5,2039,Coop,0,341,8,20,-12,-5,119643
2039,Coop,0,349,8,20,-12,-5,2041,Coop,0,349,8,20,-12,-5,119644
2041,Deflect,0,369,8,20,-12,-5,2039,Coop,0,337,8,20,-12,-5,119645
2039,Deflect,0,332,8,20,-12,-5,2041,Deflect,0,364,8,20,-12,-5,119646
2041,Deflect,0,359,8,20,-12,-5,2039,Deflect,0,327,8,20,-12,-5,119647
2039,Deflect,0,322,8,20,-12,-5,2041,Deflect,0,354,8,20,-12,-5,119648
2041,Coop,0,342,8,20,-12,-5,2039,Deflect,0,342,8,20,-12,-5,119649
2039,Coop,0,350,8,20,-12,-5,2041,Coop,0,350,8,20,-12,-5,119650
2041,Deflect,0,370,8,20,-12,-5,2039,Coop,0,338,8,20,-12,-5,119651
2039,Deflect,0,358,8,20,-12,-5,2041,Coop,0,358,8,20,-12,-5,119652
2041,Coop,0,366,8,20,-12,-5,2039,Coop,0,366,8,20,-12,-5,119653
2039,Coop,0,354,8,20,-12,-5,2041,Deflect,0,386,8,20,-12,-5,119654
2041,Coop,0,374,8,20,-12,-5,2039,Deflect,0,374,8,20,-12,-5,119655
2039,Coop,0,382,8,20,-12,-5,2041,Coop,0,382,8,20,-12,-5,119656
2041,Deflect,0,402,8,20,-12,-5,2039,Coop,0,370,8,20,-12,-5,119657
2039,Deflect,0,365,8,20,-12,-5,2041,Deflect,0,397,8,20,-12,-5,119658
2041,Coop,0,385,8,20,-12,-5,2039,Deflect,0,385,8,20,-12,-5,119659
2039,Coop,0,373,8,20,-12,-5,2041,Deflect,0,405,8,20,-12,-5,119660
2041,Coop,0,393,8,20,-12,-5,2039,Deflect,0,393,8,20,-12,-5,119661
2039,Coop,0,381,8,20,-12,-5,2041,Deflect,0,413,8,20,-12,-5,119662
