user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2041,Deflect,0,95,8,20,-12,-5,2042,Deflect,0,95,8,20,-12,-5,93649
2042,Deflect,0,90,8,20,-12,-5,2041,Deflect,0,90,8,20,-12,-5,93650
2041,Deflect,0,85,8,20,-12,-5,2042,Deflect,0,85,8,20,-12,-5,93651
2042,Deflect,0,80,8,20,-12,-5,2041,Deflect,0,80,8,20,-12,-5,93652
2041,Coop,0,68,8,20,-12,-5,2042,Deflect,0,100,8,20,-12,-5,93653
2042,Deflect,0,95,8,20,-12,-5,2041,Deflect,0,63,8,20,-12,-5,93654
2041,Coop,0,51,8,20,-12,-5,2042,Deflect,0,115,8,20,-12,-5,93655
2042,Deflect,0,135,8,20,-12,-5,2041,Coop,0,39,8,20,-12,-5,93656
2041,Deflect,0,34,8,20,-12,-5,2042,Deflect,0,130,8,20,-12,-5,93657
2042,Deflect,0,125,8,20,-12,-5,2041,Deflect,0,29,8,20,-12,-5,93658
2041,Coop,0,17,8,20,-12,-5,2042,Deflect,0,145,8,20,-12,-5,93659
2042,Deflect,0,165,8,20,-12,-5,2041,Coop,0,5,8,20,-12,-5,93660
2041,Deflect,0,0,8,20,-12,-5,2042,Deflect,0,160,8,20,-12,-5,93661
