user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2045,Coop,0,108,8,20,-12,-5,2047,Coop,0,108,8,20,-12,-5,108683
2047,Coop,0,116,8,20,-12,-5,2045,Coop,0,116,8,20,-12,-5,108684
2045,Coop,0,124,8,20,-12,-5,2047,Coop,0,124,8,20,-12,-5,108685
2047,Coop,0,132,8,20,-12,-5,2045,Coop,0,132,8,20,-12,-5,108686
2045,Coop,0,140,8,20,-12,-5,2047,Coop,0,140,8,20,-12,-5,108687
2047,Coop,0,148,8,20,-12,-5,2045,Coop,0,148,8,20,-12,-5,108688
2045,Coop,0,156,8,20,-12,-5,2047,Coop,0,156,8,20,-12,-5,108689
2047,Coop,0,164,8,20,-12,-5,2045,Coop,0,164,8,20,-12,-5,108690
2045,Coop,0,172,8,20,-12,-5,2047,Coop,0,172,8,20,-12,-5,108691
2047,Coop,0,180,8,20,-12,-5,2045,Coop,0,180,8,20,-12,-5,108692
2045,Coop,0,188,8,20,-12,-5,2047,Coop,0,188,8,20,-12,-5,108693
2047,Coop,0,196,8,20,-12,-5,2045,Coop,0,196,8,20,-12,-5,108694
2045,Coop,0,204,8,20,-12,-5,2047,Coop,0,204,8,20,-12,-5,108695
2047,Coop,0,212,8,20,-12,-5,2045,Coop,0,212,8,20,-12,-5,108696
2045,Coop,0,220,8,20,-12,-5,2047,Coop,0,220,8,20,-12,-5,108697
2047,Coop,0,228,8,20,-12,-5,2045,Coop,0,228,8,20,-12,-5,108698
2045,Coop,0,236,8,20,-12,-5,2047,Coop,0,236,8,20,-12,-5,108699
2047,Coop,0,244,8,20,-12,-5,2045,Coop,0,244,8,20,-12,-5,108700
2045,Coop,0,252,8,20,-12,-5,2047,Coop,0,252,8,20,-12,-5,108701
2047,Coop,0,260,8,20,-12,-5,2045,Coop,0,260,8,20,-12,-5,108702
2045,Coop,0,268,8,20,-12,-5,2047,Coop,0,268,8,20,-12,-5,108703
2047,Coop,0,276,8,20,-12,-5,2045,Coop,0,276,8,20,-12,-5,108704
2045,Coop,0,284,8,20,-12,-5,2047,Coop,0,284,8,20,-12,-5,108705
2047,Coop,0,292,8,20,-12,-5,2045,Coop,0,292,8,20,-12,-5,108706
2045,Coop,0,300,8,20,-12,-5,2047,Coop,0,300,8,20,-12,-5,108707
2047,Coop,0,308,8,20,-12,-5,2045,Coop,0,308,8,20,-12,-5,108708
2045,Coop,0,316,8,20,-12,-5,2047,Coop,0,316,8,20,-12,-5,108709
2047,Coop,0,324,8,20,-12,-5,2045,Coop,0,324,8,20,-12,-5,108710
2045,Coop,0,332,8,20,-12,-5,2047,Coop,0,332,8,20,-12,-5,108711
2047,Coop,0,340,8,20,-12,-5,2045,Coop,0,340,8,20,-12,-5,108712
2045,Coop,0,348,8,20,-12,-5,2047,Coop,0,348,8,20,-12,-5,108713
2047,Coop,0,356,8,20,-12,-5,2045,Coop,0,356,8,20,-12,-5,108714
2045,Coop,0,364,8,20,-12,-5,2047,Coop,0,364,8,20,-12,-5,108715
2047,Coop,0,372,8,20,-12,-5,2045,Coop,0,372,8,20,-12,-5,108716
2045,Coop,0,380,8,20,-12,-5,2047,Coop,0,380,8,20,-12,-5,108717
2047,Coop,0,388,8,20,-12,-5,2045,Coop,0,388,8,20,-12,-5,108718
2045,Coop,0,396,8,20,-12,-5,2047,Coop,0,396,8,20,-12,-5,108719
2047,Coop,0,404,8,20,-12,-5,2045,Coop,0,404,8,20,-12,-5,108720
2045,Coop,0,412,8,20,-12,-5,2047,Coop,0,412,8,20,-12,-5,108721
2047,Coop,0,420,8,20,-12,-5,2045,Coop,0,420,8,20,-12,-5,108722
2045,Coop,0,428,8,20,-12,-5,2047,Coop,0,428,8,20,-12,-5,108723
2047,Coop,0,436,8,20,-12,-5,2045,Coop,0,436,8,20,-12,-5,108724
2045,Coop,0,444,8,20,-12,-5,2047,Coop,0,444,8,20,-12,-5,108725
2047,Coop,0,452,8,20,-12,-5,2045,Coop,0,452,8,20,-12,-5,108726
2045,Coop,0,460,8,20,-12,-5,2047,Coop,0,460,8,20,-12,-5,108727
2047,Coop,0,468,8,20,-12,-5,2045,Coop,0,468,8,20,-12,-5,108728
2045,Coop,0,476,8,20,-12,-5,2047,Coop,0,476,8,20,-12,-5,108729
2047,Coop,0,484,8,20,-12,-5,2045,Coop,0,484,8,20,-12,-5,108730
2045,Coop,0,492,8,20,-12,-5,2047,Coop,0,492,8,20,-12,-5,108731
2047,Coop,0,500,8,20,-12,-5,2045,Coop,0,500,8,20,-12,-5,108732
2045,Coop,0,508,8,20,-12,-5,2047,Coop,0,508,8,20,-12,-5,108733
2047,Coop,0,516,8,20,-12,-5,2045,Coop,0,516,8,20,-12,-5,108734
2045,Coop,0,524,8,20,-12,-5,2047,Coop,0,524,8,20,-12,-5,108735
2047,Coop,0,532,8,20,-12,-5,2045,Coop,0,532,8,20,-12,-5,108736
2045,Coop,0,540,8,20,-12,-5,2047,Coop,0,540,8,20,-12,-5,108737
2047,Coop,0,548,8,20,-12,-5,2045,Coop,0,548,8,20,-12,-5,108738
2045,Coop,0,556,8,20,-12,-5,2047,Coop,0,556,8,20,-12,-5,108739
2047,Coop,0,564,8,20,-12,-5,2045,Coop,0,564,8,20,-12,-5,108740
2045,Coop,0,572,8,20,-12,-5,2047,Coop,0,572,8,20,-12,-5,108741
2047,Coop,0,580,8,20,-12,-5,2045,Coop,0,580,8,20,-12,-5,108742
2045,Coop,0,588,8,20,-12,-5,2047,Coop,0,588,8,20,-12,-5,108743
