user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2040,Coop,0,108,8,20,-12,-5,2047,Coop,0,108,8,20,-12,-5,91475
2047,Coop,0,116,8,20,-12,-5,2040,Coop,0,116,8,20,-12,-5,91476
2040,Coop,0,124,8,20,-12,-5,2047,Coop,0,124,8,20,-12,-5,91477
2047,Coop,0,132,8,20,-12,-5,2040,Coop,0,132,8,20,-12,-5,91478
2040,Deflect,0,152,8,20,-12,-5,2047,Coop,0,120,8,20,-12,-5,91479
2047,Deflect,0,140,8,20,-12,-5,2040,Coop,0,140,8,20,-12,-5,91480
2040,Deflect,0,135,8,20,-12,-5,2047,Deflect,0,135,8,20,-12,-5,91481
2047,Deflect,0,130,8,20,-12,-5,2040,Deflect,0,130,8,20,-12,-5,91482
2040,Deflect,0,125,8,20,-12,-5,2047,Deflect,0,125,8,20,-12,-5,91483
2047,Deflect,0,120,8,20,-12,-5,2040,Deflect,0,120,8,20,-12,-5,91484
2040,Deflect,0,115,8,20,-12,-5,2047,Deflect,0,115,8,20,-12,-5,91485
2047,Deflect,0,110,8,20,-12,-5,2040,Deflect,0,110,8,20,-12,-5,91486
2040,Deflect,0,105,8,20,-12,-5,2047,Deflect,0,105,8,20,-12,-5,91487
2047,Deflect,0,100,8,20,-12,-5,2040,Deflect,0,100,8,20,-12,-5,91488
2040,Deflect,0,95,8,20,-12,-5,2047,Deflect,0,95,8,20,-12,-5,91489
2047,Deflect,0,90,8,20,-12,-5,2040,Deflect,0,90,8,20,-12,-5,91490
2040,Deflect,0,85,8,20,-12,-5,2047,Deflect,0,85,8,20,-12,-5,91491
2047,Deflect,0,80,8,20,-12,-5,2040,Deflect,0,80,8,20,-12,-5,91492
2040,Deflect,0,75,8,20,-12,-5,2047,Deflect,0,75,8,20,-12,-5,91493
2047,Deflect,0,70,8,20,-12,-5,2040,Deflect,0,70,8,20,-12,-5,91494
2040,Deflect,0,65,8,20,-12,-5,2047,Deflect,0,65,8,20,-12,-5,91495
2047,Deflect,0,60,8,20,-12,-5,2040,Deflect,0,60,8,20,-12,-5,91496
2040,Deflect,0,55,8,20,-12,-5,2047,Deflect,0,55,8,20,-12,-5,91497
2047,Deflect,0,50,8,20,-12,-5,2040,Deflect,0,50,8,20,-12,-5,91498
2040,Deflect,0,45,8,20,-12,-5,2047,Deflect,0,45,8,20,-12,-5,91499
2047,Deflect,0,40,8,20,-12,-5,2040,Deflect,0,40,8,20,-12,-5,91500
2040,Deflect,0,35,8,20,-12,-5,2047,Deflect,0,35,8,20,-12,-5,91501
2047,Deflect,0,30,8,20,-12,-5,2040,Deflect,0,30,8,20,-12,-5,91502
2040,Deflect,0,25,8,20,-12,-5,2047,Deflect,0,25,8,20,-12,-5,91503
2047,Deflect,0,20,8,20,-12,-5,2040,Deflect,0,20,8,20,-12,-5,91504
2040,Deflect,0,15,8,20,-12,-5,2047,Deflect,0,15,8,20,-12,-5,91505
2047,Deflect,0,10,8,20,-12,-5,2040,Deflect,0,10,8,20,-12,-5,91506
2040,Deflect,0,5,8,20,-12,-5,2047,Deflect,0,5,8,20,-12,-5,91507
2047,Deflect,0,0,8,20,-12,-5,2040,Deflect,0,0,8,20,-12,-5,91508
