user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2041,Deflect,0,95,8,20,-12,-5,2048,Deflect,0,95,8,20,-12,-5,118360
2048,Coop,0,83,8,20,-12,-5,2041,Deflect,0,115,8,20,-12,-5,118361
2041,Coop,0,123,8,20,-12,-5,2048,Coop,0,91,8,20,-12,-5,118362
2048,Coop,0,99,8,20,-12,-5,2041,Coop,0,131,8,20,-12,-5,118363
2041,Coop,0,139,8,20,-12,-5,2048,Coop,0,107,8,20,-12,-5,118364
2048,Coop,0,115,8,20,-12,-5,2041,Coop,0,147,8,20,-12,-5,118365
2041,Deflect,0,167,8,20,-12,-5,2048,Coop,0,103,8,20,-12,-5,118366
2048,Deflect,0,98,8,20,-12,-5,2041,Deflect,0,162,8,20,-12,-5,118367
2041,Deflect,0,157,8,20,-12,-5,2048,Deflect,0,93,8,20,-12,-5,118368
2048,Deflect,0,113,8,20,-12,-5,2041,Coop,0,145,8,20,-12,-5,118369
2041,Coop,0,153,8,20,-12,-5,2048,Coop,0,121,8,20,-12,-5,118370
2048,Coop,0,109,8,20,-12,-5,2041,Deflect,0,173,8,20,-12,-5,118371
2041,Coop,0,161,8,20,-12,-5,2048,Deflect,0,129,8,20,-12,-5,118372
2048,Coop,0,117,8,20,-12,-5,2041,Deflect,0,181,8,20,-12,-5,118373
2041,Coop,0,169,8,20,-12,-5,2048,Deflect,0,137,8,20,-12,-5,118374
2048,Coop,0,145,8,20,-12,-5,2041,Coop,0,177,8,20,-12,-5,118375
2041,Coop,0,185,8,20,-12,-5,2048,Coop,0,153,8,20,-12,-5,118376
2048,Coop,0,141,8,20,-12,-5,2041,Deflect,0,205,8,20,-12,-5,118377
2041,Coop,0,193,8,20,-12,-5,2048,Deflect,0,161,8,20,-12,-5,118378
2048,Coop,0,169,8,20,-12,-5,2041,Coop,0,201,8,20,-12,-5,118379
2041,Deflect,0,221,8,20,-12,-5,2048,Coop,0,157,8,20,-12,-5,118380
2048,Deflect,0,152,8,20,-12,-5,2041,Deflect,0,216,8,20,-12,-5,118381
2041,Deflect,0,211,8,20,-12,-5,2048,Deflect,0,147,8,20,-12,-5,118382
2048,Deflect,0,142,8,20,-12,-5,2041,Deflect,0,206,8,20,-12,-5,118383
2041,Coop,0,194,8,20,-12,-5,2048,Deflect,0,162,8,20,-12,-5,118384
2048,Coop,0,150,8,20,-12,-5,2041,Deflect,0,214,8,20,-12,-5,118385
2041,Coop,0,202,8,20,-12,-5,2048,Deflect,0,170,8,20,-12,-5,118386
2048,Coop,0,158,8,20,-12,-5,2041,Deflect,0,222,8,20,-12,-5,118387
2041,Coop,0,210,8,20,-12,-5,2048,Deflect,0,178,8,20,-12,-5,118388
2048,Coop,0,166,8,20,-12,-5,2041,Deflect,0,230,8,20,-12,-5,118389
2041,Coop,0,218,8,20,-12,-5,2048,Deflect,0,186,8,20,-12,-5,118390
2048,Coop,0,194,8,20,-12,-5,2041,Coop,0,226,8,20,-12,-5,118391
2041,Coop,0,234,8,20,-12,-5,2048,Coop,0,202,8,20,-12,-5,118392
2048,Coop,0,190,8,20,-12,-5,2041,Deflect,0,254,8,20,-12,-5,118393
2041,Coop,0,242,8,20,-12,-5,2048,Deflect,0,210,8,20,-12,-5,118394
2048,Coop,0,198,8,20,-12,-5,2041,Deflect,0,262,8,20,-12,-5,118395
2041,Coop,0,250,8,20,-12,-5,2048,Deflect,0,218,8,20,-12,-5,118396
2048,Coop,0,226,8,20,-12,-5,2041,Coop,0,258,8,20,-12,-5,118397
2041,Deflect,0,278,8,20,-12,-5,2048,Coop,0,214,8,20,-12,-5,118398
2048,Deflect,0,234,8,20,-12,-5,2041,Coop,0,266,8,20,-12,-5,118399
2041,Deflect,0,286,8,20,-12,-5,2048,Coop,0,222,8,20,-12,-5,118400
2048,Deflect,0,217,8,20,-12,-5,2041,Deflect,0,281,8,20,-12,-5,118401
2041,Coop,0,269,8,20,-12,-5,2048,Deflect,0,237,8,20,-12,-5,118402
2048,Coop,0,225,8,20,-12,-5,2041,Deflect,0,289,8,20,-12,-5,118403
2041,Coop,0,277,8,20,-12,-5,2048,Deflect,0,245,8,20,-12,-5,118404
2048,Coop,0,253,8,20,-12,-5,2041,Coop,0,285,8,20,-12,-5,118405
2041,Coop,0,293,8,20,-12,-5,2048,Coop,0,261,8,20,-12,-5,118406
2048,Coop,0,249,8,20,-12,-5,2041,Deflect,0,313,8,20,-12,-5,118407
2041,Coop,0,301,8,20,-12,-5,2048,Deflect,0,269,8,20,-12,-5,118408
2048,Coop,0,277,8,20,-12,-5,2041,Coop,0,309,8,20,-12,-5,118409
2041,Deflect,0,329,8,20,-12,-5,2048,Coop,0,265,8,20,-12,-5,118410
2048,Deflect,0,260,8,20,-12,-5,2041,Deflect,0,324,8,20,-12,-5,118411
2041,Coop,0,312,8,20,-12,-5,2048,Deflect,0,280,8,20,-12,-5,118412
2048,Coop,0,268,8,20,-12,-5,2041,Deflect,0,332,8,20,-12,-5,118413
2041,Coop,0,320,8,20,-12,-5,2048,Deflect,0,288,8,20,-12,-5,118414
2048,Coop,0,296,8,20,-12,-5,2041,Coop,0,328,8,20,-12,-5,118415
2041,Coop,0,336,8,20,-12,-5,2048,Coop,0,304,8,20,-12,-5,118416
2048,Coop,0,312,8,20,-12,-5,2041,Coop,0,344,8,20,-12,-5,118417
2041,Deflect,0,364,8,20,-12,-5,2048,Coop,0,300,8,20,-12,-5,118418
2048,Deflect,0,295,8,20,-12,-5,2041,Deflect,0,359,8,20,-12,-5,118419
2041,Coop,0,347,8,20,-12,-5,2048,Deflect,0,315,8,20,-12,-5,118420
2048,Coop,0,323,8,20,-12,-5,2041,Coop,0,355,8,20,-12,-5,118421
2041,Coop,0,363,8,20,-12,-5,2048,Coop,0,331,8,20,-12,-5,118422
2048,Coop,0,339,8,20,-12,-5,2041,Coop,0,371,8,20,-12,-5,118423
2041,Coop,0,379,8,20,-12,-5,2048,Coop,0,347,8,20,-12,-5,118424
2048,Coop,0,335,8,20,-12,-5,2041,Deflect,0,399,8,20,-12,-5,118425
2041,Deflect,0,394,8,20,-12,-5,2048,Deflect,0,330,8,20,-12,-5,118426
2048,Deflect,0,350,8,20,-12,-5,2041,Coop,0,382,8,20,-12,-5,118427
2041,Deflect,0,402,8,20,-12,-5,2048,Coop,0,338,8,20,-12,-5,118428
2048,Deflect,0,358,8,20,-12,-5,2041,Coop,0,390,8,20,-12,-5,118429
2041,Coop,0,398,8,20,-12,-5,2048,Coop,0,366,8,20,-12,-5,118430
2048,Coop,0,354,8,20,-12,-5,2041,Deflect,0,418,8,20,-12,-5,118431
2041,Coop,0,406,8,20,-12,-5,2048,Deflect,0,374,8,20,-12,-5,118432
2048,Coop,0,362,8,20,-12,-5,2041,Deflect,0,426,8,20,-12,-5,118433
2041,Deflect,0,421,8,20,-12,-5,2048,Deflect,0,357,8,20,-12,-5,118434
2048,Deflect,0,377,8,20,-12,-5,2041,Coop,0,409,8,20,-12,-5,118435
2041,Coop,0,417,8,20,-12,-5,2048,Coop,0,385,8,20,-12,-5,118436
2048,Coop,0,393,8,20,-12,-5,2041,Coop,0,425,8,20,-12,-5,118437
2041,Deflect,0,445,8,20,-12,-5,2048,Coop,0,381,8,20,-12,-5,118438
2048,Deflect,0,376,8,20,-12,-5,2041,Deflect,0,440,8,20,-12,-5,118439
2041,Coop,0,428,8,20,-12,-5,2048,Deflect,0,396,8,20,-12,-5,118440
2048,Coop,0,404,8,20,-12,-5,2041,Coop,0,436,8,20,-12,-5,118441
2041,Deflect,0,456,8,20,-12,-5,2048,Coop,0,392,8,20,-12,-5,118442
2048,Deflect,0,412,8,20,-12,-5,2041,Coop,0,444,8,20,-12,-5,118443
2041,Deflect,0,464,8,20,-12,-5,2048,Coop,0,400,8,20,-12,-5,118444
2048,Deflect,0,395,8,20,-12,-5,2041,Deflect,0,459,8,20,-12,-5,118445
2041,Coop,0,447,8,20,-12,-5,2048,Deflect,0,415,8,20,-12,-5,118446
2048,Coop,0,423,8,20,-12,-5,2041,Coop,0,455,8,20,-12,-5,118447
2041,Deflect,0,475,8,20,-12,-5,2048,Coop,0,411,8,20,-12,-5,118448
2048,Deflect,0,431,8,20,-12,-5,2041,Coop,0,463,8,20,-12,-5,118449
2041,Coop,0,471,8,20,-12,-5,2048,Coop,0,439,8,20,-12,-5,118450
2048,Coop,0,427,8,20,-12,-5,2041,Deflect,0,491,8,20,-12,-5,118451
2041,Coop,0,479,8,20,-12,-5,2048,Deflect,0,447,8,20,-12,-5,118452
2048,Coop,0,435,8,20,-12,-5,2041,Deflect,0,499,8,20,-12,-5,118453
2041,Deflect,0,494,8,20,-12,-5,2048,Deflect,0,430,8,20,-12,-5,118454
2048,Deflect,0,425,8,20,-12,-5,2041,Deflect,0,489,8,20,-12,-5,118455
2041,Coop,0,477,8,20,-12,-5,2048,Deflect,0,445,8,20,-12,-5,118456
2048,Coop,0,433,8,20,-12,-5,2041,Deflect,0,497,8,20,-12,-5,118457
2041,Deflect,0,492,8,20,-12,-5,2048,Deflect,0,428,8,20,-12,-5,118458
2048,Deflect,0,423,8,20,-12,-5,2041,Deflect,0,487,8,20,-12,-5,118459
2041,Coop,0,475,8,20,-12,-5,2048,Deflect,0,443,8,20,-12,-5,118460
2048,Coop,0,451,8,20,-12,-5,2041,Coop,0,483,8,20,-12,-5,118461
2041,Deflect,0,503,8,20,-12,-5,2048,Coop,0,439,8,20,-12,-5,118462
2048,Deflect,0,434,8,20,-12,-5,2041,Deflect,0,498,8,20,-12,-5,118463
2041,Deflect,0,493,8,20,-12,-5,2048,Deflect,0,429,8,20,-12,-5,118464
2048,Deflect,0,449,8,20,-12,-5,2041,Coop,0,481,8,20,-12,-5,118465
2041,Coop,0,489,8,20,-12,-5,2048,Coop,0,457,8,20,-12,-5,118466
2048,Coop,0,465,8,20,-12,-5,2041,Coop,0,497,8,20,-12,-5,118467
2041,Deflect,0,517,8,20,-12,-5,2048,Coop,0,453,8,20,-12,-5,118468
2048,Deflect,0,448,8,20,-12,-5,2041,Deflect,0,512,8,20,-12,-5,118469
2041,Coop,0,500,8,20,-12,-5,2048,Deflect,0,468,8,20,-12,-5,118470
2048,Coop,0,456,8,20,-12,-5,2041,Deflect,0,520,8,20,-12,-5,118471
2041,Coop,0,508,8,20,-12,-5,2048,Deflect,0,476,8,20,-12,-5,118472
