user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2045,Coop,0,108,8,20,-12,-5,2051,Coop,0,108,8,20,-12,-5,107630
2051,Coop,0,116,8,20,-12,-5,2045,Coop,0,116,8,20,-12,-5,107631
2045,Coop,0,124,8,20,-12,-5,2051,Coop,0,124,8,20,-12,-5,107632
2051,Coop,0,132,8,20,-12,-5,2045,Coop,0,132,8,20,-12,-5,107633
2045,Coop,0,140,8,20,-12,-5,2051,Coop,0,140,8,20,-12,-5,107634
2051,Coop,0,148,8,20,-12,-5,2045,Coop,0,148,8,20,-12,-5,107635
2045,Coop,0,156,8,20,-12,-5,2051,Coop,0,156,8,20,-12,-5,107636
2051,Coop,0,164,8,20,-12,-5,2045,Coop,0,164,8,20,-12,-5,107637
2045,Coop,0,172,8,20,-12,-5,2051,Coop,0,172,8,20,-12,-5,107638
2051,Coop,0,180,8,20,-12,-5,2045,Coop,0,180,8,20,-12,-5,107639
2045,Coop,0,188,8,20,-12,-5,2051,Coop,0,188,8,20,-12,-5,107640
2051,Coop,0,196,8,20,-12,-5,2045,Coop,0,196,8,20,-12,-5,107641
2045,Coop,0,204,8,20,-12,-5,2051,Coop,0,204,8,20,-12,-5,107642
2051,Coop,0,212,8,20,-12,-5,2045,Coop,0,212,8,20,-12,-5,107643
2045,Coop,0,220,8,20,-12,-5,2051,Coop,0,220,8,20,-12,-5,107644
2051,Coop,0,228,8,20,-12,-5,2045,Coop,0,228,8,20,-12,-5,107645
2045,Coop,0,236,8,20,-12,-5,2051,Coop,0,236,8,20,-12,-5,107646
2051,Coop,0,244,8,20,-12,-5,2045,Coop,0,244,8,20,-12,-5,107647
2045,Coop,0,252,8,20,-12,-5,2051,Coop,0,252,8,20,-12,-5,107648
2051,Coop,0,260,8,20,-12,-5,2045,Coop,0,260,8,20,-12,-5,107649
2045,Coop,0,268,8,20,-12,-5,2051,Coop,0,268,8,20,-12,-5,107650
2051,Coop,0,276,8,20,-12,-5,2045,Coop,0,276,8,20,-12,-5,107651
2045,Coop,0,284,8,20,-12,-5,2051,Coop,0,284,8,20,-12,-5,107652
2051,Coop,0,292,8,20,-12,-5,2045,Coop,0,292,8,20,-12,-5,107653
