user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2040,Coop,0,88,8,20,-12,-5,2041,Deflect,0,120,8,20,-12,-5,92595
2041,Deflect,0,115,8,20,-12,-5,2040,Deflect,0,83,8,20,-12,-5,92596
2040,Deflect,0,78,8,20,-12,-5,2041,Deflect,0,110,8,20,-12,-5,92597
2041,Coop,0,98,8,20,-12,-5,2040,Deflect,0,98,8,20,-12,-5,92598
2040,Deflect,0,93,8,20,-12,-5,2041,Deflect,0,93,8,20,-12,-5,92599
2041,Coop,0,81,8,20,-12,-5,2040,Deflect,0,113,8,20,-12,-5,92600
2040,Coop,0,101,8,20,-12,-5,2041,Deflect,0,101,8,20,-12,-5,92601
2041,Deflect,0,96,8,20,-12,-5,2040,Deflect,0,96,8,20,-12,-5,92602
2040,Deflect,0,116,8,20,-12,-5,2041,Coop,0,84,8,20,-12,-5,92603
2041,Deflect,0,79,8,20,-12,-5,2040,Deflect,0,111,8,20,-12,-5,92604
2040,Deflect,0,131,8,20,-12,-5,2041,Coop,0,67,8,20,-12,-5,92605
2041,Coop,0,75,8,20,-12,-5,2040,Coop,0,139,8,20,-12,-5,92606
2040,Coop,0,147,8,20,-12,-5,2041,Coop,0,83,8,20,-12,-5,92607
2041,Coop,0,91,8,20,-12,-5,2040,Coop,0,155,8,20,-12,-5,92608
2040,Deflect,0,150,8,20,-12,-5,2041,Deflect,0,86,8,20,-12,-5,92609
2041,Deflect,0,81,8,20,-12,-5,2040,Deflect,0,145,8,20,-12,-5,92610
2040,Deflect,0,140,8,20,-12,-5,2041,Deflect,0,76,8,20,-12,-5,92611
2041,Deflect,0,71,8,20,-12,-5,2040,Deflect,0,135,8,20,-12,-5,92612
2040,Deflect,0,130,8,20,-12,-5,2041,Deflect,0,66,8,20,-12,-5,92613
2041,Coop,0,54,8,20,-12,-5,2040,Deflect,0,150,8,20,-12,-5,92614
2040,Coop,0,138,8,20,-12,-5,2041,Deflect,0,74,8,20,-12,-5,92615
2041,Coop,0,62,8,20,-12,-5,2040,Deflect,0,158,8,20,-12,-5,92616
2040,Coop,0,166,8,20,-12,-5,2041,Coop,0,70,8,20,-12,-5,92617
2041,Coop,0,78,8,20,-12,-5,2040,Coop,0,174,8,20,-12,-5,92618
2040,Deflect,0,169,8,20,-12,-5,2041,Deflect,0,73,8,20,-12,-5,92619
2041,Coop,0,61,8,20,-12,-5,2040,Deflect,0,189,8,20,-12,-5,92620
2040,Coop,0,197,8,20,-12,-5,2041,Coop,0,69,8,20,-12,-5,92621
2041,Coop,0,77,8,20,-12,-5,2040,Coop,0,205,8,20,-12,-5,92622
2040,Coop,0,193,8,20,-12,-5,2041,Deflect,0,97,8,20,-12,-5,92623
2041,Coop,0,85,8,20,-12,-5,2040,Deflect,0,213,8,20,-12,-5,92624
2040,Coop,0,221,8,20,-12,-5,2041,Coop,0,93,8,20,-12,-5,92625
2041,Coop,0,101,8,20,-12,-5,2040,Coop,0,229,8,20,-12,-5,92626
2040,Coop,0,217,8,20,-12,-5,2041,Deflect,0,121,8,20,-12,-5,92627
2041,Deflect,0,116,8,20,-12,-5,2040,Deflect,0,212,8,20,-12,-5,92628
2040,Deflect,0,207,8,20,-12,-5,2041,Deflect,0,111,8,20,-12,-5,92629
2041,Coop,0,99,8,20,-12,-5,2040,Deflect,0,227,8,20,-12,-5,92630
2040,Coop,0,235,8,20,-12,-5,2041,Coop,0,107,8,20,-12,-5,92631
2041,Coop,0,115,8,20,-12,-5,2040,Coop,0,243,8,20,-12,-5,92632
2040,Coop,0,231,8,20,-12,-5,2041,Deflect,0,135,8,20,-12,-5,92633
2041,Deflect,0,130,8,20,-12,-5,2040,Deflect,0,226,8,20,-12,-5,92634
2040,Deflect,0,246,8,20,-12,-5,2041,Coop,0,118,8,20,-12,-5,92635
2041,Deflect,0,138,8,20,-12,-5,2040,Coop,0,234,8,20,-12,-5,92636
2040,Deflect,0,229,8,20,-12,-5,2041,Deflect,0,133,8,20,-12,-5,92637
2041,Deflect,0,128,8,20,-12,-5,2040,Deflect,0,224,8,20,-12,-5,92638
2040,Deflect,0,219,8,20,-12,-5,2041,Deflect,0,123,8,20,-12,-5,92639
2041,Deflect,0,118,8,20,-12,-5,2040,Deflect,0,214,8,20,-12,-5,92640
2040,Deflect,0,209,8,20,-12,-5,2041,Deflect,0,113,8,20,-12,-5,92641
2041,Coop,0,101,8,20,-12,-5,2040,Deflect,0,229,8,20,-12,-5,92642
2040,Coop,0,217,8,20,-12,-5,2041,Deflect,0,121,8,20,-12,-5,92643
2041,Coop,0,109,8,20,-12,-5,2040,Deflect,0,237,8,20,-12,-5,92644
2040,Coop,0,245,8,20,-12,-5,2041,Coop,0,117,8,20,-12,-5,92645
2041,Coop,0,125,8,20,-12,-5,2040,Coop,0,253,8,20,-12,-5,92646
2040,Coop,0,261,8,20,-12,-5,2041,Coop,0,133,8,20,-12,-5,92647
2041,Coop,0,141,8,20,-12,-5,2040,Coop,0,269,8,20,-12,-5,92648
2040,Deflect,0,264,8,20,-12,-5,2041,Deflect,0,136,8,20,-12,-5,92649
2041,Coop,0,124,8,20,-12,-5,2040,Deflect,0,284,8,20,-12,-5,92650
2040,Coop,0,272,8,20,-12,-5,2041,Deflect,0,144,8,20,-12,-5,92651
2041,Deflect,0,139,8,20,-12,-5,2040,Deflect,0,267,8,20,-12,-5,92652
2040,Deflect,0,287,8,20,-12,-5,2041,Coop,0,127,8,20,-12,-5,92653
2041,Deflect,0,122,8,20,-12,-5,2040,Deflect,0,282,8,20,-12,-5,92654
2040,Deflect,0,277,8,20,-12,-5,2041,Deflect,0,117,8,20,-12,-5,92655
2041,Deflect,0,112,8,20,-12,-5,2040,Deflect,0,272,8,20,-12,-5,92656
2040,Deflect,0,267,8,20,-12,-5,2041,Deflect,0,107,8,20,-12,-5,92657
2041,Coop,0,95,8,20,-12,-5,2040,Deflect,0,287,8,20,-12,-5,92658
2040,Deflect,0,307,8,20,-12,-5,2041,Coop,0,83,8,20,-12,-5,92659
2041,Coop,0,91,8,20,-12,-5,2040,Coop,0,315,8,20,-12,-5,92660
