user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2040,Coop,0,108,8,20,-12,-5,2045,Coop,0,108,8,20,-12,-5,104565
2045,Coop,0,116,8,20,-12,-5,2040,Coop,0,116,8,20,-12,-5,104566
2040,Coop,0,124,8,20,-12,-5,2045,Coop,0,124,8,20,-12,-5,104567
2045,Coop,0,132,8,20,-12,-5,2040,Coop,0,132,8,20,-12,-5,104568
2040,Deflect,0,152,8,20,-12,-5,2045,Coop,0,120,8,20,-12,-5,104569
2045,Coop,0,128,8,20,-12,-5,2040,Coop,0,160,8,20,-12,-5,104570
2040,Coop,0,168,8,20,-12,-5,2045,Coop,0,136,8,20,-12,-5,104571
2045,Coop,0,144,8,20,-12,-5,2040,Coop,0,176,8,20,-12,-5,104572
2040,Coop,0,184,8,20,-12,-5,2045,Coop,0,152,8,20,-12,-5,104573
2045,Coop,0,140,8,20,-12,-5,2040,Deflect,0,204,8,20,-12,-5,104574
2040,Coop,0,212,8,20,-12,-5,2045,Coop,0,148,8,20,-12,-5,104575
2045,Coop,0,156,8,20,-12,-5,2040,Coop,0,220,8,20,-12,-5,104576
2040,Coop,0,228,8,20,-12,-5,2045,Coop,0,164,8,20,-12,-5,104577
2045,Coop,0,172,8,20,-12,-5,2040,Coop,0,236,8,20,-12,-5,104578
2040,Deflect,0,256,8,20,-12,-5,2045,Coop,0,160,8,20,-12,-5,104579
2045,Coop,0,168,8,20,-12,-5,2040,Coop,0,264,8,20,-12,-5,104580
2040,Coop,0,272,8,20,-12,-5,2045,Coop,0,176,8,20,-12,-5,104581
2045,Coop,0,184,8,20,-12,-5,2040,Coop,0,280,8,20,-12,-5,104582
2040,Coop,0,288,8,20,-12,-5,2045,Coop,0,192,8,20,-12,-5,104583
2045,Coop,0,180,8,20,-12,-5,2040,Deflect,0,308,8,20,-12,-5,104584
2040,Coop,0,316,8,20,-12,-5,2045,Coop,0,188,8,20,-12,-5,104585
2045,Coop,0,196,8,20,-12,-5,2040,Coop,0,324,8,20,-12,-5,104586
2040,Coop,0,332,8,20,-12,-5,2045,Coop,0,204,8,20,-12,-5,104587
2045,Coop,0,212,8,20,-12,-5,2040,Coop,0,340,8,20,-12,-5,104588
2040,Deflect,0,360,8,20,-12,-5,2045,Coop,0,200,8,20,-12,-5,104589
2045,Coop,0,208,8,20,-12,-5,2040,Coop,0,368,8,20,-12,-5,104590
2040,Coop,0,376,8,20,-12,-5,2045,Coop,0,216,8,20,-12,-5,104591
2045,Coop,0,224,8,20,-12,-5,2040,Coop,0,384,8,20,-12,-5,104592
2040,Coop,0,392,8,20,-12,-5,2045,Coop,0,232,8,20,-12,-5,104593
2045,Coop,0,220,8,20,-12,-5,2040,Deflect,0,412,8,20,-12,-5,104594
2040,Coop,0,420,8,20,-12,-5,2045,Coop,0,228,8,20,-12,-5,104595
2045,Coop,0,236,8,20,-12,-5,2040,Coop,0,428,8,20,-12,-5,104596
2040,Coop,0,436,8,20,-12,-5,2045,Coop,0,244,8,20,-12,-5,104597
2045,Coop,0,252,8,20,-12,-5,2040,Coop,0,444,8,20,-12,-5,104598
2040,Deflect,0,464,8,20,-12,-5,2045,Coop,0,240,8,20,-12,-5,104599
2045,Coop,0,248,8,20,-12,-5,2040,Coop,0,472,8,20,-12,-5,104600
2040,Coop,0,480,8,20,-12,-5,2045,Coop,0,256,8,20,-12,-5,104601
2045,Coop,0,264,8,20,-12,-5,2040,Coop,0,488,8,20,-12,-5,104602
2040,Coop,0,496,8,20,-12,-5,2045,Coop,0,272,8,20,-12,-5,104603
2045,Coop,0,260,8,20,-12,-5,2040,Deflect,0,516,8,20,-12,-5,104604
2040,Coop,0,524,8,20,-12,-5,2045,Coop,0,268,8,20,-12,-5,104605
2045,Coop,0,276,8,20,-12,-5,2040,Coop,0,532,8,20,-12,-5,104606
2040,Coop,0,540,8,20,-12,-5,2045,Coop,0,284,8,20,-12,-5,104607
2045,Coop,0,292,8,20,-12,-5,2040,Coop,0,548,8,20,-12,-5,104608
2040,Deflect,0,568,8,20,-12,-5,2045,Coop,0,280,8,20,-12,-5,104609
2045,Coop,0,288,8,20,-12,-5,2040,Coop,0,576,8,20,-12,-5,104610
2040,Coop,0,584,8,20,-12,-5,2045,Coop,0,296,8,20,-12,-5,104611
2045,Coop,0,304,8,20,-12,-5,2040,Coop,0,592,8,20,-12,-5,104612
2040,Coop,0,600,8,20,-12,-5,2045,Coop,0,312,8,20,-12,-5,104613
2045,Coop,0,300,8,20,-12,-5,2040,Deflect,0,620,8,20,-12,-5,104614
2040,Buy,0,620,8,20,-12,-5,2040,Buy,0,120,9,21,-11,-4,104615
2040,Coop,0,129,9,21,-11,-4,2045,Coop,0,308,8,20,-12,-5,104616
2045,Coop,0,316,8,20,-12,-5,2040,Coop,0,138,9,21,-11,-4,104617
2040,Coop,0,147,9,21,-11,-4,2045,Coop,0,324,8,20,-12,-5,104618
2045,Coop,0,332,8,20,-12,-5,2040,Coop,0,156,9,21,-11,-4,104619
