user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2039,Coop,0,108,8,20,-12,-5,2047,Coop,0,108,8,20,-12,-5,47982
2047,Coop,0,116,8,20,-12,-5,2039,Coop,0,116,8,20,-12,-5,47983
2039,Coop,0,124,8,20,-12,-5,2047,Coop,0,124,8,20,-12,-5,47984
2047,Coop,0,132,8,20,-12,-5,2039,Coop,0,132,8,20,-12,-5,47985
2039,Coop,0,140,8,20,-12,-5,2047,Coop,0,140,8,20,-12,-5,47986
2047,Coop,0,148,8,20,-12,-5,2039,Coop,0,148,8,20,-12,-5,47987
2039,Coop,0,156,8,20,-12,-5,2047,Coop,0,156,8,20,-12,-5,47988
2047,Coop,0,164,8,20,-12,-5,2039,Coop,0,164,8,20,-12,-5,47989
2039,Coop,0,172,8,20,-12,-5,2047,Coop,0,172,8,20,-12,-5,47990
2047,Coop,0,180,8,20,-12,-5,2039,Coop,0,180,8,20,-12,-5,47991
2039,Coop,0,188,8,20,-12,-5,2047,Coop,0,188,8,20,-12,-5,47992
2047,Coop,0,196,8,20,-12,-5,2039,Coop,0,196,8,20,-12,-5,47993
2039,Coop,0,204,8,20,-12,-5,2047,Coop,0,204,8,20,-12,-5,47994
2047,Coop,0,212,8,20,-12,-5,2039,Coop,0,212,8,20,-12,-5,47995
2039,Coop,0,220,8,20,-12,-5,2047,Coop,0,220,8,20,-12,-5,47996
2047,Coop,0,228,8,20,-12,-5,2039,Coop,0,228,8,20,-12,-5,47997
2039,Coop,0,236,8,20,-12,-5,2047,Coop,0,236,8,20,-12,-5,47998
2047,Coop,0,244,8,20,-12,-5,2039,Coop,0,244,8,20,-12,-5,47999
2039,Coop,0,252,8,20,-12,-5,2047,Coop,0,252,8,20,-12,-5,48000
2047,Coop,0,260,8,20,-12,-5,2039,Coop,0,260,8,20,-12,-5,48001
2039,Coop,0,268,8,20,-12,-5,2047,Coop,0,268,8,20,-12,-5,48002
2047,Coop,0,276,8,20,-12,-5,2039,Coop,0,276,8,20,-12,-5,48003
2039,Coop,0,284,8,20,-12,-5,2047,Coop,0,284,8,20,-12,-5,48004
2047,Coop,0,292,8,20,-12,-5,2039,Coop,0,292,8,20,-12,-5,48005
2039,Coop,0,300,8,20,-12,-5,2047,Coop,0,300,8,20,-12,-5,48006
2047,Coop,0,308,8,20,-12,-5,2039,Coop,0,308,8,20,-12,-5,48007
2039,Coop,0,316,8,20,-12,-5,2047,Coop,0,316,8,20,-12,-5,48008
2047,Coop,0,324,8,20,-12,-5,2039,Coop,0,324,8,20,-12,-5,48009
2039,Coop,0,332,8,20,-12,-5,2047,Coop,0,332,8,20,-12,-5,48010
2047,Coop,0,340,8,20,-12,-5,2039,Coop,0,340,8,20,-12,-5,48011
2039,Coop,0,348,8,20,-12,-5,2047,Coop,0,348,8,20,-12,-5,48012
2047,Coop,0,356,8,20,-12,-5,2039,Coop,0,356,8,20,-12,-5,48013
2039,Coop,0,364,8,20,-12,-5,2047,Coop,0,364,8,20,-12,-5,48014
2047,Coop,0,372,8,20,-12,-5,2039,Coop,0,372,8,20,-12,-5,48015
2039,Coop,0,380,8,20,-12,-5,2047,Coop,0,380,8,20,-12,-5,48016
2047,Coop,0,388,8,20,-12,-5,2039,Coop,0,388,8,20,-12,-5,48017
2039,Coop,0,396,8,20,-12,-5,2047,Coop,0,396,8,20,-12,-5,48018
2047,Coop,0,404,8,20,-12,-5,2039,Coop,0,404,8,20,-12,-5,48019
2039,Coop,0,412,8,20,-12,-5,2047,Coop,0,412,8,20,-12,-5,48020
2047,Coop,0,420,8,20,-12,-5,2039,Coop,0,420,8,20,-12,-5,48021
2039,Coop,0,428,8,20,-12,-5,2047,Coop,0,428,8,20,-12,-5,48022
2047,Coop,0,436,8,20,-12,-5,2039,Coop,0,436,8,20,-12,-5,48023
2039,Coop,0,444,8,20,-12,-5,2047,Coop,0,444,8,20,-12,-5,48024
2047,Coop,0,452,8,20,-12,-5,2039,Coop,0,452,8,20,-12,-5,48025
2039,Coop,0,460,8,20,-12,-5,2047,Coop,0,460,8,20,-12,-5,48026
2047,Coop,0,468,8,20,-12,-5,2039,Coop,0,468,8,20,-12,-5,48027
2039,Coop,0,476,8,20,-12,-5,2047,Coop,0,476,8,20,-12,-5,48028
2047,Coop,0,484,8,20,-12,-5,2039,Coop,0,484,8,20,-12,-5,48029
2039,Coop,0,492,8,20,-12,-5,2047,Coop,0,492,8,20,-12,-5,48030
2047,Coop,0,500,8,20,-12,-5,2039,Coop,0,500,8,20,-12,-5,48031
2039,Coop,0,508,8,20,-12,-5,2047,Coop,0,508,8,20,-12,-5,48032
2047,Coop,0,516,8,20,-12,-5,2039,Coop,0,516,8,20,-12,-5,48033
2039,Coop,0,524,8,20,-12,-5,2047,Coop,0,524,8,20,-12,-5,48034
2047,Coop,0,532,8,20,-12,-5,2039,Coop,0,532,8,20,-12,-5,48035
2039,Coop,0,540,8,20,-12,-5,2047,Coop,0,540,8,20,-12,-5,48036
2047,Coop,0,548,8,20,-12,-5,2039,Coop,0,548,8,20,-12,-5,48037
2039,Coop,0,556,8,20,-12,-5,2047,Coop,0,556,8,20,-12,-5,48038
2047,Coop,0,564,8,20,-12,-5,2039,Coop,0,564,8,20,-12,-5,48039
2039,Coop,0,572,8,20,-12,-5,2047,Coop,0,572,8,20,-12,-5,48040
2047,Coop,0,580,8,20,-12,-5,2039,Coop,0,580,8,20,-12,-5,48041
2039,Coop,0,588,8,20,-12,-5,2047,Coop,0,588,8,20,-12,-5,48042
2047,Coop,0,596,8,20,-12,-5,2039,Coop,0,596,8,20,-12,-5,48043
2039,Coop,0,604,8,20,-12,-5,2047,Coop,0,604,8,20,-12,-5,48044
2047,Coop,0,612,8,20,-12,-5,2039,Coop,0,612,8,20,-12,-5,48045
2039,Coop,0,620,8,20,-12,-5,2047,Coop,0,620,8,20,-12,-5,48046
2047,Coop,0,628,8,20,-12,-5,2039,Coop,0,628,8,20,-12,-5,48047
2039,Coop,0,636,8,20,-12,-5,2047,Coop,0,636,8,20,-12,-5,48048
2047,Coop,0,644,8,20,-12,-5,2039,Coop,0,644,8,20,-12,-5,48049
2039,Coop,0,652,8,20,-12,-5,2047,Coop,0,652,8,20,-12,-5,48050
2047,Coop,0,660,8,20,-12,-5,2039,Coop,0,660,8,20,-12,-5,48051
2039,Coop,0,668,8,20,-12,-5,2047,Coop,0,668,8,20,-12,-5,48052
2047,Coop,0,676,8,20,-12,-5,2039,Coop,0,676,8,20,-12,-5,48053
2039,Coop,0,684,8,20,-12,-5,2047,Coop,0,684,8,20,-12,-5,48054
2047,Coop,0,692,8,20,-12,-5,2039,Coop,0,692,8,20,-12,-5,48055
2039,Coop,0,700,8,20,-12,-5,2047,Coop,0,700,8,20,-12,-5,48056
2047,Coop,0,708,8,20,-12,-5,2039,Coop,0,708,8,20,-12,-5,48057
2039,Coop,0,716,8,20,-12,-5,2047,Coop,0,716,8,20,-12,-5,48058
2047,Coop,0,724,8,20,-12,-5,2039,Coop,0,724,8,20,-12,-5,48059
2039,Coop,0,732,8,20,-12,-5,2047,Coop,0,732,8,20,-12,-5,48060
2047,Coop,0,740,8,20,-12,-5,2039,Coop,0,740,8,20,-12,-5,48061
2039,Coop,0,748,8,20,-12,-5,2047,Coop,0,748,8,20,-12,-5,48062
2047,Coop,0,756,8,20,-12,-5,2039,Coop,0,756,8,20,-12,-5,48063
2039,Coop,0,764,8,20,-12,-5,2047,Coop,0,764,8,20,-12,-5,48064
2047,Coop,0,772,8,20,-12,-5,2039,Coop,0,772,8,20,-12,-5,48065
2039,Coop,0,780,8,20,-12,-5,2047,Coop,0,780,8,20,-12,-5,48066
2047,Coop,0,788,8,20,-12,-5,2039,Coop,0,788,8,20,-12,-5,48067
2039,Coop,0,796,8,20,-12,-5,2047,Coop,0,796,8,20,-12,-5,48068
2047,Coop,0,804,8,20,-12,-5,2039,Coop,0,804,8,20,-12,-5,48069
2039,Coop,0,812,8,20,-12,-5,2047,Coop,0,812,8,20,-12,-5,48070
2047,Coop,0,820,8,20,-12,-5,2039,Coop,0,820,8,20,-12,-5,48071
2039,Coop,0,828,8,20,-12,-5,2047,Coop,0,828,8,20,-12,-5,48072
2047,Coop,0,836,8,20,-12,-5,2039,Coop,0,836,8,20,-12,-5,48073
2039,Coop,0,844,8,20,-12,-5,2047,Coop,0,844,8,20,-12,-5,48074
2047,Coop,0,852,8,20,-12,-5,2039,Coop,0,852,8,20,-12,-5,48075
2039,Coop,0,860,8,20,-12,-5,2047,Coop,0,860,8,20,-12,-5,48076
2047,Coop,0,868,8,20,-12,-5,2039,Coop,0,868,8,20,-12,-5,48077
2039,Coop,0,876,8,20,-12,-5,2047,Coop,0,876,8,20,-12,-5,48078
2047,Coop,0,884,8,20,-12,-5,2039,Coop,0,884,8,20,-12,-5,48079
2039,Coop,0,892,8,20,-12,-5,2047,Coop,0,892,8,20,-12,-5,48080
2047,Coop,0,900,8,20,-12,-5,2039,Coop,0,900,8,20,-12,-5,48081
2039,Coop,0,908,8,20,-12,-5,2047,Coop,0,908,8,20,-12,-5,48082
2047,Coop,0,916,8,20,-12,-5,2039,Coop,0,916,8,20,-12,-5,48083
2039,Coop,0,924,8,20,-12,-5,2047,Coop,0,924,8,20,-12,-5,48084
2047,Coop,0,932,8,20,-12,-5,2039,Coop,0,932,8,20,-12,-5,48085
2039,Coop,0,940,8,20,-12,-5,2047,Coop,0,940,8,20,-12,-5,48086
2047,Coop,0,948,8,20,-12,-5,2039,Coop,0,948,8,20,-12,-5,48087
2039,Coop,0,956,8,20,-12,-5,2047,Coop,0,956,8,20,-12,-5,48088
2047,Coop,0,964,8,20,-12,-5,2039,Coop,0,964,8,20,-12,-5,48089
2039,Coop,0,972,8,20,-12,-5,2047,Coop,0,972,8,20,-12,-5,48090
2047,Coop,0,980,8,20,-12,-5,2039,Coop,0,980,8,20,-12,-5,48091
2039,Coop,0,988,8,20,-12,-5,2047,Coop,0,988,8,20,-12,-5,48092
2047,Coop,0,996,8,20,-12,-5,2039,Coop,0,996,8,20,-12,-5,48093
2039,Coop,0,1004,8,20,-12,-5,2047,Coop,0,1004,8,20,-12,-5,48094
2047,Coop,0,1012,8,20,-12,-5,2039,Coop,0,1012,8,20,-12,-5,48095
2039,Coop,0,1020,8,20,-12,-5,2047,Coop,0,1020,8,20,-12,-5,48096
2047,Coop,0,1028,8,20,-12,-5,2039,Coop,0,1028,8,20,-12,-5,48097
2039,Coop,0,1036,8,20,-12,-5,2047,Coop,0,1036,8,20,-12,-5,48098
2047,Coop,0,1044,8,20,-12,-5,2039,Coop,0,1044,8,20,-12,-5,48099
2039,Coop,0,1052,8,20,-12,-5,2047,Coop,0,1052,8,20,-12,-5,48100
2047,Coop,0,1060,8,20,-12,-5,2039,Coop,0,1060,8,20,-12,-5,48101
2039,Coop,0,1068,8,20,-12,-5,2047,Coop,0,1068,8,20,-12,-5,48102
2047,Coop,0,1076,8,20,-12,-5,2039,Coop,0,1076,8,20,-12,-5,48103
2039,Coop,0,1084,8,20,-12,-5,2047,Coop,0,1084,8,20,-12,-5,48104
2047,Coop,0,1092,8,20,-12,-5,2039,Coop,0,1092,8,20,-12,-5,48105
2039,Coop,0,1100,8,20,-12,-5,2047,Coop,0,1100,8,20,-12,-5,48106
2047,Coop,0,1108,8,20,-12,-5,2039,Coop,0,1108,8,20,-12,-5,48107
2039,Coop,0,1116,8,20,-12,-5,2047,Coop,0,1116,8,20,-12,-5,48108
2047,Coop,0,1124,8,20,-12,-5,2039,Coop,0,1124,8,20,-12,-5,48109
2039,Coop,0,1132,8,20,-12,-5,2047,Coop,0,1132,8,20,-12,-5,48110
2047,Coop,0,1140,8,20,-12,-5,2039,Coop,0,1140,8,20,-12,-5,48111
2039,Coop,0,1148,8,20,-12,-5,2047,Coop,0,1148,8,20,-12,-5,48112
2047,Coop,0,1156,8,20,-12,-5,2039,Coop,0,1156,8,20,-12,-5,48113
2039,Coop,0,1164,8,20,-12,-5,2047,Coop,0,1164,8,20,-12,-5,48114
2047,Coop,0,1172,8,20,-12,-5,2039,Coop,0,1172,8,20,-12,-5,48115
2039,Coop,0,1180,8,20,-12,-5,2047,Coop,0,1180,8,20,-12,-5,48116
2047,Coop,0,1188,8,20,-12,-5,2039,Coop,0,1188,8,20,-12,-5,48117
2039,Coop,0,1196,8,20,-12,-5,2047,Coop,0,1196,8,20,-12,-5,48118
2047,Coop,0,1204,8,20,-12,-5,2039,Coop,0,1204,8,20,-12,-5,48119
2039,Coop,0,1212,8,20,-12,-5,2047,Coop,0,1212,8,20,-12,-5,48120
2047,Coop,0,1220,8,20,-12,-5,2039,Coop,0,1220,8,20,-12,-5,48121
2039,Coop,0,1228,8,20,-12,-5,2047,Coop,0,1228,8,20,-12,-5,48122
2047,Coop,0,1236,8,20,-12,-5,2039,Coop,0,1236,8,20,-12,-5,48123
2039,Coop,0,1244,8,20,-12,-5,2047,Coop,0,1244,8,20,-12,-5,48124
2047,Coop,0,1252,8,20,-12,-5,2039,Coop,0,1252,8,20,-12,-5,48125
2039,Coop,0,1260,8,20,-12,-5,2047,Coop,0,1260,8,20,-12,-5,48126
2047,Coop,0,1268,8,20,-12,-5,2039,Coop,0,1268,8,20,-12,-5,48127
2039,Coop,0,1276,8,20,-12,-5,2047,Coop,0,1276,8,20,-12,-5,48128
2047,Coop,0,1284,8,20,-12,-5,2039,Coop,0,1284,8,20,-12,-5,48129
2039,Coop,0,1292,8,20,-12,-5,2047,Coop,0,1292,8,20,-12,-5,48130
2047,Coop,0,1300,8,20,-12,-5,2039,Coop,0,1300,8,20,-12,-5,48131
2039,Coop,0,1308,8,20,-12,-5,2047,Coop,0,1308,8,20,-12,-5,48132
2047,Coop,0,1316,8,20,-12,-5,2039,Coop,0,1316,8,20,-12,-5,48133
2039,Coop,0,1324,8,20,-12,-5,2047,Coop,0,1324,8,20,-12,-5,48134
2047,Coop,0,1332,8,20,-12,-5,2039,Coop,0,1332,8,20,-12,-5,48135
2039,Coop,0,1340,8,20,-12,-5,2047,Coop,0,1340,8,20,-12,-5,48136
2047,Coop,0,1348,8,20,-12,-5,2039,Coop,0,1348,8,20,-12,-5,48137
2039,Coop,0,1356,8,20,-12,-5,2047,Coop,0,1356,8,20,-12,-5,48138
2047,Coop,0,1364,8,20,-12,-5,2039,Coop,0,1364,8,20,-12,-5,48139
2039,Coop,0,1372,8,20,-12,-5,2047,Coop,0,1372,8,20,-12,-5,48140
2047,Coop,0,1380,8,20,-12,-5,2039,Coop,0,1380,8,20,-12,-5,48141
2039,Coop,0,1388,8,20,-12,-5,2047,Coop,0,1388,8,20,-12,-5,48142
2047,Coop,0,1396,8,20,-12,-5,2039,Coop,0,1396,8,20,-12,-5,48143
2039,Coop,0,1404,8,20,-12,-5,2047,Coop,0,1404,8,20,-12,-5,48144
2047,Coop,0,1412,8,20,-12,-5,2039,Coop,0,1412,8,20,-12,-5,48145
2039,Coop,0,1420,8,20,-12,-5,2047,Coop,0,1420,8,20,-12,-5,48146
2047,Coop,0,1428,8,20,-12,-5,2039,Coop,0,1428,8,20,-12,-5,48147
2039,Coop,0,1436,8,20,-12,-5,2047,Coop,0,1436,8,20,-12,-5,48148
2047,Coop,0,1444,8,20,-12,-5,2039,Coop,0,1444,8,20,-12,-5,48149
2039,Coop,0,1452,8,20,-12,-5,2047,Coop,0,1452,8,20,-12,-5,48150
2047,Coop,0,1460,8,20,-12,-5,2039,Coop,0,1460,8,20,-12,-5,48151
2039,Coop,0,1468,8,20,-12,-5,2047,Coop,0,1468,8,20,-12,-5,48152
2047,Coop,0,1476,8,20,-12,-5,2039,Coop,0,1476,8,20,-12,-5,48153
2039,Coop,0,1484,8,20,-12,-5,2047,Coop,0,1484,8,20,-12,-5,48154
2047,Coop,0,1492,8,20,-12,-5,2039,Coop,0,1492,8,20,-12,-5,48155
2039,Coop,0,1500,8,20,-12,-5,2047,Coop,0,1500,8,20,-12,-5,48156
2047,Coop,0,1508,8,20,-12,-5,2039,Coop,0,1508,8,20,-12,-5,48157
2039,Coop,0,1516,8,20,-12,-5,2047,Coop,0,1516,8,20,-12,-5,48158
2047,Coop,0,1524,8,20,-12,-5,2039,Coop,0,1524,8,20,-12,-5,48159
2039,Coop,0,1532,8,20,-12,-5,2047,Coop,0,1532,8,20,-12,-5,48160
2047,Coop,0,1540,8,20,-12,-5,2039,Coop,0,1540,8,20,-12,-5,48161
2039,Coop,0,1548,8,20,-12,-5,2047,Coop,0,1548,8,20,-12,-5,48162
2047,Coop,0,1556,8,20,-12,-5,2039,Coop,0,1556,8,20,-12,-5,48163
2039,Coop,0,1564,8,20,-12,-5,2047,Coop,0,1564,8,20,-12,-5,48164
2047,Coop,0,1572,8,20,-12,-5,2039,Coop,0,1572,8,20,-12,-5,48165
2039,Coop,0,1580,8,20,-12,-5,2047,Coop,0,1580,8,20,-12,-5,48166
