user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2039,Coop,0,108,8,20,-12,-5,2051,Coop,0,108,8,20,-12,-5,60173
2051,Coop,0,116,8,20,-12,-5,2039,Coop,0,116,8,20,-12,-5,60174
2039,Coop,0,124,8,20,-12,-5,2051,Coop,0,124,8,20,-12,-5,60175
2051,Coop,0,132,8,20,-12,-5,2039,Coop,0,132,8,20,-12,-5,60176
2039,Coop,0,140,8,20,-12,-5,2051,Coop,0,140,8,20,-12,-5,60177
2051,Coop,0,148,8,20,-12,-5,2039,Coop,0,148,8,20,-12,-5,60178
2039,Coop,0,156,8,20,-12,-5,2051,Coop,0,156,8,20,-12,-5,60179
2051,Coop,0,164,8,20,-12,-5,2039,Coop,0,164,8,20,-12,-5,60180
2039,Coop,0,172,8,20,-12,-5,2051,Coop,0,172,8,20,-12,-5,60181
2051,Coop,0,180,8,20,-12,-5,2039,Coop,0,180,8,20,-12,-5,60182
2039,Coop,0,188,8,20,-12,-5,2051,Coop,0,188,8,20,-12,-5,60183
2051,Coop,0,196,8,20,-12,-5,2039,Coop,0,196,8,20,-12,-5,60184
2039,Coop,0,204,8,20,-12,-5,2051,Coop,0,204,8,20,-12,-5,60185
2051,Coop,0,212,8,20,-12,-5,2039,Coop,0,212,8,20,-12,-5,60186
2039,Coop,0,220,8,20,-12,-5,2051,Coop,0,220,8,20,-12,-5,60187
2051,Coop,0,228,8,20,-12,-5,2039,Coop,0,228,8,20,-12,-5,60188
2039,Coop,0,236,8,20,-12,-5,2051,Coop,0,236,8,20,-12,-5,60189
2051,Coop,0,244,8,20,-12,-5,2039,Coop,0,244,8,20,-12,-5,60190
2039,Coop,0,252,8,20,-12,-5,2051,Coop,0,252,8,20,-12,-5,60191
2051,Coop,0,260,8,20,-12,-5,2039,Coop,0,260,8,20,-12,-5,60192
2039,Coop,0,268,8,20,-12,-5,2051,Coop,0,268,8,20,-12,-5,60193
2051,Coop,0,276,8,20,-12,-5,2039,Coop,0,276,8,20,-12,-5,60194
2039,Coop,0,284,8,20,-12,-5,2051,Coop,0,284,8,20,-12,-5,60195
2051,Coop,0,292,8,20,-12,-5,2039,Coop,0,292,8,20,-12,-5,60196
2039,Coop,0,300,8,20,-12,-5,2051,Coop,0,300,8,20,-12,-5,60197
2051,Coop,0,308,8,20,-12,-5,2039,Coop,0,308,8,20,-12,-5,60198
2039,Coop,0,316,8,20,-12,-5,2051,Coop,0,316,8,20,-12,-5,60199
2051,Coop,0,324,8,20,-12,-5,2039,Coop,0,324,8,20,-12,-5,60200
2039,Coop,0,332,8,20,-12,-5,2051,Coop,0,332,8,20,-12,-5,60201
2051,Coop,0,340,8,20,-12,-5,2039,Coop,0,340,8,20,-12,-5,60202
2039,Coop,0,348,8,20,-12,-5,2051,Coop,0,348,8,20,-12,-5,60203
2051,Coop,0,356,8,20,-12,-5,2039,Coop,0,356,8,20,-12,-5,60204
2039,Coop,0,364,8,20,-12,-5,2051,Coop,0,364,8,20,-12,-5,60205
2051,Coop,0,372,8,20,-12,-5,2039,Coop,0,372,8,20,-12,-5,60206
2039,Coop,0,380,8,20,-12,-5,2051,Coop,0,380,8,20,-12,-5,60207
2051,Coop,0,388,8,20,-12,-5,2039,Coop,0,388,8,20,-12,-5,60208
2039,Coop,0,396,8,20,-12,-5,2051,Coop,0,396,8,20,-12,-5,60209
2051,Coop,0,404,8,20,-12,-5,2039,Coop,0,404,8,20,-12,-5,60210
2039,Coop,0,412,8,20,-12,-5,2051,Coop,0,412,8,20,-12,-5,60211
2051,Coop,0,420,8,20,-12,-5,2039,Coop,0,420,8,20,-12,-5,60212
2039,Coop,0,428,8,20,-12,-5,2051,Coop,0,428,8,20,-12,-5,60213
2051,Coop,0,436,8,20,-12,-5,2039,Coop,0,436,8,20,-12,-5,60214
2039,Coop,0,444,8,20,-12,-5,2051,Coop,0,444,8,20,-12,-5,60215
2051,Coop,0,452,8,20,-12,-5,2039,Coop,0,452,8,20,-12,-5,60216
2039,Coop,0,460,8,20,-12,-5,2051,Coop,0,460,8,20,-12,-5,60217
2051,Coop,0,468,8,20,-12,-5,2039,Coop,0,468,8,20,-12,-5,60218
2039,Coop,0,476,8,20,-12,-5,2051,Coop,0,476,8,20,-12,-5,60219
2051,Coop,0,484,8,20,-12,-5,2039,Coop,0,484,8,20,-12,-5,60220
2039,Coop,0,492,8,20,-12,-5,2051,Coop,0,492,8,20,-12,-5,60221
2051,Coop,0,500,8,20,-12,-5,2039,Coop,0,500,8,20,-12,-5,60222
2039,Coop,0,508,8,20,-12,-5,2051,Coop,0,508,8,20,-12,-5,60223
2051,Coop,0,516,8,20,-12,-5,2039,Coop,0,516,8,20,-12,-5,60224
2039,Coop,0,524,8,20,-12,-5,2051,Coop,0,524,8,20,-12,-5,60225
2051,Coop,0,532,8,20,-12,-5,2039,Coop,0,532,8,20,-12,-5,60226
2039,Coop,0,540,8,20,-12,-5,2051,Coop,0,540,8,20,-12,-5,60227
2051,Coop,0,548,8,20,-12,-5,2039,Coop,0,548,8,20,-12,-5,60228
2039,Coop,0,556,8,20,-12,-5,2051,Coop,0,556,8,20,-12,-5,60229
2051,Coop,0,564,8,20,-12,-5,2039,Coop,0,564,8,20,-12,-5,60230
2039,Coop,0,572,8,20,-12,-5,2051,Coop,0,572,8,20,-12,-5,60231
2051,Coop,0,580,8,20,-12,-5,2039,Coop,0,580,8,20,-12,-5,60232
2039,Coop,0,588,8,20,-12,-5,2051,Coop,0,588,8,20,-12,-5,60233
2051,Coop,0,596,8,20,-12,-5,2039,Coop,0,596,8,20,-12,-5,60234
2039,Coop,0,604,8,20,-12,-5,2051,Coop,0,604,8,20,-12,-5,60235
2051,Coop,0,612,8,20,-12,-5,2039,Coop,0,612,8,20,-12,-5,60236
2039,Coop,0,620,8,20,-12,-5,2051,Coop,0,620,8,20,-12,-5,60237
2051,Coop,0,628,8,20,-12,-5,2039,Coop,0,628,8,20,-12,-5,60238
2039,Coop,0,636,8,20,-12,-5,2051,Coop,0,636,8,20,-12,-5,60239
2051,Coop,0,644,8,20,-12,-5,2039,Coop,0,644,8,20,-12,-5,60240
2039,Coop,0,652,8,20,-12,-5,2051,Coop,0,652,8,20,-12,-5,60241
2051,Coop,0,660,8,20,-12,-5,2039,Coop,0,660,8,20,-12,-5,60242
2039,Coop,0,668,8,20,-12,-5,2051,Coop,0,668,8,20,-12,-5,60243
2051,Coop,0,676,8,20,-12,-5,2039,Coop,0,676,8,20,-12,-5,60244
2039,Coop,0,684,8,20,-12,-5,2051,Coop,0,684,8,20,-12,-5,60245
2051,Coop,0,692,8,20,-12,-5,2039,Coop,0,692,8,20,-12,-5,60246
2039,Coop,0,700,8,20,-12,-5,2051,Coop,0,700,8,20,-12,-5,60247
2051,Coop,0,708,8,20,-12,-5,2039,Coop,0,708,8,20,-12,-5,60248
2039,Coop,0,716,8,20,-12,-5,2051,Coop,0,716,8,20,-12,-5,60249
2051,Coop,0,724,8,20,-12,-5,2039,Coop,0,724,8,20,-12,-5,60250
2039,Coop,0,732,8,20,-12,-5,2051,Coop,0,732,8,20,-12,-5,60251
