user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2039,Coop,0,108,8,20,-12,-5,2040,Coop,0,108,8,20,-12,-5,75679
2040,Coop,0,116,8,20,-12,-5,2039,Coop,0,116,8,20,-12,-5,75680
2039,Coop,0,124,8,20,-12,-5,2040,Coop,0,124,8,20,-12,-5,75681
2040,Coop,0,132,8,20,-12,-5,2039,Coop,0,132,8,20,-12,-5,75682
2039,Coop,0,120,8,20,-12,-5,2040,Deflect,0,152,8,20,-12,-5,75683
2040,Coop,0,140,8,20,-12,-5,2039,Deflect,0,140,8,20,-12,-5,75684
2039,Coop,0,128,8,20,-12,-5,2040,Deflect,0,160,8,20,-12,-5,75685
2040,Coop,0,148,8,20,-12,-5,2039,Deflect,0,148,8,20,-12,-5,75686
2039,Coop,0,136,8,20,-12,-5,2040,Deflect,0,168,8,20,-12,-5,75687
2040,Deflect,0,163,8,20,-12,-5,2039,Deflect,0,131,8,20,-12,-5,75688
2039,Deflect,0,126,8,20,-12,-5,2040,Deflect,0,158,8,20,-12,-5,75689
2040,Deflect,0,153,8,20,-12,-5,2039,Deflect,0,121,8,20,-12,-5,75690
2039,Deflect,0,116,8,20,-12,-5,2040,Deflect,0,148,8,20,-12,-5,75691
2040,Deflect,0,143,8,20,-12,-5,2039,Deflect,0,111,8,20,-12,-5,75692
2039,Deflect,0,106,8,20,-12,-5,2040,Deflect,0,138,8,20,-12,-5,75693
2040,Deflect,0,133,8,20,-12,-5,2039,Deflect,0,101,8,20,-12,-5,75694
2039,Deflect,0,96,8,20,-12,-5,2040,Deflect,0,128,8,20,-12,-5,75695
2040,Deflect,0,123,8,20,-12,-5,2039,Deflect,0,91,8,20,-12,-5,75696
2039,Deflect,0,86,8,20,-12,-5,2040,Deflect,0,118,8,20,-12,-5,75697
2040,Deflect,0,113,8,20,-12,-5,2039,Deflect,0,81,8,20,-12,-5,75698
2039,Deflect,0,76,8,20,-12,-5,2040,Deflect,0,108,8,20,-12,-5,75699
2040,Deflect,0,103,8,20,-12,-5,2039,Deflect,0,71,8,20,-12,-5,75700
2039,Deflect,0,66,8,20,-12,-5,2040,Deflect,0,98,8,20,-12,-5,75701
2040,Deflect,0,93,8,20,-12,-5,2039,Deflect,0,61,8,20,-12,-5,75702
2039,Deflect,0,56,8,20,-12,-5,2040,Deflect,0,88,8,20,-12,-5,75703
2040,Deflect,0,83,8,20,-12,-5,2039,Deflect,0,51,8,20,-12,-5,75704
2039,Deflect,0,46,8,20,-12,-5,2040,Deflect,0,78,8,20,-12,-5,75705
2040,Deflect,0,73,8,20,-12,-5,2039,Deflect,0,41,8,20,-12,-5,75706
2039,Deflect,0,36,8,20,-12,-5,2040,Deflect,0,68,8,20,-12,-5,75707
2040,Deflect,0,63,8,20,-12,-5,2039,Deflect,0,31,8,20,-12,-5,75708
2039,Deflect,0,26,8,20,-12,-5,2040,Deflect,0,58,8,20,-12,-5,75709
2040,Deflect,0,53,8,20,-12,-5,2039,Deflect,0,21,8,20,-12,-5,75710
2039,Deflect,0,16,8,20,-12,-5,2040,Deflect,0,48,8,20,-12,-5,75711
2040,Deflect,0,43,8,20,-12,-5,2039,Deflect,0,11,8,20,-12,-5,75712
2039,Deflect,0,6,8,20,-12,-5,2040,Deflect,0,38,8,20,-12,-5,75713
2040,Deflect,0,33,8,20,-12,-5,2039,Deflect,0,1,8,20,-12,-5,75714
2039,Deflect,0,-4,8,20,-12,-5,2040,Deflect,0,28,8,20,-12,-5,75715
