user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2039,Coop,0,88,8,20,-12,-5,2048,Deflect,0,120,8,20,-12,-5,117313
2048,Coop,0,108,8,20,-12,-5,2039,Deflect,0,108,8,20,-12,-5,117314
2039,Coop,0,116,8,20,-12,-5,2048,Coop,0,116,8,20,-12,-5,117315
2048,Coop,0,124,8,20,-12,-5,2039,Coop,0,124,8,20,-12,-5,117316
2039,Coop,0,132,8,20,-12,-5,2048,Coop,0,132,8,20,-12,-5,117317
2048,Coop,0,140,8,20,-12,-5,2039,Coop,0,140,8,20,-12,-5,117318
2039,Coop,0,148,8,20,-12,-5,2048,Coop,0,148,8,20,-12,-5,117319
2048,Coop,0,156,8,20,-12,-5,2039,Coop,0,156,8,20,-12,-5,117320
2039,Coop,0,164,8,20,-12,-5,2048,Coop,0,164,8,20,-12,-5,117321
2048,Coop,0,172,8,20,-12,-5,2039,Coop,0,172,8,20,-12,-5,117322
2039,Coop,0,180,8,20,-12,-5,2048,Coop,0,180,8,20,-12,-5,117323
2048,Coop,0,188,8,20,-12,-5,2039,Coop,0,188,8,20,-12,-5,117324
2039,Coop,0,196,8,20,-12,-5,2048,Coop,0,196,8,20,-12,-5,117325
2048,Coop,0,204,8,20,-12,-5,2039,Coop,0,204,8,20,-12,-5,117326
2039,Coop,0,212,8,20,-12,-5,2048,Coop,0,212,8,20,-12,-5,117327
2048,Coop,0,220,8,20,-12,-5,2039,Coop,0,220,8,20,-12,-5,117328
2039,Coop,0,228,8,20,-12,-5,2048,Coop,0,228,8,20,-12,-5,117329
2048,Coop,0,236,8,20,-12,-5,2039,Coop,0,236,8,20,-12,-5,117330
2039,Coop,0,244,8,20,-12,-5,2048,Coop,0,244,8,20,-12,-5,117331
2048,Coop,0,252,8,20,-12,-5,2039,Coop,0,252,8,20,-12,-5,117332
2039,Coop,0,260,8,20,-12,-5,2048,Coop,0,260,8,20,-12,-5,117333
2048,Coop,0,268,8,20,-12,-5,2039,Coop,0,268,8,20,-12,-5,117334
2039,Coop,0,276,8,20,-12,-5,2048,Coop,0,276,8,20,-12,-5,117335
2048,Coop,0,284,8,20,-12,-5,2039,Coop,0,284,8,20,-12,-5,117336
2039,Coop,0,292,8,20,-12,-5,2048,Coop,0,292,8,20,-12,-5,117337
2048,Coop,0,300,8,20,-12,-5,2039,Coop,0,300,8,20,-12,-5,117338
2039,Coop,0,308,8,20,-12,-5,2048,Coop,0,308,8,20,-12,-5,117339
2048,Coop,0,316,8,20,-12,-5,2039,Coop,0,316,8,20,-12,-5,117340
2039,Coop,0,324,8,20,-12,-5,2048,Coop,0,324,8,20,-12,-5,117341
2048,Coop,0,332,8,20,-12,-5,2039,Coop,0,332,8,20,-12,-5,117342
2039,Coop,0,340,8,20,-12,-5,2048,Coop,0,340,8,20,-12,-5,117343
2048,Coop,0,348,8,20,-12,-5,2039,Coop,0,348,8,20,-12,-5,117344
2039,Coop,0,356,8,20,-12,-5,2048,Coop,0,356,8,20,-12,-5,117345
2048,Coop,0,364,8,20,-12,-5,2039,Coop,0,364,8,20,-12,-5,117346
2039,Coop,0,372,8,20,-12,-5,2048,Coop,0,372,8,20,-12,-5,117347
2048,Coop,0,380,8,20,-12,-5,2039,Coop,0,380,8,20,-12,-5,117348
2039,Coop,0,388,8,20,-12,-5,2048,Coop,0,388,8,20,-12,-5,117349
2048,Coop,0,396,8,20,-12,-5,2039,Coop,0,396,8,20,-12,-5,117350
2039,Coop,0,404,8,20,-12,-5,2048,Coop,0,404,8,20,-12,-5,117351
2048,Coop,0,412,8,20,-12,-5,2039,Coop,0,412,8,20,-12,-5,117352
2039,Coop,0,420,8,20,-12,-5,2048,Coop,0,420,8,20,-12,-5,117353
2048,Coop,0,428,8,20,-12,-5,2039,Coop,0,428,8,20,-12,-5,117354
2039,Coop,0,436,8,20,-12,-5,2048,Coop,0,436,8,20,-12,-5,117355
2048,Coop,0,444,8,20,-12,-5,2039,Coop,0,444,8,20,-12,-5,117356
2039,Coop,0,452,8,20,-12,-5,2048,Coop,0,452,8,20,-12,-5,117357
2048,Coop,0,460,8,20,-12,-5,2039,Coop,0,460,8,20,-12,-5,117358
2039,Coop,0,468,8,20,-12,-5,2048,Coop,0,468,8,20,-12,-5,117359
2048,Coop,0,476,8,20,-12,-5,2039,Coop,0,476,8,20,-12,-5,117360
2039,Coop,0,484,8,20,-12,-5,2048,Coop,0,484,8,20,-12,-5,117361
2048,Coop,0,492,8,20,-12,-5,2039,Coop,0,492,8,20,-12,-5,117362
2039,Coop,0,500,8,20,-12,-5,2048,Coop,0,500,8,20,-12,-5,117363
2048,Coop,0,508,8,20,-12,-5,2039,Coop,0,508,8,20,-12,-5,117364
2039,Coop,0,516,8,20,-12,-5,2048,Coop,0,516,8,20,-12,-5,117365
2048,Coop,0,524,8,20,-12,-5,2039,Coop,0,524,8,20,-12,-5,117366
2039,Coop,0,532,8,20,-12,-5,2048,Coop,0,532,8,20,-12,-5,117367
2048,Coop,0,540,8,20,-12,-5,2039,Coop,0,540,8,20,-12,-5,117368
2039,Coop,0,548,8,20,-12,-5,2048,Coop,0,548,8,20,-12,-5,117369
2048,Coop,0,556,8,20,-12,-5,2039,Coop,0,556,8,20,-12,-5,117370
2039,Coop,0,564,8,20,-12,-5,2048,Coop,0,564,8,20,-12,-5,117371
2048,Coop,0,572,8,20,-12,-5,2039,Coop,0,572,8,20,-12,-5,117372
2039,Coop,0,580,8,20,-12,-5,2048,Coop,0,580,8,20,-12,-5,117373
2048,Coop,0,588,8,20,-12,-5,2039,Coop,0,588,8,20,-12,-5,117374
2039,Coop,0,596,8,20,-12,-5,2048,Coop,0,596,8,20,-12,-5,117375
2048,Coop,0,604,8,20,-12,-5,2039,Coop,0,604,8,20,-12,-5,117376
2039,Buy,0,604,8,20,-12,-5,2039,Buy,0,104,9,21,-11,-4,117377
2039,Coop,0,113,9,21,-11,-4,2048,Coop,0,612,8,20,-12,-5,117378
2048,Coop,0,620,8,20,-12,-5,2039,Coop,0,122,9,21,-11,-4,117379
2039,Coop,0,131,9,21,-11,-4,2048,Coop,0,628,8,20,-12,-5,117380
2048,Coop,0,636,8,20,-12,-5,2039,Coop,0,140,9,21,-11,-4,117381
2039,Coop,0,149,9,21,-11,-4,2048,Coop,0,644,8,20,-12,-5,117382
2048,Coop,0,652,8,20,-12,-5,2039,Coop,0,158,9,21,-11,-4,117383
2039,Coop,0,167,9,21,-11,-4,2048,Coop,0,660,8,20,-12,-5,117384
2048,Coop,0,668,8,20,-12,-5,2039,Coop,0,176,9,21,-11,-4,117385
2039,Coop,0,185,9,21,-11,-4,2048,Coop,0,676,8,20,-12,-5,117386
2048,Coop,0,684,8,20,-12,-5,2039,Coop,0,194,9,21,-11,-4,117387
2039,Coop,0,203,9,21,-11,-4,2048,Coop,0,692,8,20,-12,-5,117388
2048,Coop,0,700,8,20,-12,-5,2039,Coop,0,212,9,21,-11,-4,117389
2039,Coop,0,221,9,21,-11,-4,2048,Coop,0,708,8,20,-12,-5,117390
2048,Coop,0,716,8,20,-12,-5,2039,Coop,0,230,9,21,-11,-4,117391
2039,Coop,0,239,9,21,-11,-4,2048,Coop,0,724,8,20,-12,-5,117392
2048,Coop,0,732,8,20,-12,-5,2039,Coop,0,248,9,21,-11,-4,117393
2039,Coop,0,257,9,21,-11,-4,2048,Coop,0,740,8,20,-12,-5,117394
2048,Coop,0,748,8,20,-12,-5,2039,Coop,0,266,9,21,-11,-4,117395
2039,Coop,0,275,9,21,-11,-4,2048,Coop,0,756,8,20,-12,-5,117396
2048,Coop,0,764,8,20,-12,-5,2039,Coop,0,284,9,21,-11,-4,117397
2039,Coop,0,293,9,21,-11,-4,2048,Coop,0,772,8,20,-12,-5,117398
2048,Coop,0,780,8,20,-12,-5,2039,Coop,0,302,9,21,-11,-4,117399
2039,Coop,0,311,9,21,-11,-4,2048,Coop,0,788,8,20,-12,-5,117400
2048,Coop,0,796,8,20,-12,-5,2039,Coop,0,320,9,21,-11,-4,117401
2039,Coop,0,329,9,21,-11,-4,2048,Coop,0,804,8,20,-12,-5,117402
2048,Coop,0,812,8,20,-12,-5,2039,Coop,0,338,9,21,-11,-4,117403
2039,Coop,0,347,9,21,-11,-4,2048,Coop,0,820,8,20,-12,-5,117404
2048,Coop,0,828,8,20,-12,-5,2039,Coop,0,356,9,21,-11,-4,117405
2039,Coop,0,365,9,21,-11,-4,2048,Coop,0,836,8,20,-12,-5,117406
2048,Coop,0,844,8,20,-12,-5,2039,Coop,0,374,9,21,-11,-4,117407
2039,Coop,0,383,9,21,-11,-4,2048,Coop,0,852,8,20,-12,-5,117408
2048,Coop,0,860,8,20,-12,-5,2039,Coop,0,392,9,21,-11,-4,117409
2039,Coop,0,401,9,21,-11,-4,2048,Coop,0,868,8,20,-12,-5,117410
2048,Coop,0,876,8,20,-12,-5,2039,Coop,0,410,9,21,-11,-4,117411
2039,Coop,0,419,9,21,-11,-4,2048,Coop,0,884,8,20,-12,-5,117412
2048,Coop,0,892,8,20,-12,-5,2039,Coop,0,428,9,21,-11,-4,117413
2039,Coop,0,437,9,21,-11,-4,2048,Coop,0,900,8,20,-12,-5,117414
2048,Coop,0,908,8,20,-12,-5,2039,Coop,0,446,9,21,-11,-4,117415
2039,Coop,0,455,9,21,-11,-4,2048,Coop,0,916,8,20,-12,-5,117416
2048,Coop,0,924,8,20,-12,-5,2039,Coop,0,464,9,21,-11,-4,117417
2039,Coop,0,473,9,21,-11,-4,2048,Coop,0,932,8,20,-12,-5,117418
2048,Coop,0,940,8,20,-12,-5,2039,Coop,0,482,9,21,-11,-4,117419
2039,Coop,0,491,9,21,-11,-4,2048,Coop,0,948,8,20,-12,-5,117420
2048,Coop,0,956,8,20,-12,-5,2039,Coop,0,500,9,21,-11,-4,117421
2039,Coop,0,509,9,21,-11,-4,2048,Coop,0,964,8,20,-12,-5,117422
2048,Coop,0,972,8,20,-12,-5,2039,Coop,0,518,9,21,-11,-4,117423
2039,Coop,0,527,9,21,-11,-4,2048,Coop,0,980,8,20,-12,-5,117424
2048,Coop,0,988,8,20,-12,-5,2039,Coop,0,536,9,21,-11,-4,117425
2039,Coop,0,545,9,21,-11,-4,2048,Coop,0,996,8,20,-12,-5,117426
2048,Coop,0,1004,8,20,-12,-5,2039,Coop,0,554,9,21,-11,-4,117427
2039,Coop,0,563,9,21,-11,-4,2048,Coop,0,1012,8,20,-12,-5,117428
