user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2039,Coop,0,108,8,20,-12,-5,2045,Coop,0,108,8,20,-12,-5,3351
2040,Coop,0,88,8,20,-12,-5,2046,Deflect,0,120,8,20,-12,-5,3352
2041,Deflect,0,120,8,20,-12,-5,2039,Coop,0,96,8,20,-12,-5,3353
2042,Deflect,0,95,8,20,-12,-5,2046,Deflect,0,115,8,20,-12,-5,3354
2043,Coop,0,88,8,20,-12,-5,2048,Deflect,0,120,8,20,-12,-5,3355
2045,Coop,0,116,8,20,-12,-5,2047,Coop,0,108,8,20,-12,-5,3356
2046,Deflect,0,135,8,20,-12,-5,2039,Coop,0,84,8,20,-12,-5,3357
2047,Coop,0,96,8,20,-12,-5,2041,Deflect,0,140,8,20,-12,-5,3358
2048,Deflect,0,115,8,20,-12,-5,2046,Deflect,0,130,8,20,-12,-5,3359
2039,Deflect,0,104,8,20,-12,-5,2046,Coop,0,118,8,20,-12,-5,3360
2040,Coop,0,76,8,20,-12,-5,2041,Deflect,0,160,8,20,-12,-5,3361
2041,Deflect,0,155,8,20,-12,-5,2048,Deflect,0,110,8,20,-12,-5,3362
2042,Deflect,0,115,8,20,-12,-5,2040,Coop,0,64,8,20,-12,-5,3363
2043,Coop,0,96,8,20,-12,-5,2039,Coop,0,112,8,20,-12,-5,3364
2045,Coop,0,104,8,20,-12,-5,2042,Deflect,0,135,8,20,-12,-5,3365
2046,Coop,0,106,8,20,-12,-5,2040,Deflect,0,84,8,20,-12,-5,3366
2047,Coop,0,84,8,20,-12,-5,2042,Deflect,0,155,8,20,-12,-5,3367
2048,Coop,0,118,8,20,-12,-5,2043,Coop,0,104,8,20,-12,-5,3368
2039,Coop,0,120,8,20,-12,-5,2045,Coop,0,112,8,20,-12,-5,3369
2040,Coop,0,92,8,20,-12,-5,2047,Coop,0,92,8,20,-12,-5,3370
2041,Coop,0,163,8,20,-12,-5,2048,Coop,0,126,8,20,-12,-5,3371
2042,Deflect,0,150,8,20,-12,-5,2048,Deflect,0,121,8,20,-12,-5,3372
2043,Coop,0,92,8,20,-12,-5,2042,Deflect,0,170,8,20,-12,-5,3373
2045,Coop,0,100,8,20,-12,-5,2046,Deflect,0,126,8,20,-12,-5,3374
2046,Deflect,0,146,8,20,-12,-5,2043,Coop,0,80,8,20,-12,-5,3375
2047,Coop,0,100,8,20,-12,-5,2045,Coop,0,108,8,20,-12,-5,3376
2048,Deflect,0,141,8,20,-12,-5,2045,Coop,0,96,8,20,-12,-5,3377
2039,Deflect,0,140,8,20,-12,-5,2041,Coop,0,151,8,20,-12,-5,3378
2040,Coop,0,100,8,20,-12,-5,2046,Coop,0,154,8,20,-12,-5,3379
2041,Deflect,0,171,8,20,-12,-5,2039,Coop,0,128,8,20,-12,-5,3380
2042,Deflect,0,190,8,20,-12,-5,2043,Coop,0,68,8,20,-12,-5,3381
2043,Coop,0,76,8,20,-12,-5,2039,Coop,0,136,8,20,-12,-5,3382
2045,Coop,0,104,8,20,-12,-5,2048,Coop,0,149,8,20,-12,-5,3383
2046,Coop,0,162,8,20,-12,-5,2040,Coop,0,108,8,20,-12,-5,3384
2047,Deflect,0,95,8,20,-12,-5,2042,Deflect,0,185,8,20,-12,-5,3385
2048,Coop,0,137,8,20,-12,-5,2042,Deflect,0,205,8,20,-12,-5,3386
2039,Coop,0,124,8,20,-12,-5,2048,Deflect,0,157,8,20,-12,-5,3387
2040,Deflect,0,128,8,20,-12,-5,2046,Coop,0,150,8,20,-12,-5,3388
2041,Deflect,0,191,8,20,-12,-5,2043,Coop,0,64,8,20,-12,-5,3389
2042,Deflect,0,225,8,20,-12,-5,2046,Coop,0,138,8,20,-12,-5,3390
2043,Coop,0,72,8,20,-12,-5,2040,Coop,0,136,8,20,-12,-5,3391
2045,Coop,0,112,8,20,-12,-5,2039,Coop,0,132,8,20,-12,-5,3392
2046,Coop,0,126,8,20,-12,-5,2042,Deflect,0,245,8,20,-12,-5,3393
2047,Coop,0,103,8,20,-12,-5,2045,Coop,0,120,8,20,-12,-5,3394
2048,Deflect,0,152,8,20,-12,-5,2042,Deflect,0,240,8,20,-12,-5,3395
2039,Coop,0,120,8,20,-12,-5,2042,Deflect,0,260,8,20,-12,-5,3396
2040,Coop,0,144,8,20,-12,-5,2047,Coop,0,111,8,20,-12,-5,3397
2041,Deflect,0,186,8,20,-12,-5,2042,Deflect,0,255,8,20,-12,-5,3398
2042,Deflect,0,250,8,20,-12,-5,2048,Deflect,0,147,8,20,-12,-5,3399
2043,Coop,0,80,8,20,-12,-5,2039,Coop,0,128,8,20,-12,-5,3400
2045,Coop,0,128,8,20,-12,-5,2047,Coop,0,119,8,20,-12,-5,3401
2046,Deflect,0,121,8,20,-12,-5,2041,Deflect,0,181,8,20,-12,-5,3402
2047,Coop,0,127,8,20,-12,-5,2040,Coop,0,152,8,20,-12,-5,3403
2048,Deflect,0,167,8,20,-12,-5,2045,Coop,0,116,8,20,-12,-5,3404
2039,Coop,0,136,8,20,-12,-5,2047,Coop,0,135,8,20,-12,-5,3405
2040,Coop,0,160,8,20,-12,-5,2043,Coop,0,88,8,20,-12,-5,3406
2041,Deflect,0,201,8,20,-12,-5,2046,Coop,0,109,8,20,-12,-5,3407
2042,Deflect,0,245,8,20,-12,-5,2048,Deflect,0,162,8,20,-12,-5,3408
2043,Coop,0,76,8,20,-12,-5,2041,Deflect,0,221,8,20,-12,-5,3409
2045,Coop,0,104,8,20,-12,-5,2042,Deflect,0,265,8,20,-12,-5,3410
2046,Coop,0,117,8,20,-12,-5,2043,Coop,0,84,8,20,-12,-5,3411
2047,Deflect,0,130,8,20,-12,-5,2041,Deflect,0,216,8,20,-12,-5,3412
2048,Deflect,0,182,8,20,-12,-5,2043,Coop,0,72,8,20,-12,-5,3413
2039,Coop,0,144,8,20,-12,-5,2040,Coop,0,168,8,20,-12,-5,3414
2040,Deflect,0,163,8,20,-12,-5,2041,Deflect,0,211,8,20,-12,-5,3415
2041,Coop,0,199,8,20,-12,-5,2042,Deflect,0,285,8,20,-12,-5,3416
2042,Deflect,0,305,8,20,-12,-5,2043,Coop,0,60,8,20,-12,-5,3417
2043,Coop,0,68,8,20,-12,-5,2046,Coop,0,125,8,20,-12,-5,3418
2045,Coop,0,92,8,20,-12,-5,2041,Deflect,0,219,8,20,-12,-5,3419
2046,Coop,0,133,8,20,-12,-5,2048,Coop,0,190,8,20,-12,-5,3420
2047,Coop,0,138,8,20,-12,-5,2045,Coop,0,100,8,20,-12,-5,3421
2048,Coop,0,178,8,20,-12,-5,2039,Deflect,0,164,8,20,-12,-5,3422
2039,Coop,0,172,8,20,-12,-5,2045,Coop,0,108,8,20,-12,-5,3423
2040,Coop,0,151,8,20,-12,-5,2048,Deflect,0,198,8,20,-12,-5,3424
2041,Deflect,0,214,8,20,-12,-5,2040,Deflect,0,146,8,20,-12,-5,3425
2042,Deflect,0,325,8,20,-12,-5,2041,Coop,0,202,8,20,-12,-5,3426
2043,Coop,0,56,8,20,-12,-5,2042,Deflect,0,345,8,20,-12,-5,3427
2045,Coop,0,96,8,20,-12,-5,2041,Deflect,0,222,8,20,-12,-5,3428
2046,Coop,0,121,8,20,-12,-5,2048,Deflect,0,218,8,20,-12,-5,3429
2047,Coop,0,126,8,20,-12,-5,2046,Deflect,0,141,8,20,-12,-5,3430
2048,Coop,0,206,8,20,-12,-5,2040,Deflect,0,166,8,20,-12,-5,3431
2039,Coop,0,180,8,20,-12,-5,2045,Coop,0,104,8,20,-12,-5,3432
2040,Coop,0,174,8,20,-12,-5,2039,Coop,0,188,8,20,-12,-5,3433
2041,Deflect,0,242,8,20,-12,-5,2046,Coop,0,129,8,20,-12,-5,3434
2042,Deflect,0,340,8,20,-12,-5,2045,Deflect,0,99,8,20,-12,-5,3435
2043,Coop,0,64,8,20,-12,-5,2041,Coop,0,250,8,20,-12,-5,3436
2045,Deflect,0,94,8,20,-12,-5,2042,Deflect,0,335,8,20,-12,-5,3437
2046,Coop,0,117,8,20,-12,-5,2047,Deflect,0,146,8,20,-12,-5,3438
2047,Coop,0,154,8,20,-12,-5,2045,Coop,0,102,8,20,-12,-5,3439
2048,Coop,0,194,8,20,-12,-5,2046,Deflect,0,137,8,20,-12,-5,3440
2039,Coop,0,196,8,20,-12,-5,2046,Coop,0,145,8,20,-12,-5,3441
2040,Deflect,0,169,8,20,-12,-5,2042,Deflect,0,330,8,20,-12,-5,3442
2041,Deflect,0,270,8,20,-12,-5,2043,Coop,0,52,8,20,-12,-5,3443
2042,Deflect,0,325,8,20,-12,-5,2046,Deflect,0,140,8,20,-12,-5,3444
2043,Coop,0,60,8,20,-12,-5,2045,Coop,0,110,8,20,-12,-5,3445
2045,Coop,0,118,8,20,-12,-5,2039,Coop,0,204,8,20,-12,-5,3446
2046,Deflect,0,160,8,20,-12,-5,2043,Coop,0,48,8,20,-12,-5,3447
2047,Deflect,0,174,8,20,-12,-5,2046,Coop,0,148,8,20,-12,-5,3448
