user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2043,Coop,0,88,8,20,-12,-5,2048,Deflect,0,120,8,20,-12,-5,21398
2048,Coop,0,128,8,20,-12,-5,2043,Coop,0,96,8,20,-12,-5,21399
2043,Coop,0,84,8,20,-12,-5,2048,Deflect,0,148,8,20,-12,-5,21400
2048,Coop,0,156,8,20,-12,-5,2043,Coop,0,92,8,20,-12,-5,21401
2043,Coop,0,80,8,20,-12,-5,2048,Deflect,0,176,8,20,-12,-5,21402
2048,Coop,0,184,8,20,-12,-5,2043,Coop,0,88,8,20,-12,-5,21403
2043,Coop,0,76,8,20,-12,-5,2048,Deflect,0,204,8,20,-12,-5,21404
2048,Coop,0,212,8,20,-12,-5,2043,Coop,0,84,8,20,-12,-5,21405
2043,Coop,0,72,8,20,-12,-5,2048,Deflect,0,232,8,20,-12,-5,21406
2048,Coop,0,240,8,20,-12,-5,2043,Coop,0,80,8,20,-12,-5,21407
2043,Coop,0,68,8,20,-12,-5,2048,Deflect,0,260,8,20,-12,-5,21408
2048,Coop,0,268,8,20,-12,-5,2043,Coop,0,76,8,20,-12,-5,21409
2043,Coop,0,64,8,20,-12,-5,2048,Deflect,0,288,8,20,-12,-5,21410
2048,Coop,0,296,8,20,-12,-5,2043,Coop,0,72,8,20,-12,-5,21411
2043,Coop,0,60,8,20,-12,-5,2048,Deflect,0,316,8,20,-12,-5,21412
2048,Coop,0,324,8,20,-12,-5,2043,Coop,0,68,8,20,-12,-5,21413
2043,Coop,0,56,8,20,-12,-5,2048,Deflect,0,344,8,20,-12,-5,21414
2048,Coop,0,352,8,20,-12,-5,2043,Coop,0,64,8,20,-12,-5,21415
2043,Coop,0,52,8,20,-12,-5,2048,Deflect,0,372,8,20,-12,-5,21416
2048,Coop,0,380,8,20,-12,-5,2043,Coop,0,60,8,20,-12,-5,21417
2043,Coop,0,48,8,20,-12,-5,2048,Deflect,0,400,8,20,-12,-5,21418
2048,Coop,0,408,8,20,-12,-5,2043,Coop,0,56,8,20,-12,-5,21419
2043,Coop,0,44,8,20,-12,-5,2048,Deflect,0,428,8,20,-12,-5,21420
2048,Coop,0,436,8,20,-12,-5,2043,Coop,0,52,8,20,-12,-5,21421
2043,Coop,0,40,8,20,-12,-5,2048,Deflect,0,456,8,20,-12,-5,21422
2048,Coop,0,464,8,20,-12,-5,2043,Coop,0,48,8,20,-12,-5,21423
2043,Coop,0,36,8,20,-12,-5,2048,Deflect,0,484,8,20,-12,-5,21424
2048,Coop,0,492,8,20,-12,-5,2043,Coop,0,44,8,20,-12,-5,21425
2043,Coop,0,32,8,20,-12,-5,2048,Deflect,0,512,8,20,-12,-5,21426
2048,Coop,0,520,8,20,-12,-5,2043,Coop,0,40,8,20,-12,-5,21427
2043,Coop,0,28,8,20,-12,-5,2048,Deflect,0,540,8,20,-12,-5,21428
2048,Coop,0,548,8,20,-12,-5,2043,Coop,0,36,8,20,-12,-5,21429
2043,Coop,0,24,8,20,-12,-5,2048,Deflect,0,568,8,20,-12,-5,21430
2048,Coop,0,576,8,20,-12,-5,2043,Coop,0,32,8,20,-12,-5,21431
2043,Coop,0,20,8,20,-12,-5,2048,Deflect,0,596,8,20,-12,-5,21432
2048,Buy,0,604,8,20,-12,-5,2048,Buy,0,104,9,21,-11,-4,21433
2048,Coop,0,604,8,20,-12,-5,2043,Coop,0,28,8,20,-12,-5,21434
2043,Coop,0,16,8,20,-12,-5,2048,Deflect,0,125,9,21,-11,-4,21435
2048,Coop,0,134,9,21,-11,-4,2043,Coop,0,24,8,20,-12,-5,21436
2043,Coop,0,12,8,20,-12,-5,2048,Deflect,0,155,9,21,-11,-4,21437
2048,Coop,0,164,9,21,-11,-4,2043,Coop,0,20,8,20,-12,-5,21438
2043,Coop,0,8,8,20,-12,-5,2048,Deflect,0,185,9,21,-11,-4,21439
2048,Coop,0,194,9,21,-11,-4,2043,Coop,0,16,8,20,-12,-5,21440
2043,Coop,0,4,8,20,-12,-5,2048,Deflect,0,215,9,21,-11,-4,21441
2048,Coop,0,224,9,21,-11,-4,2043,Coop,0,12,8,20,-12,-5,21442
2043,Coop,0,0,8,20,-12,-5,2048,Deflect,0,245,9,21,-11,-4,21443
