user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2042,Deflect,0,95,8,20,-12,-5,2046,Deflect,0,95,8,20,-12,-5,21471
2046,Coop,0,83,8,20,-12,-5,2042,Deflect,0,115,8,20,-12,-5,21472
2042,Deflect,0,135,8,20,-12,-5,2046,Coop,0,71,8,20,-12,-5,21473
2046,Deflect,0,66,8,20,-12,-5,2042,Deflect,0,130,8,20,-12,-5,21474
2042,Deflect,0,125,8,20,-12,-5,2046,Deflect,0,61,8,20,-12,-5,21475
2046,Deflect,0,56,8,20,-12,-5,2042,Deflect,0,120,8,20,-12,-5,21476
2042,Deflect,0,115,8,20,-12,-5,2046,Deflect,0,51,8,20,-12,-5,21477
2046,Deflect,0,46,8,20,-12,-5,2042,Deflect,0,110,8,20,-12,-5,21478
2042,Deflect,0,105,8,20,-12,-5,2046,Deflect,0,41,8,20,-12,-5,21479
2046,Deflect,0,36,8,20,-12,-5,2042,Deflect,0,100,8,20,-12,-5,21480
2042,Deflect,0,95,8,20,-12,-5,2046,Deflect,0,31,8,20,-12,-5,21481
2046,Deflect,0,26,8,20,-12,-5,2042,Deflect,0,90,8,20,-12,-5,21482
2042,Deflect,0,85,8,20,-12,-5,2046,Deflect,0,21,8,20,-12,-5,21483
2046,Deflect,0,16,8,20,-12,-5,2042,Deflect,0,80,8,20,-12,-5,21484
2042,Deflect,0,75,8,20,-12,-5,2046,Deflect,0,11,8,20,-12,-5,21485
2046,Deflect,0,6,8,20,-12,-5,2042,Deflect,0,70,8,20,-12,-5,21486
2042,Deflect,0,65,8,20,-12,-5,2046,Deflect,0,1,8,20,-12,-5,21487
2046,Deflect,0,-4,8,20,-12,-5,2042,Deflect,0,60,8,20,-12,-5,21488
