user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2047,Coop,0,88,8,20,-12,-5,2048,Deflect,0,120,8,20,-12,-5,23401
2048,Coop,0,108,8,20,-12,-5,2047,Deflect,0,108,8,20,-12,-5,23402
2047,Deflect,0,103,8,20,-12,-5,2048,Deflect,0,103,8,20,-12,-5,23403
2048,Deflect,0,98,8,20,-12,-5,2047,Deflect,0,98,8,20,-12,-5,23404
2047,Deflect,0,93,8,20,-12,-5,2048,Deflect,0,93,8,20,-12,-5,23405
2048,Deflect,0,88,8,20,-12,-5,2047,Deflect,0,88,8,20,-12,-5,23406
2047,Deflect,0,83,8,20,-12,-5,2048,Deflect,0,83,8,20,-12,-5,23407
2048,Deflect,0,78,8,20,-12,-5,2047,Deflect,0,78,8,20,-12,-5,23408
2047,Deflect,0,73,8,20,-12,-5,2048,Deflect,0,73,8,20,-12,-5,23409
2048,Deflect,0,68,8,20,-12,-5,2047,Deflect,0,68,8,20,-12,-5,23410
2047,Deflect,0,63,8,20,-12,-5,2048,Deflect,0,63,8,20,-12,-5,23411
2048,Deflect,0,58,8,20,-12,-5,2047,Deflect,0,58,8,20,-12,-5,23412
2047,Deflect,0,53,8,20,-12,-5,2048,Deflect,0,53,8,20,-12,-5,23413
2048,Deflect,0,48,8,20,-12,-5,2047,Deflect,0,48,8,20,-12,-5,23414
2047,Deflect,0,43,8,20,-12,-5,2048,Deflect,0,43,8,20,-12,-5,23415
2048,Deflect,0,38,8,20,-12,-5,2047,Deflect,0,38,8,20,-12,-5,23416
2047,Deflect,0,33,8,20,-12,-5,2048,Deflect,0,33,8,20,-12,-5,23417
2048,Deflect,0,28,8,20,-12,-5,2047,Deflect,0,28,8,20,-12,-5,23418
2047,Deflect,0,23,8,20,-12,-5,2048,Deflect,0,23,8,20,-12,-5,23419
2048,Deflect,0,18,8,20,-12,-5,2047,Deflect,0,18,8,20,-12,-5,23420
2047,Deflect,0,13,8,20,-12,-5,2048,Deflect,0,13,8,20,-12,-5,23421
2048,Deflect,0,8,8,20,-12,-5,2047,Deflect,0,8,8,20,-12,-5,23422
2047,Deflect,0,3,8,20,-12,-5,2048,Deflect,0,3,8,20,-12,-5,23423
2048,Deflect,0,-2,8,20,-12,-5,2047,Deflect,0,-2,8,20,-12,-5,23424
