user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2046,Deflect,0,120,8,20,-12,-5,2047,Coop,0,88,8,20,-12,-5,23360
2047,Deflect,0,108,8,20,-12,-5,2046,Coop,0,108,8,20,-12,-5,23361
2046,Coop,0,96,8,20,-12,-5,2047,Deflect,0,128,8,20,-12,-5,23362
2047,Deflect,0,123,8,20,-12,-5,2046,Deflect,0,91,8,20,-12,-5,23363
2046,Deflect,0,86,8,20,-12,-5,2047,Deflect,0,118,8,20,-12,-5,23364
2047,Deflect,0,113,8,20,-12,-5,2046,Deflect,0,81,8,20,-12,-5,23365
2046,Deflect,0,76,8,20,-12,-5,2047,Deflect,0,108,8,20,-12,-5,23366
2047,Deflect,0,103,8,20,-12,-5,2046,Deflect,0,71,8,20,-12,-5,23367
2046,Deflect,0,66,8,20,-12,-5,2047,Deflect,0,98,8,20,-12,-5,23368
2047,Deflect,0,93,8,20,-12,-5,2046,Deflect,0,61,8,20,-12,-5,23369
2046,Deflect,0,56,8,20,-12,-5,2047,Deflect,0,88,8,20,-12,-5,23370
2047,Deflect,0,83,8,20,-12,-5,2046,Deflect,0,51,8,20,-12,-5,23371
2046,Deflect,0,46,8,20,-12,-5,2047,Deflect,0,78,8,20,-12,-5,23372
2047,Deflect,0,73,8,20,-12,-5,2046,Deflect,0,41,8,20,-12,-5,23373
2046,Deflect,0,36,8,20,-12,-5,2047,Deflect,0,68,8,20,-12,-5,23374
2047,Deflect,0,63,8,20,-12,-5,2046,Deflect,0,31,8,20,-12,-5,23375
2046,Deflect,0,26,8,20,-12,-5,2047,Deflect,0,58,8,20,-12,-5,23376
2047,Deflect,0,53,8,20,-12,-5,2046,Deflect,0,21,8,20,-12,-5,23377
2046,Deflect,0,16,8,20,-12,-5,2047,Deflect,0,48,8,20,-12,-5,23378
2047,Deflect,0,43,8,20,-12,-5,2046,Deflect,0,11,8,20,-12,-5,23379
2046,Deflect,0,6,8,20,-12,-5,2047,Deflect,0,38,8,20,-12,-5,23380
2047,Deflect,0,33,8,20,-12,-5,2046,Deflect,0,1,8,20,-12,-5,23381
2046,Deflect,0,-4,8,20,-12,-5,2047,Deflect,0,28,8,20,-12,-5,23382
