user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2041,Deflect,0,120,8,20,-12,-5,2043,Coop,0,88,8,20,-12,-5,17209
2043,Coop,0,76,8,20,-12,-5,2041,Deflect,0,140,8,20,-12,-5,17210
2041,Deflect,0,160,8,20,-12,-5,2043,Coop,0,64,8,20,-12,-5,17211
2043,Coop,0,72,8,20,-12,-5,2041,Coop,0,168,8,20,-12,-5,17212
2041,Coop,0,176,8,20,-12,-5,2043,Coop,0,80,8,20,-12,-5,17213
2043,Coop,0,68,8,20,-12,-5,2041,Deflect,0,196,8,20,-12,-5,17214
2041,Coop,0,204,8,20,-12,-5,2043,Coop,0,76,8,20,-12,-5,17215
2043,Coop,0,64,8,20,-12,-5,2041,Deflect,0,224,8,20,-12,-5,17216
2041,Coop,0,232,8,20,-12,-5,2043,Coop,0,72,8,20,-12,-5,17217
2043,Coop,0,60,8,20,-12,-5,2041,Deflect,0,252,8,20,-12,-5,17218
2041,Coop,0,260,8,20,-12,-5,2043,Coop,0,68,8,20,-12,-5,17219
2043,Coop,0,76,8,20,-12,-5,2041,Coop,0,268,8,20,-12,-5,17220
2041,Coop,0,276,8,20,-12,-5,2043,Coop,0,84,8,20,-12,-5,17221
2043,Coop,0,72,8,20,-12,-5,2041,Deflect,0,296,8,20,-12,-5,17222
2041,Coop,0,304,8,20,-12,-5,2043,Coop,0,80,8,20,-12,-5,17223
2043,Coop,0,88,8,20,-12,-5,2041,Coop,0,312,8,20,-12,-5,17224
2041,Coop,0,320,8,20,-12,-5,2043,Coop,0,96,8,20,-12,-5,17225
2043,Coop,0,84,8,20,-12,-5,2041,Deflect,0,340,8,20,-12,-5,17226
2041,Coop,0,348,8,20,-12,-5,2043,Coop,0,92,8,20,-12,-5,17227
2043,Coop,0,100,8,20,-12,-5,2041,Coop,0,356,8,20,-12,-5,17228
2041,Coop,0,364,8,20,-12,-5,2043,Coop,0,108,8,20,-12,-5,17229
2043,Coop,0,116,8,20,-12,-5,2041,Coop,0,372,8,20,-12,-5,17230
2041,Coop,0,380,8,20,-12,-5,2043,Coop,0,124,8,20,-12,-5,17231
