user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2041,Deflect,0,95,8,20,-12,-5,2042,Deflect,0,95,8,20,-12,-5,17198
2042,Deflect,0,115,8,20,-12,-5,2041,Coop,0,83,8,20,-12,-5,17199
2041,Coop,0,71,8,20,-12,-5,2042,Deflect,0,135,8,20,-12,-5,17200
2042,Deflect,0,130,8,20,-12,-5,2041,Deflect,0,66,8,20,-12,-5,17201
2041,Coop,0,54,8,20,-12,-5,2042,Deflect,0,150,8,20,-12,-5,17202
2042,Deflect,0,170,8,20,-12,-5,2041,Coop,0,42,8,20,-12,-5,17203
2041,Coop,0,30,8,20,-12,-5,2042,Deflect,0,190,8,20,-12,-5,17204
2042,Deflect,0,210,8,20,-12,-5,2041,Coop,0,18,8,20,-12,-5,17205
2041,Deflect,0,13,8,20,-12,-5,2042,Deflect,0,205,8,20,-12,-5,17206
2042,Deflect,0,200,8,20,-12,-5,2041,Deflect,0,8,8,20,-12,-5,17207
2041,Coop,0,-4,8,20,-12,-5,2042,Deflect,0,220,8,20,-12,-5,17208
