user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2041,Deflect,0,120,8,20,-12,-5,2047,Coop,0,88,8,20,-12,-5,17290
2047,Deflect,0,83,8,20,-12,-5,2041,Deflect,0,115,8,20,-12,-5,17291
2041,Coop,0,103,8,20,-12,-5,2047,Deflect,0,103,8,20,-12,-5,17292
2047,Deflect,0,98,8,20,-12,-5,2041,Deflect,0,98,8,20,-12,-5,17293
2041,Coop,0,86,8,20,-12,-5,2047,Deflect,0,118,8,20,-12,-5,17294
2047,Deflect,0,113,8,20,-12,-5,2041,Deflect,0,81,8,20,-12,-5,17295
2041,Coop,0,69,8,20,-12,-5,2047,Deflect,0,133,8,20,-12,-5,17296
2047,Deflect,0,128,8,20,-12,-5,2041,Deflect,0,64,8,20,-12,-5,17297
2041,Coop,0,52,8,20,-12,-5,2047,Deflect,0,148,8,20,-12,-5,17298
2047,Deflect,0,168,8,20,-12,-5,2041,Coop,0,40,8,20,-12,-5,17299
2041,Coop,0,28,8,20,-12,-5,2047,Deflect,0,188,8,20,-12,-5,17300
2047,Deflect,0,208,8,20,-12,-5,2041,Coop,0,16,8,20,-12,-5,17301
2041,Deflect,0,11,8,20,-12,-5,2047,Deflect,0,203,8,20,-12,-5,17302
2047,Deflect,0,223,8,20,-12,-5,2041,Coop,0,-1,8,20,-12,-5,17303
