user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2041,Deflect,0,95,8,20,-12,-5,2046,Deflect,0,95,8,20,-12,-5,17275
2046,Coop,0,103,8,20,-12,-5,2041,Coop,0,103,8,20,-12,-5,17276
2041,Coop,0,111,8,20,-12,-5,2046,Coop,0,111,8,20,-12,-5,17277
2046,Deflect,0,131,8,20,-12,-5,2041,Coop,0,99,8,20,-12,-5,17278
2041,Coop,0,87,8,20,-12,-5,2046,Deflect,0,151,8,20,-12,-5,17279
2046,Deflect,0,146,8,20,-12,-5,2041,Deflect,0,82,8,20,-12,-5,17280
2041,Coop,0,70,8,20,-12,-5,2046,Deflect,0,166,8,20,-12,-5,17281
2046,Deflect,0,161,8,20,-12,-5,2041,Deflect,0,65,8,20,-12,-5,17282
2041,Coop,0,53,8,20,-12,-5,2046,Deflect,0,181,8,20,-12,-5,17283
2046,Deflect,0,201,8,20,-12,-5,2041,Coop,0,41,8,20,-12,-5,17284
2041,Coop,0,29,8,20,-12,-5,2046,Deflect,0,221,8,20,-12,-5,17285
2046,Deflect,0,216,8,20,-12,-5,2041,Deflect,0,24,8,20,-12,-5,17286
2041,Deflect,0,19,8,20,-12,-5,2046,Deflect,0,211,8,20,-12,-5,17287
2046,Deflect,0,231,8,20,-12,-5,2041,Coop,0,7,8,20,-12,-5,17288
2041,Coop,0,-5,8,20,-12,-5,2046,Deflect,0,251,8,20,-12,-5,17289
