user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2041,Deflect,0,120,8,20,-12,-5,2045,Coop,0,88,8,20,-12,-5,17068
2045,Coop,0,76,8,20,-12,-5,2041,Deflect,0,140,8,20,-12,-5,17069
2041,Deflect,0,135,8,20,-12,-5,2045,Deflect,0,71,8,20,-12,-5,17070
2045,Deflect,0,91,8,20,-12,-5,2041,Coop,0,123,8,20,-12,-5,17071
2041,Coop,0,131,8,20,-12,-5,2045,Coop,0,99,8,20,-12,-5,17072
2045,Coop,0,87,8,20,-12,-5,2041,Deflect,0,151,8,20,-12,-5,17073
2041,Deflect,0,171,8,20,-12,-5,2045,Coop,0,75,8,20,-12,-5,17074
2045,Deflect,0,70,8,20,-12,-5,2041,Deflect,0,166,8,20,-12,-5,17075
2041,Coop,0,154,8,20,-12,-5,2045,Deflect,0,90,8,20,-12,-5,17076
2045,Coop,0,78,8,20,-12,-5,2041,Deflect,0,174,8,20,-12,-5,17077
2041,Deflect,0,194,8,20,-12,-5,2045,Coop,0,66,8,20,-12,-5,17078
2045,Deflect,0,61,8,20,-12,-5,2041,Deflect,0,189,8,20,-12,-5,17079
2041,Coop,0,177,8,20,-12,-5,2045,Deflect,0,81,8,20,-12,-5,17080
2045,Coop,0,69,8,20,-12,-5,2041,Deflect,0,197,8,20,-12,-5,17081
2041,Coop,0,205,8,20,-12,-5,2045,Coop,0,77,8,20,-12,-5,17082
2045,Coop,0,85,8,20,-12,-5,2041,Coop,0,213,8,20,-12,-5,17083
2041,Deflect,0,233,8,20,-12,-5,2045,Coop,0,73,8,20,-12,-5,17084
2045,Coop,0,61,8,20,-12,-5,2041,Deflect,0,253,8,20,-12,-5,17085
2041,Coop,0,241,8,20,-12,-5,2045,Deflect,0,81,8,20,-12,-5,17086
2045,Coop,0,89,8,20,-12,-5,2041,Coop,0,249,8,20,-12,-5,17087
2041,Coop,0,257,8,20,-12,-5,2045,Coop,0,97,8,20,-12,-5,17088
2045,Coop,0,85,8,20,-12,-5,2041,Deflect,0,277,8,20,-12,-5,17089
2041,Deflect,0,297,8,20,-12,-5,2045,Coop,0,73,8,20,-12,-5,17090
2045,Deflect,0,93,8,20,-12,-5,2041,Coop,0,285,8,20,-12,-5,17091
2041,Deflect,0,305,8,20,-12,-5,2045,Coop,0,81,8,20,-12,-5,17092
2045,Coop,0,69,8,20,-12,-5,2041,Deflect,0,325,8,20,-12,-5,17093
2041,Deflect,0,320,8,20,-12,-5,2045,Deflect,0,64,8,20,-12,-5,17094
2045,Deflect,0,84,8,20,-12,-5,2041,Coop,0,308,8,20,-12,-5,17095
2041,Deflect,0,328,8,20,-12,-5,2045,Coop,0,72,8,20,-12,-5,17096
2045,Coop,0,80,8,20,-12,-5,2041,Coop,0,336,8,20,-12,-5,17097
2041,Coop,0,344,8,20,-12,-5,2045,Coop,0,88,8,20,-12,-5,17098
2045,Coop,0,76,8,20,-12,-5,2041,Deflect,0,364,8,20,-12,-5,17099
2041,Coop,0,372,8,20,-12,-5,2045,Coop,0,84,8,20,-12,-5,17100
2045,Coop,0,92,8,20,-12,-5,2041,Coop,0,380,8,20,-12,-5,17101
2041,Deflect,0,400,8,20,-12,-5,2045,Coop,0,80,8,20,-12,-5,17102
2045,Coop,0,88,8,20,-12,-5,2041,Coop,0,408,8,20,-12,-5,17103
2041,Deflect,0,428,8,20,-12,-5,2045,Coop,0,76,8,20,-12,-5,17104
2045,Coop,0,64,8,20,-12,-5,2041,Deflect,0,448,8,20,-12,-5,17105
2041,Deflect,0,443,8,20,-12,-5,2045,Deflect,0,59,8,20,-12,-5,17106
2045,Deflect,0,79,8,20,-12,-5,2041,Coop,0,431,8,20,-12,-5,17107
2041,Deflect,0,451,8,20,-12,-5,2045,Coop,0,67,8,20,-12,-5,17108
2045,Coop,0,75,8,20,-12,-5,2041,Coop,0,459,8,20,-12,-5,17109
