user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2041,Deflect,0,95,8,20,-12,-5,2048,Deflect,0,95,8,20,-12,-5,17304
2048,Coop,0,83,8,20,-12,-5,2041,Deflect,0,115,8,20,-12,-5,17305
2041,Coop,0,103,8,20,-12,-5,2048,Deflect,0,103,8,20,-12,-5,17306
2048,Coop,0,91,8,20,-12,-5,2041,Deflect,0,123,8,20,-12,-5,17307
2041,Deflect,0,118,8,20,-12,-5,2048,Deflect,0,86,8,20,-12,-5,17308
2048,Deflect,0,106,8,20,-12,-5,2041,Coop,0,106,8,20,-12,-5,17309
2041,Deflect,0,126,8,20,-12,-5,2048,Coop,0,94,8,20,-12,-5,17310
2048,Deflect,0,114,8,20,-12,-5,2041,Coop,0,114,8,20,-12,-5,17311
2041,Deflect,0,134,8,20,-12,-5,2048,Coop,0,102,8,20,-12,-5,17312
2048,Deflect,0,97,8,20,-12,-5,2041,Deflect,0,129,8,20,-12,-5,17313
2041,Deflect,0,124,8,20,-12,-5,2048,Deflect,0,92,8,20,-12,-5,17314
2048,Deflect,0,112,8,20,-12,-5,2041,Coop,0,112,8,20,-12,-5,17315
2041,Deflect,0,132,8,20,-12,-5,2048,Coop,0,100,8,20,-12,-5,17316
2048,Deflect,0,95,8,20,-12,-5,2041,Deflect,0,127,8,20,-12,-5,17317
2041,Deflect,0,122,8,20,-12,-5,2048,Deflect,0,90,8,20,-12,-5,17318
2048,Deflect,0,110,8,20,-12,-5,2041,Coop,0,110,8,20,-12,-5,17319
2041,Coop,0,118,8,20,-12,-5,2048,Coop,0,118,8,20,-12,-5,17320
2048,Coop,0,126,8,20,-12,-5,2041,Coop,0,126,8,20,-12,-5,17321
2041,Coop,0,134,8,20,-12,-5,2048,Coop,0,134,8,20,-12,-5,17322
2048,Coop,0,122,8,20,-12,-5,2041,Deflect,0,154,8,20,-12,-5,17323
2041,Deflect,0,149,8,20,-12,-5,2048,Deflect,0,117,8,20,-12,-5,17324
2048,Deflect,0,137,8,20,-12,-5,2041,Coop,0,137,8,20,-12,-5,17325
2041,Coop,0,145,8,20,-12,-5,2048,Coop,0,145,8,20,-12,-5,17326
2048,Coop,0,153,8,20,-12,-5,2041,Coop,0,153,8,20,-12,-5,17327
2041,Coop,0,161,8,20,-12,-5,2048,Coop,0,161,8,20,-12,-5,17328
2048,Coop,0,169,8,20,-12,-5,2041,Coop,0,169,8,20,-12,-5,17329
2041,Deflect,0,189,8,20,-12,-5,2048,Coop,0,157,8,20,-12,-5,17330
2048,Deflect,0,152,8,20,-12,-5,2041,Deflect,0,184,8,20,-12,-5,17331
2041,Deflect,0,179,8,20,-12,-5,2048,Deflect,0,147,8,20,-12,-5,17332
2048,Deflect,0,142,8,20,-12,-5,2041,Deflect,0,174,8,20,-12,-5,17333
2041,Deflect,0,169,8,20,-12,-5,2048,Deflect,0,137,8,20,-12,-5,17334
2048,Deflect,0,132,8,20,-12,-5,2041,Deflect,0,164,8,20,-12,-5,17335
2041,Coop,0,152,8,20,-12,-5,2048,Deflect,0,152,8,20,-12,-5,17336
2048,Coop,0,160,8,20,-12,-5,2041,Coop,0,160,8,20,-12,-5,17337
2041,Coop,0,168,8,20,-12,-5,2048,Coop,0,168,8,20,-12,-5,17338
2048,Coop,0,156,8,20,-12,-5,2041,Deflect,0,188,8,20,-12,-5,17339
2041,Deflect,0,183,8,20,-12,-5,2048,Deflect,0,151,8,20,-12,-5,17340
2048,Deflect,0,146,8,20,-12,-5,2041,Deflect,0,178,8,20,-12,-5,17341
2041,Deflect,0,173,8,20,-12,-5,2048,Deflect,0,141,8,20,-12,-5,17342
2048,Deflect,0,161,8,20,-12,-5,2041,Coop,0,161,8,20,-12,-5,17343
2041,Coop,0,169,8,20,-12,-5,2048,Coop,0,169,8,20,-12,-5,17344
2048,Coop,0,157,8,20,-12,-5,2041,Deflect,0,189,8,20,-12,-5,17345
2041,Deflect,0,184,8,20,-12,-5,2048,Deflect,0,152,8,20,-12,-5,17346
2048,Deflect,0,147,8,20,-12,-5,2041,Deflect,0,179,8,20,-12,-5,17347
2041,Coop,0,167,8,20,-12,-5,2048,Deflect,0,167,8,20,-12,-5,17348
2048,Coop,0,175,8,20,-12,-5,2041,Coop,0,175,8,20,-12,-5,17349
2041,Deflect,0,195,8,20,-12,-5,2048,Coop,0,163,8,20,-12,-5,17350
2048,Deflect,0,183,8,20,-12,-5,2041,Coop,0,183,8,20,-12,-5,17351
2041,Coop,0,191,8,20,-12,-5,2048,Coop,0,191,8,20,-12,-5,17352
2048,Coop,0,179,8,20,-12,-5,2041,Deflect,0,211,8,20,-12,-5,17353
2041,Deflect,0,206,8,20,-12,-5,2048,Deflect,0,174,8,20,-12,-5,17354
2048,Deflect,0,194,8,20,-12,-5,2041,Coop,0,194,8,20,-12,-5,17355
2041,Coop,0,202,8,20,-12,-5,2048,Coop,0,202,8,20,-12,-5,17356
2048,Coop,0,190,8,20,-12,-5,2041,Deflect,0,222,8,20,-12,-5,17357
2041,Deflect,0,217,8,20,-12,-5,2048,Deflect,0,185,8,20,-12,-5,17358
2048,Deflect,0,180,8,20,-12,-5,2041,Deflect,0,212,8,20,-12,-5,17359
2041,Coop,0,200,8,20,-12,-5,2048,Deflect,0,200,8,20,-12,-5,17360
2048,Coop,0,188,8,20,-12,-5,2041,Deflect,0,220,8,20,-12,-5,17361
2041,Coop,0,208,8,20,-12,-5,2048,Deflect,0,208,8,20,-12,-5,17362
2048,Coop,0,196,8,20,-12,-5,2041,Deflect,0,228,8,20,-12,-5,17363
2041,Coop,0,216,8,20,-12,-5,2048,Deflect,0,216,8,20,-12,-5,17364
2048,Coop,0,204,8,20,-12,-5,2041,Deflect,0,236,8,20,-12,-5,17365
2041,Deflect,0,231,8,20,-12,-5,2048,Deflect,0,199,8,20,-12,-5,17366
2048,Deflect,0,219,8,20,-12,-5,2041,Coop,0,219,8,20,-12,-5,17367
2041,Deflect,0,239,8,20,-12,-5,2048,Coop,0,207,8,20,-12,-5,17368
2048,Deflect,0,202,8,20,-12,-5,2041,Deflect,0,234,8,20,-12,-5,17369
2041,Deflect,0,229,8,20,-12,-5,2048,Deflect,0,197,8,20,-12,-5,17370
2048,Deflect,0,192,8,20,-12,-5,2041,Deflect,0,224,8,20,-12,-5,17371
2041,Deflect,0,219,8,20,-12,-5,2048,Deflect,0,187,8,20,-12,-5,17372
2048,Deflect,0,182,8,20,-12,-5,2041,Deflect,0,214,8,20,-12,-5,17373
2041,Coop,0,202,8,20,-12,-5,2048,Deflect,0,202,8,20,-12,-5,17374
2048,Coop,0,190,8,20,-12,-5,2041,Deflect,0,222,8,20,-12,-5,17375
2041,Deflect,0,217,8,20,-12,-5,2048,Deflect,0,185,8,20,-12,-5,17376
2048,Deflect,0,180,8,20,-12,-5,2041,Deflect,0,212,8,20,-12,-5,17377
2041,Coop,0,200,8,20,-12,-5,2048,Deflect,0,200,8,20,-12,-5,17378
2048,Coop,0,188,8,20,-12,-5,2041,Deflect,0,220,8,20,-12,-5,17379
2041,Coop,0,208,8,20,-12,-5,2048,Deflect,0,208,8,20,-12,-5,17380
2048,Coop,0,196,8,20,-12,-5,2041,Deflect,0,228,8,20,-12,-5,17381
2041,Deflect,0,223,8,20,-12,-5,2048,Deflect,0,191,8,20,-12,-5,17382
2048,Deflect,0,211,8,20,-12,-5,2041,Coop,0,211,8,20,-12,-5,17383
2041,Coop,0,219,8,20,-12,-5,2048,Coop,0,219,8,20,-12,-5,17384
2048,Coop,0,227,8,20,-12,-5,2041,Coop,0,227,8,20,-12,-5,17385
2041,Deflect,0,247,8,20,-12,-5,2048,Coop,0,215,8,20,-12,-5,17386
2048,Deflect,0,210,8,20,-12,-5,2041,Deflect,0,242,8,20,-12,-5,17387
2041,Deflect,0,237,8,20,-12,-5,2048,Deflect,0,205,8,20,-12,-5,17388
2048,Deflect,0,200,8,20,-12,-5,2041,Deflect,0,232,8,20,-12,-5,17389
2041,Coop,0,220,8,20,-12,-5,2048,Deflect,0,220,8,20,-12,-5,17390
2048,Coop,0,208,8,20,-12,-5,2041,Deflect,0,240,8,20,-12,-5,17391
2041,Coop,0,228,8,20,-12,-5,2048,Deflect,0,228,8,20,-12,-5,17392
2048,Coop,0,216,8,20,-12,-5,2041,Deflect,0,248,8,20,-12,-5,17393
2041,Deflect,0,243,8,20,-12,-5,2048,Deflect,0,211,8,20,-12,-5,17394
2048,Deflect,0,231,8,20,-12,-5,2041,Coop,0,231,8,20,-12,-5,17395
2041,Coop,0,239,8,20,-12,-5,2048,Coop,0,239,8,20,-12,-5,17396
2048,Coop,0,227,8,20,-12,-5,2041,Deflect,0,259,8,20,-12,-5,17397
2041,Coop,0,247,8,20,-12,-5,2048,Deflect,0,247,8,20,-12,-5,17398
2048,Coop,0,255,8,20,-12,-5,2041,Coop,0,255,8,20,-12,-5,17399
2041,Deflect,0,275,8,20,-12,-5,2048,Coop,0,243,8,20,-12,-5,17400
2048,Deflect,0,263,8,20,-12,-5,2041,Coop,0,263,8,20,-12,-5,17401
2041,Deflect,0,283,8,20,-12,-5,2048,Coop,0,251,8,20,-12,-5,17402
2048,Deflect,0,271,8,20,-12,-5,2041,Coop,0,271,8,20,-12,-5,17403
2041,Deflect,0,291,8,20,-12,-5,2048,Coop,0,259,8,20,-12,-5,17404
2048,Deflect,0,254,8,20,-12,-5,2041,Deflect,0,286,8,20,-12,-5,17405
2041,Coop,0,274,8,20,-12,-5,2048,Deflect,0,274,8,20,-12,-5,17406
2048,Coop,0,262,8,20,-12,-5,2041,Deflect,0,294,8,20,-12,-5,17407
2041,Coop,0,282,8,20,-12,-5,2048,Deflect,0,282,8,20,-12,-5,17408
2048,Coop,0,270,8,20,-12,-5,2041,Deflect,0,302,8,20,-12,-5,17409
2041,Coop,0,290,8,20,-12,-5,2048,Deflect,0,290,8,20,-12,-5,17410
2048,Coop,0,298,8,20,-12,-5,2041,Coop,0,298,8,20,-12,-5,17411
2041,Deflect,0,318,8,20,-12,-5,2048,Coop,0,286,8,20,-12,-5,17412
2048,Deflect,0,281,8,20,-12,-5,2041,Deflect,0,313,8,20,-12,-5,17413
2041,Deflect,0,308,8,20,-12,-5,2048,Deflect,0,276,8,20,-12,-5,17414
2048,Deflect,0,296,8,20,-12,-5,2041,Coop,0,296,8,20,-12,-5,17415
2041,Deflect,0,316,8,20,-12,-5,2048,Coop,0,284,8,20,-12,-5,17416
2048,Deflect,0,279,8,20,-12,-5,2041,Deflect,0,311,8,20,-12,-5,17417
2041,Coop,0,299,8,20,-12,-5,2048,Deflect,0,299,8,20,-12,-5,17418
2048,Coop,0,307,8,20,-12,-5,2041,Coop,0,307,8,20,-12,-5,17419
2041,Coop,0,315,8,20,-12,-5,2048,Coop,0,315,8,20,-12,-5,17420
2048,Coop,0,323,8,20,-12,-5,2041,Coop,0,323,8,20,-12,-5,17421
2041,Coop,0,331,8,20,-12,-5,2048,Coop,0,331,8,20,-12,-5,17422
2048,Coop,0,339,8,20,-12,-5,2041,Coop,0,339,8,20,-12,-5,17423
2041,Deflect,0,359,8,20,-12,-5,2048,Coop,0,327,8,20,-12,-5,17424
2048,Deflect,0,347,8,20,-12,-5,2041,Coop,0,347,8,20,-12,-5,17425
2041,Coop,0,355,8,20,-12,-5,2048,Coop,0,355,8,20,-12,-5,17426
2048,Coop,0,363,8,20,-12,-5,2041,Coop,0,363,8,20,-12,-5,17427
2041,Deflect,0,383,8,20,-12,-5,2048,Coop,0,351,8,20,-12,-5,17428
2048,Deflect,0,371,8,20,-12,-5,2041,Coop,0,371,8,20,-12,-5,17429
2041,Coop,0,379,8,20,-12,-5,2048,Coop,0,379,8,20,-12,-5,17430
2048,Coop,0,387,8,20,-12,-5,2041,Coop,0,387,8,20,-12,-5,17431
2041,Deflect,0,407,8,20,-12,-5,2048,Coop,0,375,8,20,-12,-5,17432
2048,Deflect,0,395,8,20,-12,-5,2041,Coop,0,395,8,20,-12,-5,17433
2041,Coop,0,403,8,20,-12,-5,2048,Coop,0,403,8,20,-12,-5,17434
2048,Coop,0,391,8,20,-12,-5,2041,Deflect,0,423,8,20,-12,-5,17435
2041,Coop,0,411,8,20,-12,-5,2048,Deflect,0,411,8,20,-12,-5,17436
2048,Coop,0,419,8,20,-12,-5,2041,Coop,0,419,8,20,-12,-5,17437
2041,Deflect,0,439,8,20,-12,-5,2048,Coop,0,407,8,20,-12,-5,17438
2048,Deflect,0,427,8,20,-12,-5,2041,Coop,0,427,8,20,-12,-5,17439
2041,Coop,0,435,8,20,-12,-5,2048,Coop,0,435,8,20,-12,-5,17440
2048,Coop,0,423,8,20,-12,-5,2041,Deflect,0,455,8,20,-12,-5,17441
2041,Deflect,0,450,8,20,-12,-5,2048,Deflect,0,418,8,20,-12,-5,17442
2048,Deflect,0,413,8,20,-12,-5,2041,Deflect,0,445,8,20,-12,-5,17443
2041,Coop,0,433,8,20,-12,-5,2048,Deflect,0,433,8,20,-12,-5,17444
2048,Coop,0,421,8,20,-12,-5,2041,Deflect,0,453,8,20,-12,-5,17445
2041,Deflect,0,448,8,20,-12,-5,2048,Deflect,0,416,8,20,-12,-5,17446
2048,Deflect,0,436,8,20,-12,-5,2041,Coop,0,436,8,20,-12,-5,17447
2041,Deflect,0,456,8,20,-12,-5,2048,Coop,0,424,8,20,-12,-5,17448
2048,Deflect,0,444,8,20,-12,-5,2041,Coop,0,444,8,20,-12,-5,17449
2041,Coop,0,452,8,20,-12,-5,2048,Coop,0,452,8,20,-12,-5,17450
2048,Coop,0,460,8,20,-12,-5,2041,Coop,0,460,8,20,-12,-5,17451
2041,Coop,0,468,8,20,-12,-5,2048,Coop,0,468,8,20,-12,-5,17452
2048,Coop,0,456,8,20,-12,-5,2041,Deflect,0,488,8,20,-12,-5,17453
2041,Coop,0,476,8,20,-12,-5,2048,Deflect,0,476,8,20,-12,-5,17454
2048,Coop,0,464,8,20,-12,-5,2041,Deflect,0,496,8,20,-12,-5,17455
2041,Deflect,0,491,8,20,-12,-5,2048,Deflect,0,459,8,20,-12,-5,17456
2048,Deflect,0,479,8,20,-12,-5,2041,Coop,0,479,8,20,-12,-5,17457
2041,Deflect,0,499,8,20,-12,-5,2048,Coop,0,467,8,20,-12,-5,17458
2048,Deflect,0,487,8,20,-12,-5,2041,Coop,0,487,8,20,-12,-5,17459
2041,Coop,0,495,8,20,-12,-5,2048,Coop,0,495,8,20,-12,-5,17460
2048,Coop,0,483,8,20,-12,-5,2041,Deflect,0,515,8,20,-12,-5,17461
2041,Deflect,0,510,8,20,-12,-5,2048,Deflect,0,478,8,20,-12,-5,17462
2048,Deflect,0,498,8,20,-12,-5,2041,Coop,0,498,8,20,-12,-5,17463
2041,Deflect,0,518,8,20,-12,-5,2048,Coop,0,486,8,20,-12,-5,17464
2048,Deflect,0,481,8,20,-12,-5,2041,Deflect,0,513,8,20,-12,-5,17465
2041,Deflect,0,508,8,20,-12,-5,2048,Deflect,0,476,8,20,-12,-5,17466
2048,Deflect,0,496,8,20,-12,-5,2041,Coop,0,496,8,20,-12,-5,17467
2041,Coop,0,504,8,20,-12,-5,2048,Coop,0,504,8,20,-12,-5,17468
2048,Coop,0,512,8,20,-12,-5,2041,Coop,0,512,8,20,-12,-5,17469
2041,Deflect,0,532,8,20,-12,-5,2048,Coop,0,500,8,20,-12,-5,17470
2048,Deflect,0,495,8,20,-12,-5,2041,Deflect,0,527,8,20,-12,-5,17471
2041,Coop,0,515,8,20,-12,-5,2048,Deflect,0,515,8,20,-12,-5,17472
2048,Coop,0,523,8,20,-12,-5,2041,Coop,0,523,8,20,-12,-5,17473
2041,Deflect,0,543,8,20,-12,-5,2048,Coop,0,511,8,20,-12,-5,17474
2048,Deflect,0,531,8,20,-12,-5,2041,Coop,0,531,8,20,-12,-5,17475
2041,Deflect,0,551,8,20,-12,-5,2048,Coop,0,519,8,20,-12,-5,17476
2048,Deflect,0,514,8,20,-12,-5,2041,Deflect,0,546,8,20,-12,-5,17477
2041,Deflect,0,541,8,20,-12,-5,2048,Deflect,0,509,8,20,-12,-5,17478
2048,Deflect,0,529,8,20,-12,-5,2041,Coop,0,529,8,20,-12,-5,17479
2041,Deflect,0,549,8,20,-12,-5,2048,Coop,0,517,8,20,-12,-5,17480
2048,Deflect,0,512,8,20,-12,-5,2041,Deflect,0,544,8,20,-12,-5,17481
2041,Deflect,0,539,8,20,-12,-5,2048,Deflect,0,507,8,20,-12,-5,17482
2048,Deflect,0,502,8,20,-12,-5,2041,Deflect,0,534,8,20,-12,-5,17483
2041,Deflect,0,529,8,20,-12,-5,2048,Deflect,0,497,8,20,-12,-5,17484
2048,Deflect,0,492,8,20,-12,-5,2041,Deflect,0,524,8,20,-12,-5,17485
2041,Deflect,0,519,8,20,-12,-5,2048,Deflect,0,487,8,20,-12,-5,17486
2048,Deflect,0,482,8,20,-12,-5,2041,Deflect,0,514,8,20,-12,-5,17487
2041,Coop,0,502,8,20,-12,-5,2048,Deflect,0,502,8,20,-12,-5,17488
2048,Coop,0,510,8,20,-12,-5,2041,Coop,0,510,8,20,-12,-5,17489
2041,Coop,0,518,8,20,-12,-5,2048,Coop,0,518,8,20,-12,-5,17490
2048,Coop,0,526,8,20,-12,-5,2041,Coop,0,526,8,20,-12,-5,17491
2041,Coop,0,534,8,20,-12,-5,2048,Coop,0,534,8,20,-12,-5,17492
2048,Coop,0,522,8,20,-12,-5,2041,Deflect,0,554,8,20,-12,-5,17493
2041,Deflect,0,549,8,20,-12,-5,2048,Deflect,0,517,8,20,-12,-5,17494
2048,Deflect,0,512,8,20,-12,-5,2041,Deflect,0,544,8,20,-12,-5,17495
2041,Deflect,0,539,8,20,-12,-5,2048,Deflect,0,507,8,20,-12,-5,17496
2048,Deflect,0,527,8,20,-12,-5,2041,Coop,0,527,8,20,-12,-5,17497
2041,Deflect,0,547,8,20,-12,-5,2048,Coop,0,515,8,20,-12,-5,17498
2048,Deflect,0,535,8,20,-12,-5,2041,Coop,0,535,8,20,-12,-5,17499
2041,Deflect,0,555,8,20,-12,-5,2048,Coop,0,523,8,20,-12,-5,17500
2048,Deflect,0,518,8,20,-12,-5,2041,Deflect,0,550,8,20,-12,-5,17501
2041,Coop,0,538,8,20,-12,-5,2048,Deflect,0,538,8,20,-12,-5,17502
2048,Coop,0,546,8,20,-12,-5,2041,Coop,0,546,8,20,-12,-5,17503
2041,Deflect,0,566,8,20,-12,-5,2048,Coop,0,534,8,20,-12,-5,17504
2048,Deflect,0,554,8,20,-12,-5,2041,Coop,0,554,8,20,-12,-5,17505
2041,Coop,0,562,8,20,-12,-5,2048,Coop,0,562,8,20,-12,-5,17506
2048,Coop,0,550,8,20,-12,-5,2041,Deflect,0,582,8,20,-12,-5,17507
2041,Deflect,0,577,8,20,-12,-5,2048,Deflect,0,545,8,20,-12,-5,17508
2048,Deflect,0,565,8,20,-12,-5,2041,Coop,0,565,8,20,-12,-5,17509
2041,Deflect,0,585,8,20,-12,-5,2048,Coop,0,553,8,20,-12,-5,17510
2048,Deflect,0,573,8,20,-12,-5,2041,Coop,0,573,8,20,-12,-5,17511
2041,Coop,0,581,8,20,-12,-5,2048,Coop,0,581,8,20,-12,-5,17512
2048,Coop,0,569,8,20,-12,-5,2041,Deflect,0,601,8,20,-12,-5,17513
2041,Deflect,0,596,8,20,-12,-5,2048,Deflect,0,564,8,20,-12,-5,17514
2048,Deflect,0,559,8,20,-12,-5,2041,Deflect,0,591,8,20,-12,-5,17515
2041,Deflect,0,586,8,20,-12,-5,2048,Deflect,0,554,8,20,-12,-5,17516
2048,Deflect,0,549,8,20,-12,-5,2041,Deflect,0,581,8,20,-12,-5,17517
2041,Coop,0,569,8,20,-12,-5,2048,Deflect,0,569,8,20,-12,-5,17518
2048,Coop,0,577,8,20,-12,-5,2041,Coop,0,577,8,20,-12,-5,17519
2041,Deflect,0,597,8,20,-12,-5,2048,Coop,0,565,8,20,-12,-5,17520
2048,Deflect,0,585,8,20,-12,-5,2041,Coop,0,585,8,20,-12,-5,17521
2041,Buy,0,605,8,20,-12,-5,2041,Buy,0,105,9,21,-11,-4,17522
2041,Deflect,0,605,8,20,-12,-5,2048,Coop,0,573,8,20,-12,-5,17523
2048,Deflect,0,593,8,20,-12,-5,2041,Coop,0,94,9,21,-11,-4,17524
2041,Deflect,0,115,9,21,-11,-4,2048,Coop,0,581,8,20,-12,-5,17525
2048,Buy,0,601,8,20,-12,-5,2048,Buy,0,101,9,21,-11,-4,17526
2048,Deflect,0,601,8,20,-12,-5,2041,Coop,0,104,9,21,-11,-4,17527
2041,Deflect,0,125,9,21,-11,-4,2048,Coop,0,90,9,21,-11,-4,17528
2048,Deflect,0,86,9,21,-11,-4,2041,Deflect,0,121,9,21,-11,-4,17529
2041,Deflect,0,117,9,21,-11,-4,2048,Deflect,0,82,9,21,-11,-4,17530
2048,Deflect,0,103,9,21,-11,-4,2041,Coop,0,106,9,21,-11,-4,17531
2041,Coop,0,115,9,21,-11,-4,2048,Coop,0,112,9,21,-11,-4,17532
2048,Coop,0,101,9,21,-11,-4,2041,Deflect,0,136,9,21,-11,-4,17533
2041,Deflect,0,132,9,21,-11,-4,2048,Deflect,0,97,9,21,-11,-4,17534
2048,Deflect,0,118,9,21,-11,-4,2041,Coop,0,121,9,21,-11,-4,17535
2041,Coop,0,130,9,21,-11,-4,2048,Coop,0,127,9,21,-11,-4,17536
2048,Coop,0,116,9,21,-11,-4,2041,Deflect,0,151,9,21,-11,-4,17537
2041,Deflect,0,147,9,21,-11,-4,2048,Deflect,0,112,9,21,-11,-4,17538
2048,Deflect,0,108,9,21,-11,-4,2041,Deflect,0,143,9,21,-11,-4,17539
2041,Deflect,0,139,9,21,-11,-4,2048,Deflect,0,104,9,21,-11,-4,17540
2048,Deflect,0,100,9,21,-11,-4,2041,Deflect,0,135,9,21,-11,-4,17541
2041,Deflect,0,131,9,21,-11,-4,2048,Deflect,0,96,9,21,-11,-4,17542
2048,Deflect,0,117,9,21,-11,-4,2041,Coop,0,120,9,21,-11,-4,17543
2041,Coop,0,129,9,21,-11,-4,2048,Coop,0,126,9,21,-11,-4,17544
2048,Coop,0,135,9,21,-11,-4,2041,Coop,0,138,9,21,-11,-4,17545
2041,Deflect,0,159,9,21,-11,-4,2048,Coop,0,124,9,21,-11,-4,17546
2048,Deflect,0,120,9,21,-11,-4,2041,Deflect,0,155,9,21,-11,-4,17547
2041,Deflect,0,151,9,21,-11,-4,2048,Deflect,0,116,9,21,-11,-4,17548
2048,Deflect,0,112,9,21,-11,-4,2041,Deflect,0,147,9,21,-11,-4,17549
2041,Deflect,0,143,9,21,-11,-4,2048,Deflect,0,108,9,21,-11,-4,17550
2048,Deflect,0,129,9,21,-11,-4,2041,Coop,0,132,9,21,-11,-4,17551
2041,Deflect,0,153,9,21,-11,-4,2048,Coop,0,118,9,21,-11,-4,17552
2048,Deflect,0,139,9,21,-11,-4,2041,Coop,0,142,9,21,-11,-4,17553
2041,Coop,0,151,9,21,-11,-4,2048,Coop,0,148,9,21,-11,-4,17554
2048,Coop,0,137,9,21,-11,-4,2041,Deflect,0,172,9,21,-11,-4,17555
2041,Coop,0,161,9,21,-11,-4,2048,Deflect,0,158,9,21,-11,-4,17556
2048,Coop,0,167,9,21,-11,-4,2041,Coop,0,170,9,21,-11,-4,17557
2041,Deflect,0,191,9,21,-11,-4,2048,Coop,0,156,9,21,-11,-4,17558
2048,Deflect,0,152,9,21,-11,-4,2041,Deflect,0,187,9,21,-11,-4,17559
2041,Coop,0,176,9,21,-11,-4,2048,Deflect,0,173,9,21,-11,-4,17560
2048,Coop,0,182,9,21,-11,-4,2041,Coop,0,185,9,21,-11,-4,17561
2041,Deflect,0,206,9,21,-11,-4,2048,Coop,0,171,9,21,-11,-4,17562
2048,Deflect,0,167,9,21,-11,-4,2041,Deflect,0,202,9,21,-11,-4,17563
2041,Coop,0,191,9,21,-11,-4,2048,Deflect,0,188,9,21,-11,-4,17564
2048,Coop,0,197,9,21,-11,-4,2041,Coop,0,200,9,21,-11,-4,17565
2041,Deflect,0,221,9,21,-11,-4,2048,Coop,0,186,9,21,-11,-4,17566
2048,Deflect,0,207,9,21,-11,-4,2041,Coop,0,210,9,21,-11,-4,17567
2041,Deflect,0,231,9,21,-11,-4,2048,Coop,0,196,9,21,-11,-4,17568
2048,Deflect,0,217,9,21,-11,-4,2041,Coop,0,220,9,21,-11,-4,17569
2041,Deflect,0,241,9,21,-11,-4,2048,Coop,0,206,9,21,-11,-4,17570
2048,Deflect,0,202,9,21,-11,-4,2041,Deflect,0,237,9,21,-11,-4,17571
2041,Deflect,0,233,9,21,-11,-4,2048,Deflect,0,198,9,21,-11,-4,17572
2048,Deflect,0,219,9,21,-11,-4,2041,Coop,0,222,9,21,-11,-4,17573
2041,Deflect,0,243,9,21,-11,-4,2048,Coop,0,208,9,21,-11,-4,17574
2048,Deflect,0,229,9,21,-11,-4,2041,Coop,0,232,9,21,-11,-4,17575
2041,Coop,0,241,9,21,-11,-4,2048,Coop,0,238,9,21,-11,-4,17576
2048,Coop,0,227,9,21,-11,-4,2041,Deflect,0,262,9,21,-11,-4,17577
2041,Deflect,0,258,9,21,-11,-4,2048,Deflect,0,223,9,21,-11,-4,17578
2048,Deflect,0,219,9,21,-11,-4,2041,Deflect,0,254,9,21,-11,-4,17579
2041,Deflect,0,250,9,21,-11,-4,2048,Deflect,0,215,9,21,-11,-4,17580
2048,Deflect,0,236,9,21,-11,-4,2041,Coop,0,239,9,21,-11,-4,17581
2041,Coop,0,248,9,21,-11,-4,2048,Coop,0,245,9,21,-11,-4,17582
2048,Coop,0,254,9,21,-11,-4,2041,Coop,0,257,9,21,-11,-4,17583
2041,Deflect,0,278,9,21,-11,-4,2048,Coop,0,243,9,21,-11,-4,17584
2048,Deflect,0,264,9,21,-11,-4,2041,Coop,0,267,9,21,-11,-4,17585
2041,Deflect,0,288,9,21,-11,-4,2048,Coop,0,253,9,21,-11,-4,17586
2048,Deflect,0,249,9,21,-11,-4,2041,Deflect,0,284,9,21,-11,-4,17587
2041,Deflect,0,280,9,21,-11,-4,2048,Deflect,0,245,9,21,-11,-4,17588
2048,Deflect,0,241,9,21,-11,-4,2041,Deflect,0,276,9,21,-11,-4,17589
2041,Coop,0,265,9,21,-11,-4,2048,Deflect,0,262,9,21,-11,-4,17590
