user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2045,Coop,0,108,8,20,-12,-5,2047,Coop,0,108,8,20,-12,-5,22303
2047,Coop,0,116,8,20,-12,-5,2045,Coop,0,116,8,20,-12,-5,22304
2045,Coop,0,124,8,20,-12,-5,2047,Coop,0,124,8,20,-12,-5,22305
2047,Coop,0,132,8,20,-12,-5,2045,Coop,0,132,8,20,-12,-5,22306
2045,Coop,0,140,8,20,-12,-5,2047,Coop,0,140,8,20,-12,-5,22307
2047,Coop,0,148,8,20,-12,-5,2045,Coop,0,148,8,20,-12,-5,22308
2045,Coop,0,156,8,20,-12,-5,2047,Coop,0,156,8,20,-12,-5,22309
2047,Coop,0,164,8,20,-12,-5,2045,Coop,0,164,8,20,-12,-5,22310
2045,Coop,0,172,8,20,-12,-5,2047,Coop,0,172,8,20,-12,-5,22311
2047,Coop,0,180,8,20,-12,-5,2045,Coop,0,180,8,20,-12,-5,22312
2045,Coop,0,188,8,20,-12,-5,2047,Coop,0,188,8,20,-12,-5,22313
2047,Coop,0,196,8,20,-12,-5,2045,Coop,0,196,8,20,-12,-5,22314
2045,Coop,0,204,8,20,-12,-5,2047,Coop,0,204,8,20,-12,-5,22315
2047,Coop,0,212,8,20,-12,-5,2045,Coop,0,212,8,20,-12,-5,22316
2045,Coop,0,220,8,20,-12,-5,2047,Coop,0,220,8,20,-12,-5,22317
2047,Coop,0,228,8,20,-12,-5,2045,Coop,0,228,8,20,-12,-5,22318
2045,Coop,0,236,8,20,-12,-5,2047,Coop,0,236,8,20,-12,-5,22319
2047,Coop,0,244,8,20,-12,-5,2045,Coop,0,244,8,20,-12,-5,22320
2045,Coop,0,252,8,20,-12,-5,2047,Coop,0,252,8,20,-12,-5,22321
2047,Coop,0,260,8,20,-12,-5,2045,Coop,0,260,8,20,-12,-5,22322
2045,Coop,0,268,8,20,-12,-5,2047,Coop,0,268,8,20,-12,-5,22323
2047,Coop,0,276,8,20,-12,-5,2045,Coop,0,276,8,20,-12,-5,22324
2045,Coop,0,284,8,20,-12,-5,2047,Coop,0,284,8,20,-12,-5,22325
2047,Coop,0,292,8,20,-12,-5,2045,Coop,0,292,8,20,-12,-5,22326
2045,Coop,0,300,8,20,-12,-5,2047,Coop,0,300,8,20,-12,-5,22327
2047,Coop,0,308,8,20,-12,-5,2045,Coop,0,308,8,20,-12,-5,22328
2045,Coop,0,316,8,20,-12,-5,2047,Coop,0,316,8,20,-12,-5,22329
2047,Coop,0,324,8,20,-12,-5,2045,Coop,0,324,8,20,-12,-5,22330
2045,Coop,0,332,8,20,-12,-5,2047,Coop,0,332,8,20,-12,-5,22331
2047,Coop,0,340,8,20,-12,-5,2045,Coop,0,340,8,20,-12,-5,22332
2045,Coop,0,348,8,20,-12,-5,2047,Coop,0,348,8,20,-12,-5,22333
2047,Coop,0,356,8,20,-12,-5,2045,Coop,0,356,8,20,-12,-5,22334
2045,Coop,0,364,8,20,-12,-5,2047,Coop,0,364,8,20,-12,-5,22335
2047,Coop,0,372,8,20,-12,-5,2045,Coop,0,372,8,20,-12,-5,22336
2045,Coop,0,380,8,20,-12,-5,2047,Coop,0,380,8,20,-12,-5,22337
2047,Coop,0,388,8,20,-12,-5,2045,Coop,0,388,8,20,-12,-5,22338
2045,Coop,0,396,8,20,-12,-5,2047,Coop,0,396,8,20,-12,-5,22339
2047,Coop,0,404,8,20,-12,-5,2045,Coop,0,404,8,20,-12,-5,22340
2045,Coop,0,412,8,20,-12,-5,2047,Coop,0,412,8,20,-12,-5,22341
2047,Coop,0,420,8,20,-12,-5,2045,Coop,0,420,8,20,-12,-5,22342
2045,Coop,0,428,8,20,-12,-5,2047,Coop,0,428,8,20,-12,-5,22343
2047,Coop,0,436,8,20,-12,-5,2045,Coop,0,436,8,20,-12,-5,22344
