user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2040,Coop,0,108,8,20,-12,-5,2043,Coop,0,108,8,20,-12,-5,14878
2043,Coop,0,116,8,20,-12,-5,2040,Coop,0,116,8,20,-12,-5,14879
2040,Coop,0,124,8,20,-12,-5,2043,Coop,0,124,8,20,-12,-5,14880
2043,Coop,0,132,8,20,-12,-5,2040,Coop,0,132,8,20,-12,-5,14881
2040,Deflect,0,152,8,20,-12,-5,2043,Coop,0,120,8,20,-12,-5,14882
2043,Coop,0,128,8,20,-12,-5,2040,Coop,0,160,8,20,-12,-5,14883
2040,Coop,0,168,8,20,-12,-5,2043,Coop,0,136,8,20,-12,-5,14884
2043,Coop,0,144,8,20,-12,-5,2040,Coop,0,176,8,20,-12,-5,14885
2040,Coop,0,184,8,20,-12,-5,2043,Coop,0,152,8,20,-12,-5,14886
2043,Coop,0,140,8,20,-12,-5,2040,Deflect,0,204,8,20,-12,-5,14887
2040,Coop,0,212,8,20,-12,-5,2043,Coop,0,148,8,20,-12,-5,14888
2043,Coop,0,156,8,20,-12,-5,2040,Coop,0,220,8,20,-12,-5,14889
2040,Coop,0,228,8,20,-12,-5,2043,Coop,0,164,8,20,-12,-5,14890
2043,Coop,0,172,8,20,-12,-5,2040,Coop,0,236,8,20,-12,-5,14891
2040,Deflect,0,256,8,20,-12,-5,2043,Coop,0,160,8,20,-12,-5,14892
2043,Coop,0,168,8,20,-12,-5,2040,Coop,0,264,8,20,-12,-5,14893
2040,Coop,0,272,8,20,-12,-5,2043,Coop,0,176,8,20,-12,-5,14894
2043,Coop,0,184,8,20,-12,-5,2040,Coop,0,280,8,20,-12,-5,14895
2040,Coop,0,288,8,20,-12,-5,2043,Coop,0,192,8,20,-12,-5,14896
2043,Coop,0,180,8,20,-12,-5,2040,Deflect,0,308,8,20,-12,-5,14897
2040,Coop,0,316,8,20,-12,-5,2043,Coop,0,188,8,20,-12,-5,14898
2043,Coop,0,196,8,20,-12,-5,2040,Coop,0,324,8,20,-12,-5,14899
2040,Coop,0,332,8,20,-12,-5,2043,Coop,0,204,8,20,-12,-5,14900
2043,Coop,0,212,8,20,-12,-5,2040,Coop,0,340,8,20,-12,-5,14901
2040,Deflect,0,360,8,20,-12,-5,2043,Coop,0,200,8,20,-12,-5,14902
2043,Coop,0,208,8,20,-12,-5,2040,Coop,0,368,8,20,-12,-5,14903
2040,Coop,0,376,8,20,-12,-5,2043,Coop,0,216,8,20,-12,-5,14904
2043,Coop,0,224,8,20,-12,-5,2040,Coop,0,384,8,20,-12,-5,14905
2040,Coop,0,392,8,20,-12,-5,2043,Coop,0,232,8,20,-12,-5,14906
2043,Coop,0,220,8,20,-12,-5,2040,Deflect,0,412,8,20,-12,-5,14907
2040,Coop,0,420,8,20,-12,-5,2043,Coop,0,228,8,20,-12,-5,14908
2043,Coop,0,236,8,20,-12,-5,2040,Coop,0,428,8,20,-12,-5,14909
2040,Coop,0,436,8,20,-12,-5,2043,Coop,0,244,8,20,-12,-5,14910
2043,Coop,0,252,8,20,-12,-5,2040,Coop,0,444,8,20,-12,-5,14911
2040,Deflect,0,464,8,20,-12,-5,2043,Coop,0,240,8,20,-12,-5,14912
2043,Coop,0,248,8,20,-12,-5,2040,Coop,0,472,8,20,-12,-5,14913
2040,Coop,0,480,8,20,-12,-5,2043,Coop,0,256,8,20,-12,-5,14914
2043,Coop,0,264,8,20,-12,-5,2040,Coop,0,488,8,20,-12,-5,14915
2040,Coop,0,496,8,20,-12,-5,2043,Coop,0,272,8,20,-12,-5,14916
2043,Coop,0,260,8,20,-12,-5,2040,Deflect,0,516,8,20,-12,-5,14917
2040,Coop,0,524,8,20,-12,-5,2043,Coop,0,268,8,20,-12,-5,14918
2043,Coop,0,276,8,20,-12,-5,2040,Coop,0,532,8,20,-12,-5,14919
2040,Coop,0,540,8,20,-12,-5,2043,Coop,0,284,8,20,-12,-5,14920
2043,Coop,0,292,8,20,-12,-5,2040,Coop,0,548,8,20,-12,-5,14921
2040,Deflect,0,568,8,20,-12,-5,2043,Coop,0,280,8,20,-12,-5,14922
2043,Coop,0,288,8,20,-12,-5,2040,Coop,0,576,8,20,-12,-5,14923
2040,Coop,0,584,8,20,-12,-5,2043,Coop,0,296,8,20,-12,-5,14924
2043,Coop,0,304,8,20,-12,-5,2040,Coop,0,592,8,20,-12,-5,14925
2040,Coop,0,600,8,20,-12,-5,2043,Coop,0,312,8,20,-12,-5,14926
2043,Coop,0,300,8,20,-12,-5,2040,Deflect,0,620,8,20,-12,-5,14927
2040,Coop,0,628,8,20,-12,-5,2043,Coop,0,308,8,20,-12,-5,14928
2043,Coop,0,316,8,20,-12,-5,2040,Coop,0,636,8,20,-12,-5,14929
2040,Coop,0,644,8,20,-12,-5,2043,Coop,0,324,8,20,-12,-5,14930
2043,Coop,0,332,8,20,-12,-5,2040,Coop,0,652,8,20,-12,-5,14931
2040,Deflect,0,672,8,20,-12,-5,2043,Coop,0,320,8,20,-12,-5,14932
2043,Coop,0,328,8,20,-12,-5,2040,Coop,0,680,8,20,-12,-5,14933
2040,Coop,0,688,8,20,-12,-5,2043,Coop,0,336,8,20,-12,-5,14934
2043,Coop,0,344,8,20,-12,-5,2040,Coop,0,696,8,20,-12,-5,14935
2040,Buy,0,704,8,20,-12,-5,2040,Buy,0,204,9,21,-11,-4,14936
2040,Coop,0,704,8,20,-12,-5,2043,Coop,0,352,8,20,-12,-5,14937
2043,Coop,0,340,8,20,-12,-5,2040,Deflect,0,225,9,21,-11,-4,14938
2040,Coop,0,234,9,21,-11,-4,2043,Coop,0,348,8,20,-12,-5,14939
2043,Coop,0,356,8,20,-12,-5,2040,Coop,0,243,9,21,-11,-4,14940
2040,Coop,0,252,9,21,-11,-4,2043,Coop,0,364,8,20,-12,-5,14941
2043,Coop,0,372,8,20,-12,-5,2040,Coop,0,261,9,21,-11,-4,14942
2040,Deflect,0,282,9,21,-11,-4,2043,Coop,0,360,8,20,-12,-5,14943
2043,Coop,0,368,8,20,-12,-5,2040,Coop,0,291,9,21,-11,-4,14944
2040,Coop,0,300,9,21,-11,-4,2043,Coop,0,376,8,20,-12,-5,14945
