user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2040,Coop,0,108,8,20,-12,-5,2047,Coop,0,108,8,20,-12,-5,13838
2047,Coop,0,116,8,20,-12,-5,2040,Coop,0,116,8,20,-12,-5,13839
2040,Coop,0,124,8,20,-12,-5,2047,Coop,0,124,8,20,-12,-5,13840
2047,Coop,0,132,8,20,-12,-5,2040,Coop,0,132,8,20,-12,-5,13841
2040,Deflect,0,152,8,20,-12,-5,2047,Coop,0,120,8,20,-12,-5,13842
2047,Deflect,0,140,8,20,-12,-5,2040,Coop,0,140,8,20,-12,-5,13843
2040,Deflect,0,135,8,20,-12,-5,2047,Deflect,0,135,8,20,-12,-5,13844
2047,Deflect,0,130,8,20,-12,-5,2040,Deflect,0,130,8,20,-12,-5,13845
2040,Deflect,0,125,8,20,-12,-5,2047,Deflect,0,125,8,20,-12,-5,13846
2047,Deflect,0,120,8,20,-12,-5,2040,Deflect,0,120,8,20,-12,-5,13847
2040,Deflect,0,115,8,20,-12,-5,2047,Deflect,0,115,8,20,-12,-5,13848
2047,Deflect,0,110,8,20,-12,-5,2040,Deflect,0,110,8,20,-12,-5,13849
2040,Deflect,0,105,8,20,-12,-5,2047,Deflect,0,105,8,20,-12,-5,13850
2047,Deflect,0,100,8,20,-12,-5,2040,Deflect,0,100,8,20,-12,-5,13851
2040,Deflect,0,95,8,20,-12,-5,2047,Deflect,0,95,8,20,-12,-5,13852
2047,Deflect,0,90,8,20,-12,-5,2040,Deflect,0,90,8,20,-12,-5,13853
2040,Deflect,0,85,8,20,-12,-5,2047,Deflect,0,85,8,20,-12,-5,13854
2047,Deflect,0,80,8,20,-12,-5,2040,Deflect,0,80,8,20,-12,-5,13855
2040,Deflect,0,75,8,20,-12,-5,2047,Deflect,0,75,8,20,-12,-5,13856
2047,Deflect,0,70,8,20,-12,-5,2040,Deflect,0,70,8,20,-12,-5,13857
2040,Deflect,0,65,8,20,-12,-5,2047,Deflect,0,65,8,20,-12,-5,13858
2047,Deflect,0,60,8,20,-12,-5,2040,Deflect,0,60,8,20,-12,-5,13859
2040,Deflect,0,55,8,20,-12,-5,2047,Deflect,0,55,8,20,-12,-5,13860
2047,Deflect,0,50,8,20,-12,-5,2040,Deflect,0,50,8,20,-12,-5,13861
2040,Deflect,0,45,8,20,-12,-5,2047,Deflect,0,45,8,20,-12,-5,13862
2047,Deflect,0,40,8,20,-12,-5,2040,Deflect,0,40,8,20,-12,-5,13863
2040,Deflect,0,35,8,20,-12,-5,2047,Deflect,0,35,8,20,-12,-5,13864
2047,Deflect,0,30,8,20,-12,-5,2040,Deflect,0,30,8,20,-12,-5,13865
2040,Deflect,0,25,8,20,-12,-5,2047,Deflect,0,25,8,20,-12,-5,13866
2047,Deflect,0,20,8,20,-12,-5,2040,Deflect,0,20,8,20,-12,-5,13867
2040,Deflect,0,15,8,20,-12,-5,2047,Deflect,0,15,8,20,-12,-5,13868
2047,Deflect,0,10,8,20,-12,-5,2040,Deflect,0,10,8,20,-12,-5,13869
2040,Deflect,0,5,8,20,-12,-5,2047,Deflect,0,5,8,20,-12,-5,13870
2047,Deflect,0,0,8,20,-12,-5,2040,Deflect,0,0,8,20,-12,-5,13871
