user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2040,Coop,0,88,8,20,-12,-5,2041,Deflect,0,120,8,20,-12,-5,13872
2041,Coop,0,108,8,20,-12,-5,2040,Deflect,0,108,8,20,-12,-5,13873
2040,Coop,0,116,8,20,-12,-5,2041,Coop,0,116,8,20,-12,-5,13874
2041,Deflect,0,136,8,20,-12,-5,2040,Coop,0,104,8,20,-12,-5,13875
2040,Deflect,0,124,8,20,-12,-5,2041,Coop,0,124,8,20,-12,-5,13876
2041,Coop,0,132,8,20,-12,-5,2040,Coop,0,132,8,20,-12,-5,13877
2040,Coop,0,120,8,20,-12,-5,2041,Deflect,0,152,8,20,-12,-5,13878
2041,Deflect,0,147,8,20,-12,-5,2040,Deflect,0,115,8,20,-12,-5,13879
2040,Deflect,0,110,8,20,-12,-5,2041,Deflect,0,142,8,20,-12,-5,13880
2041,Coop,0,130,8,20,-12,-5,2040,Deflect,0,130,8,20,-12,-5,13881
2040,Coop,0,138,8,20,-12,-5,2041,Coop,0,138,8,20,-12,-5,13882
2041,Coop,0,146,8,20,-12,-5,2040,Coop,0,146,8,20,-12,-5,13883
2040,Coop,0,154,8,20,-12,-5,2041,Coop,0,154,8,20,-12,-5,13884
2041,Deflect,0,174,8,20,-12,-5,2040,Coop,0,142,8,20,-12,-5,13885
2040,Deflect,0,162,8,20,-12,-5,2041,Coop,0,162,8,20,-12,-5,13886
2041,Deflect,0,182,8,20,-12,-5,2040,Coop,0,150,8,20,-12,-5,13887
2040,Deflect,0,170,8,20,-12,-5,2041,Coop,0,170,8,20,-12,-5,13888
2041,Coop,0,178,8,20,-12,-5,2040,Coop,0,178,8,20,-12,-5,13889
2040,Coop,0,166,8,20,-12,-5,2041,Deflect,0,198,8,20,-12,-5,13890
2041,Deflect,0,193,8,20,-12,-5,2040,Deflect,0,161,8,20,-12,-5,13891
2040,Deflect,0,156,8,20,-12,-5,2041,Deflect,0,188,8,20,-12,-5,13892
2041,Deflect,0,183,8,20,-12,-5,2040,Deflect,0,151,8,20,-12,-5,13893
2040,Deflect,0,146,8,20,-12,-5,2041,Deflect,0,178,8,20,-12,-5,13894
2041,Deflect,0,173,8,20,-12,-5,2040,Deflect,0,141,8,20,-12,-5,13895
