user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2040,Coop,0,108,8,20,-12,-5,2045,Coop,0,108,8,20,-12,-5,15942
2045,Coop,0,116,8,20,-12,-5,2040,Coop,0,116,8,20,-12,-5,15943
2040,Coop,0,124,8,20,-12,-5,2045,Coop,0,124,8,20,-12,-5,15944
2045,Coop,0,132,8,20,-12,-5,2040,Coop,0,132,8,20,-12,-5,15945
2040,Deflect,0,152,8,20,-12,-5,2045,Coop,0,120,8,20,-12,-5,15946
2045,Coop,0,128,8,20,-12,-5,2040,Coop,0,160,8,20,-12,-5,15947
2040,Coop,0,168,8,20,-12,-5,2045,Coop,0,136,8,20,-12,-5,15948
2045,Coop,0,144,8,20,-12,-5,2040,Coop,0,176,8,20,-12,-5,15949
2040,Coop,0,184,8,20,-12,-5,2045,Coop,0,152,8,20,-12,-5,15950
2045,Coop,0,140,8,20,-12,-5,2040,Deflect,0,204,8,20,-12,-5,15951
2040,Coop,0,212,8,20,-12,-5,2045,Coop,0,148,8,20,-12,-5,15952
2045,Coop,0,156,8,20,-12,-5,2040,Coop,0,220,8,20,-12,-5,15953
2040,Coop,0,228,8,20,-12,-5,2045,Coop,0,164,8,20,-12,-5,15954
2045,Coop,0,172,8,20,-12,-5,2040,Coop,0,236,8,20,-12,-5,15955
2040,Deflect,0,256,8,20,-12,-5,2045,Coop,0,160,8,20,-12,-5,15956
2045,Coop,0,168,8,20,-12,-5,2040,Coop,0,264,8,20,-12,-5,15957
2040,Coop,0,272,8,20,-12,-5,2045,Coop,0,176,8,20,-12,-5,15958
2045,Coop,0,184,8,20,-12,-5,2040,Coop,0,280,8,20,-12,-5,15959
2040,Coop,0,288,8,20,-12,-5,2045,Coop,0,192,8,20,-12,-5,15960
2045,Coop,0,180,8,20,-12,-5,2040,Deflect,0,308,8,20,-12,-5,15961
2040,Coop,0,316,8,20,-12,-5,2045,Coop,0,188,8,20,-12,-5,15962
2045,Coop,0,196,8,20,-12,-5,2040,Coop,0,324,8,20,-12,-5,15963
2040,Coop,0,332,8,20,-12,-5,2045,Coop,0,204,8,20,-12,-5,15964
2045,Coop,0,212,8,20,-12,-5,2040,Coop,0,340,8,20,-12,-5,15965
2040,Deflect,0,360,8,20,-12,-5,2045,Coop,0,200,8,20,-12,-5,15966
2045,Coop,0,208,8,20,-12,-5,2040,Coop,0,368,8,20,-12,-5,15967
2040,Coop,0,376,8,20,-12,-5,2045,Coop,0,216,8,20,-12,-5,15968
2045,Coop,0,224,8,20,-12,-5,2040,Coop,0,384,8,20,-12,-5,15969
2040,Coop,0,392,8,20,-12,-5,2045,Coop,0,232,8,20,-12,-5,15970
2045,Coop,0,220,8,20,-12,-5,2040,Deflect,0,412,8,20,-12,-5,15971
2040,Coop,0,420,8,20,-12,-5,2045,Coop,0,228,8,20,-12,-5,15972
2045,Coop,0,236,8,20,-12,-5,2040,Coop,0,428,8,20,-12,-5,15973
2040,Coop,0,436,8,20,-12,-5,2045,Coop,0,244,8,20,-12,-5,15974
2045,Coop,0,252,8,20,-12,-5,2040,Coop,0,444,8,20,-12,-5,15975
2040,Deflect,0,464,8,20,-12,-5,2045,Coop,0,240,8,20,-12,-5,15976
2045,Coop,0,248,8,20,-12,-5,2040,Coop,0,472,8,20,-12,-5,15977
2040,Coop,0,480,8,20,-12,-5,2045,Coop,0,256,8,20,-12,-5,15978
2045,Coop,0,264,8,20,-12,-5,2040,Coop,0,488,8,20,-12,-5,15979
2040,Coop,0,496,8,20,-12,-5,2045,Coop,0,272,8,20,-12,-5,15980
2045,Coop,0,260,8,20,-12,-5,2040,Deflect,0,516,8,20,-12,-5,15981
2040,Coop,0,524,8,20,-12,-5,2045,Coop,0,268,8,20,-12,-5,15982
2045,Coop,0,276,8,20,-12,-5,2040,Coop,0,532,8,20,-12,-5,15983
