user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2040,Coop,0,88,8,20,-12,-5,2048,Deflect,0,120,8,20,-12,-5,17040
2048,Coop,0,108,8,20,-12,-5,2040,Deflect,0,108,8,20,-12,-5,17041
2040,Coop,0,96,8,20,-12,-5,2048,Deflect,0,128,8,20,-12,-5,17042
2048,Coop,0,116,8,20,-12,-5,2040,Deflect,0,116,8,20,-12,-5,17043
2040,Deflect,0,111,8,20,-12,-5,2048,Deflect,0,111,8,20,-12,-5,17044
2048,Deflect,0,106,8,20,-12,-5,2040,Deflect,0,106,8,20,-12,-5,17045
2040,Deflect,0,101,8,20,-12,-5,2048,Deflect,0,101,8,20,-12,-5,17046
2048,Deflect,0,96,8,20,-12,-5,2040,Deflect,0,96,8,20,-12,-5,17047
2040,Deflect,0,91,8,20,-12,-5,2048,Deflect,0,91,8,20,-12,-5,17048
2048,Deflect,0,86,8,20,-12,-5,2040,Deflect,0,86,8,20,-12,-5,17049
2040,Deflect,0,81,8,20,-12,-5,2048,Deflect,0,81,8,20,-12,-5,17050
2048,Deflect,0,76,8,20,-12,-5,2040,Deflect,0,76,8,20,-12,-5,17051
2040,Deflect,0,71,8,20,-12,-5,2048,Deflect,0,71,8,20,-12,-5,17052
2048,Deflect,0,66,8,20,-12,-5,2040,Deflect,0,66,8,20,-12,-5,17053
2040,Deflect,0,61,8,20,-12,-5,2048,Deflect,0,61,8,20,-12,-5,17054
2048,Deflect,0,56,8,20,-12,-5,2040,Deflect,0,56,8,20,-12,-5,17055
2040,Deflect,0,51,8,20,-12,-5,2048,Deflect,0,51,8,20,-12,-5,17056
2048,Deflect,0,46,8,20,-12,-5,2040,Deflect,0,46,8,20,-12,-5,17057
2040,Deflect,0,41,8,20,-12,-5,2048,Deflect,0,41,8,20,-12,-5,17058
2048,Deflect,0,36,8,20,-12,-5,2040,Deflect,0,36,8,20,-12,-5,17059
2040,Deflect,0,31,8,20,-12,-5,2048,Deflect,0,31,8,20,-12,-5,17060
2048,Deflect,0,26,8,20,-12,-5,2040,Deflect,0,26,8,20,-12,-5,17061
2040,Deflect,0,21,8,20,-12,-5,2048,Deflect,0,21,8,20,-12,-5,17062
2048,Deflect,0,16,8,20,-12,-5,2040,Deflect,0,16,8,20,-12,-5,17063
2040,Deflect,0,11,8,20,-12,-5,2048,Deflect,0,11,8,20,-12,-5,17064
2048,Deflect,0,6,8,20,-12,-5,2040,Deflect,0,6,8,20,-12,-5,17065
2040,Deflect,0,1,8,20,-12,-5,2048,Deflect,0,1,8,20,-12,-5,17066
2048,Deflect,0,-4,8,20,-12,-5,2040,Deflect,0,-4,8,20,-12,-5,17067
