user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2039,Coop,0,108,8,20,-12,-5,2047,Coop,0,108,8,20,-12,-5,12679
2047,Coop,0,116,8,20,-12,-5,2039,Coop,0,116,8,20,-12,-5,12680
2039,Coop,0,124,8,20,-12,-5,2047,Coop,0,124,8,20,-12,-5,12681
2047,Coop,0,132,8,20,-12,-5,2039,Coop,0,132,8,20,-12,-5,12682
2039,Coop,0,140,8,20,-12,-5,2047,Coop,0,140,8,20,-12,-5,12683
2047,Coop,0,148,8,20,-12,-5,2039,Coop,0,148,8,20,-12,-5,12684
2039,Coop,0,156,8,20,-12,-5,2047,Coop,0,156,8,20,-12,-5,12685
2047,Coop,0,164,8,20,-12,-5,2039,Coop,0,164,8,20,-12,-5,12686
2039,Coop,0,172,8,20,-12,-5,2047,Coop,0,172,8,20,-12,-5,12687
2047,Coop,0,180,8,20,-12,-5,2039,Coop,0,180,8,20,-12,-5,12688
2039,Coop,0,188,8,20,-12,-5,2047,Coop,0,188,8,20,-12,-5,12689
2047,Coop,0,196,8,20,-12,-5,2039,Coop,0,196,8,20,-12,-5,12690
2039,Coop,0,204,8,20,-12,-5,2047,Coop,0,204,8,20,-12,-5,12691
2047,Coop,0,212,8,20,-12,-5,2039,Coop,0,212,8,20,-12,-5,12692
2039,Coop,0,220,8,20,-12,-5,2047,Coop,0,220,8,20,-12,-5,12693
2047,Coop,0,228,8,20,-12,-5,2039,Coop,0,228,8,20,-12,-5,12694
2039,Coop,0,236,8,20,-12,-5,2047,Coop,0,236,8,20,-12,-5,12695
2047,Coop,0,244,8,20,-12,-5,2039,Coop,0,244,8,20,-12,-5,12696
2039,Coop,0,252,8,20,-12,-5,2047,Coop,0,252,8,20,-12,-5,12697
2047,Coop,0,260,8,20,-12,-5,2039,Coop,0,260,8,20,-12,-5,12698
2039,Coop,0,268,8,20,-12,-5,2047,Coop,0,268,8,20,-12,-5,12699
2047,Coop,0,276,8,20,-12,-5,2039,Coop,0,276,8,20,-12,-5,12700
2039,Coop,0,284,8,20,-12,-5,2047,Coop,0,284,8,20,-12,-5,12701
2047,Coop,0,292,8,20,-12,-5,2039,Coop,0,292,8,20,-12,-5,12702
2039,Coop,0,300,8,20,-12,-5,2047,Coop,0,300,8,20,-12,-5,12703
2047,Coop,0,308,8,20,-12,-5,2039,Coop,0,308,8,20,-12,-5,12704
2039,Coop,0,316,8,20,-12,-5,2047,Coop,0,316,8,20,-12,-5,12705
2047,Coop,0,324,8,20,-12,-5,2039,Coop,0,324,8,20,-12,-5,12706
2039,Coop,0,332,8,20,-12,-5,2047,Coop,0,332,8,20,-12,-5,12707
2047,Coop,0,340,8,20,-12,-5,2039,Coop,0,340,8,20,-12,-5,12708
2039,Coop,0,348,8,20,-12,-5,2047,Coop,0,348,8,20,-12,-5,12709
2047,Coop,0,356,8,20,-12,-5,2039,Coop,0,356,8,20,-12,-5,12710
2039,Coop,0,364,8,20,-12,-5,2047,Coop,0,364,8,20,-12,-5,12711
2047,Coop,0,372,8,20,-12,-5,2039,Coop,0,372,8,20,-12,-5,12712
2039,Coop,0,380,8,20,-12,-5,2047,Coop,0,380,8,20,-12,-5,12713
2047,Coop,0,388,8,20,-12,-5,2039,Coop,0,388,8,20,-12,-5,12714
2039,Coop,0,396,8,20,-12,-5,2047,Coop,0,396,8,20,-12,-5,12715
2047,Coop,0,404,8,20,-12,-5,2039,Coop,0,404,8,20,-12,-5,12716
2039,Coop,0,412,8,20,-12,-5,2047,Coop,0,412,8,20,-12,-5,12717
2047,Coop,0,420,8,20,-12,-5,2039,Coop,0,420,8,20,-12,-5,12718
2039,Coop,0,428,8,20,-12,-5,2047,Coop,0,428,8,20,-12,-5,12719
2047,Coop,0,436,8,20,-12,-5,2039,Coop,0,436,8,20,-12,-5,12720
2039,Coop,0,444,8,20,-12,-5,2047,Coop,0,444,8,20,-12,-5,12721
2047,Coop,0,452,8,20,-12,-5,2039,Coop,0,452,8,20,-12,-5,12722
2039,Coop,0,460,8,20,-12,-5,2047,Coop,0,460,8,20,-12,-5,12723
2047,Coop,0,468,8,20,-12,-5,2039,Coop,0,468,8,20,-12,-5,12724
2039,Coop,0,476,8,20,-12,-5,2047,Coop,0,476,8,20,-12,-5,12725
2047,Coop,0,484,8,20,-12,-5,2039,Coop,0,484,8,20,-12,-5,12726
2039,Coop,0,492,8,20,-12,-5,2047,Coop,0,492,8,20,-12,-5,12727
2047,Coop,0,500,8,20,-12,-5,2039,Coop,0,500,8,20,-12,-5,12728
2039,Coop,0,508,8,20,-12,-5,2047,Coop,0,508,8,20,-12,-5,12729
2047,Coop,0,516,8,20,-12,-5,2039,Coop,0,516,8,20,-12,-5,12730
2039,Coop,0,524,8,20,-12,-5,2047,Coop,0,524,8,20,-12,-5,12731
2047,Coop,0,532,8,20,-12,-5,2039,Coop,0,532,8,20,-12,-5,12732
2039,Coop,0,540,8,20,-12,-5,2047,Coop,0,540,8,20,-12,-5,12733
2047,Coop,0,548,8,20,-12,-5,2039,Coop,0,548,8,20,-12,-5,12734
2039,Coop,0,556,8,20,-12,-5,2047,Coop,0,556,8,20,-12,-5,12735
2047,Coop,0,564,8,20,-12,-5,2039,Coop,0,564,8,20,-12,-5,12736
2039,Coop,0,572,8,20,-12,-5,2047,Coop,0,572,8,20,-12,-5,12737
2047,Coop,0,580,8,20,-12,-5,2039,Coop,0,580,8,20,-12,-5,12738
