user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2039,Coop,0,88,8,20,-12,-5,2046,Deflect,0,120,8,20,-12,-5,7387
2046,Coop,0,108,8,20,-12,-5,2039,Deflect,0,108,8,20,-12,-5,7388
2039,Coop,0,116,8,20,-12,-5,2046,Coop,0,116,8,20,-12,-5,7389
2046,Coop,0,124,8,20,-12,-5,2039,Coop,0,124,8,20,-12,-5,7390
2039,Coop,0,132,8,20,-12,-5,2046,Coop,0,132,8,20,-12,-5,7391
2046,Coop,0,140,8,20,-12,-5,2039,Coop,0,140,8,20,-12,-5,7392
2039,Coop,0,148,8,20,-12,-5,2046,Coop,0,148,8,20,-12,-5,7393
2046,Coop,0,156,8,20,-12,-5,2039,Coop,0,156,8,20,-12,-5,7394
2039,Coop,0,164,8,20,-12,-5,2046,Coop,0,164,8,20,-12,-5,7395
2046,Coop,0,172,8,20,-12,-5,2039,Coop,0,172,8,20,-12,-5,7396
2039,Coop,0,180,8,20,-12,-5,2046,Coop,0,180,8,20,-12,-5,7397
2046,Coop,0,188,8,20,-12,-5,2039,Coop,0,188,8,20,-12,-5,7398
2039,Coop,0,196,8,20,-12,-5,2046,Coop,0,196,8,20,-12,-5,7399
2046,Coop,0,204,8,20,-12,-5,2039,Coop,0,204,8,20,-12,-5,7400
2039,Coop,0,212,8,20,-12,-5,2046,Coop,0,212,8,20,-12,-5,7401
2046,Coop,0,220,8,20,-12,-5,2039,Coop,0,220,8,20,-12,-5,7402
2039,Coop,0,228,8,20,-12,-5,2046,Coop,0,228,8,20,-12,-5,7403
2046,Coop,0,236,8,20,-12,-5,2039,Coop,0,236,8,20,-12,-5,7404
2039,Coop,0,244,8,20,-12,-5,2046,Coop,0,244,8,20,-12,-5,7405
2046,Coop,0,252,8,20,-12,-5,2039,Coop,0,252,8,20,-12,-5,7406
2039,Coop,0,260,8,20,-12,-5,2046,Coop,0,260,8,20,-12,-5,7407
2046,Coop,0,268,8,20,-12,-5,2039,Coop,0,268,8,20,-12,-5,7408
2039,Coop,0,276,8,20,-12,-5,2046,Coop,0,276,8,20,-12,-5,7409
2046,Coop,0,284,8,20,-12,-5,2039,Coop,0,284,8,20,-12,-5,7410
2039,Coop,0,292,8,20,-12,-5,2046,Coop,0,292,8,20,-12,-5,7411
2046,Coop,0,300,8,20,-12,-5,2039,Coop,0,300,8,20,-12,-5,7412
2039,Coop,0,308,8,20,-12,-5,2046,Coop,0,308,8,20,-12,-5,7413
2046,Coop,0,316,8,20,-12,-5,2039,Coop,0,316,8,20,-12,-5,7414
2039,Coop,0,324,8,20,-12,-5,2046,Coop,0,324,8,20,-12,-5,7415
2046,Coop,0,332,8,20,-12,-5,2039,Coop,0,332,8,20,-12,-5,7416
2039,Coop,0,340,8,20,-12,-5,2046,Coop,0,340,8,20,-12,-5,7417
2046,Coop,0,348,8,20,-12,-5,2039,Coop,0,348,8,20,-12,-5,7418
2039,Coop,0,356,8,20,-12,-5,2046,Coop,0,356,8,20,-12,-5,7419
2046,Coop,0,364,8,20,-12,-5,2039,Coop,0,364,8,20,-12,-5,7420
2039,Coop,0,372,8,20,-12,-5,2046,Coop,0,372,8,20,-12,-5,7421
2046,Coop,0,380,8,20,-12,-5,2039,Coop,0,380,8,20,-12,-5,7422
2039,Coop,0,388,8,20,-12,-5,2046,Coop,0,388,8,20,-12,-5,7423
2046,Coop,0,396,8,20,-12,-5,2039,Coop,0,396,8,20,-12,-5,7424
