user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2039,Coop,0,108,8,20,-12,-5,2045,Coop,0,108,8,20,-12,-5,11647
2045,Coop,0,116,8,20,-12,-5,2039,Coop,0,116,8,20,-12,-5,11648
2039,Coop,0,124,8,20,-12,-5,2045,Coop,0,124,8,20,-12,-5,11649
2045,Coop,0,132,8,20,-12,-5,2039,Coop,0,132,8,20,-12,-5,11650
2039,Coop,0,140,8,20,-12,-5,2045,Coop,0,140,8,20,-12,-5,11651
2045,Coop,0,148,8,20,-12,-5,2039,Coop,0,148,8,20,-12,-5,11652
2039,Coop,0,156,8,20,-12,-5,2045,Coop,0,156,8,20,-12,-5,11653
2045,Coop,0,164,8,20,-12,-5,2039,Coop,0,164,8,20,-12,-5,11654
2039,Coop,0,172,8,20,-12,-5,2045,Coop,0,172,8,20,-12,-5,11655
2045,Coop,0,180,8,20,-12,-5,2039,Coop,0,180,8,20,-12,-5,11656
2039,Coop,0,188,8,20,-12,-5,2045,Coop,0,188,8,20,-12,-5,11657
2045,Coop,0,196,8,20,-12,-5,2039,Coop,0,196,8,20,-12,-5,11658
2039,Coop,0,204,8,20,-12,-5,2045,Coop,0,204,8,20,-12,-5,11659
2045,Coop,0,212,8,20,-12,-5,2039,Coop,0,212,8,20,-12,-5,11660
2039,Coop,0,220,8,20,-12,-5,2045,Coop,0,220,8,20,-12,-5,11661
2045,Coop,0,228,8,20,-12,-5,2039,Coop,0,228,8,20,-12,-5,11662
2039,Coop,0,236,8,20,-12,-5,2045,Coop,0,236,8,20,-12,-5,11663
2045,Coop,0,244,8,20,-12,-5,2039,Coop,0,244,8,20,-12,-5,11664
2039,Coop,0,252,8,20,-12,-5,2045,Coop,0,252,8,20,-12,-5,11665
2045,Coop,0,260,8,20,-12,-5,2039,Coop,0,260,8,20,-12,-5,11666
2039,Coop,0,268,8,20,-12,-5,2045,Coop,0,268,8,20,-12,-5,11667
2045,Coop,0,276,8,20,-12,-5,2039,Coop,0,276,8,20,-12,-5,11668
2039,Coop,0,284,8,20,-12,-5,2045,Coop,0,284,8,20,-12,-5,11669
2045,Coop,0,292,8,20,-12,-5,2039,Coop,0,292,8,20,-12,-5,11670
2039,Coop,0,300,8,20,-12,-5,2045,Coop,0,300,8,20,-12,-5,11671
2045,Coop,0,308,8,20,-12,-5,2039,Coop,0,308,8,20,-12,-5,11672
2039,Coop,0,316,8,20,-12,-5,2045,Coop,0,316,8,20,-12,-5,11673
2045,Coop,0,324,8,20,-12,-5,2039,Coop,0,324,8,20,-12,-5,11674
2039,Coop,0,332,8,20,-12,-5,2045,Coop,0,332,8,20,-12,-5,11675
2045,Coop,0,340,8,20,-12,-5,2039,Coop,0,340,8,20,-12,-5,11676
2039,Coop,0,348,8,20,-12,-5,2045,Coop,0,348,8,20,-12,-5,11677
2045,Coop,0,356,8,20,-12,-5,2039,Coop,0,356,8,20,-12,-5,11678
2039,Coop,0,364,8,20,-12,-5,2045,Coop,0,364,8,20,-12,-5,11679
2045,Coop,0,372,8,20,-12,-5,2039,Coop,0,372,8,20,-12,-5,11680
2039,Coop,0,380,8,20,-12,-5,2045,Coop,0,380,8,20,-12,-5,11681
2045,Coop,0,388,8,20,-12,-5,2039,Coop,0,388,8,20,-12,-5,11682
2039,Coop,0,396,8,20,-12,-5,2045,Coop,0,396,8,20,-12,-5,11683
2045,Coop,0,404,8,20,-12,-5,2039,Coop,0,404,8,20,-12,-5,11684
2039,Coop,0,412,8,20,-12,-5,2045,Coop,0,412,8,20,-12,-5,11685
2045,Coop,0,420,8,20,-12,-5,2039,Coop,0,420,8,20,-12,-5,11686
2039,Coop,0,428,8,20,-12,-5,2045,Coop,0,428,8,20,-12,-5,11687
2045,Coop,0,436,8,20,-12,-5,2039,Coop,0,436,8,20,-12,-5,11688
2039,Coop,0,444,8,20,-12,-5,2045,Coop,0,444,8,20,-12,-5,11689
2045,Coop,0,452,8,20,-12,-5,2039,Coop,0,452,8,20,-12,-5,11690
2039,Coop,0,460,8,20,-12,-5,2045,Coop,0,460,8,20,-12,-5,11691
2045,Coop,0,468,8,20,-12,-5,2039,Coop,0,468,8,20,-12,-5,11692
2039,Coop,0,476,8,20,-12,-5,2045,Coop,0,476,8,20,-12,-5,11693
2045,Coop,0,484,8,20,-12,-5,2039,Coop,0,484,8,20,-12,-5,11694
2039,Coop,0,492,8,20,-12,-5,2045,Coop,0,492,8,20,-12,-5,11695
2045,Coop,0,500,8,20,-12,-5,2039,Coop,0,500,8,20,-12,-5,11696
2039,Coop,0,508,8,20,-12,-5,2045,Coop,0,508,8,20,-12,-5,11697
2045,Coop,0,516,8,20,-12,-5,2039,Coop,0,516,8,20,-12,-5,11698
2039,Coop,0,524,8,20,-12,-5,2045,Coop,0,524,8,20,-12,-5,11699
2045,Coop,0,532,8,20,-12,-5,2039,Coop,0,532,8,20,-12,-5,11700
2039,Coop,0,540,8,20,-12,-5,2045,Coop,0,540,8,20,-12,-5,11701
2045,Coop,0,548,8,20,-12,-5,2039,Coop,0,548,8,20,-12,-5,11702
2039,Coop,0,556,8,20,-12,-5,2045,Coop,0,556,8,20,-12,-5,11703
2045,Coop,0,564,8,20,-12,-5,2039,Coop,0,564,8,20,-12,-5,11704
2039,Coop,0,572,8,20,-12,-5,2045,Coop,0,572,8,20,-12,-5,11705
2045,Coop,0,580,8,20,-12,-5,2039,Coop,0,580,8,20,-12,-5,11706
2039,Coop,0,588,8,20,-12,-5,2045,Coop,0,588,8,20,-12,-5,11707
2045,Coop,0,596,8,20,-12,-5,2039,Coop,0,596,8,20,-12,-5,11708
2039,Coop,0,604,8,20,-12,-5,2045,Coop,0,604,8,20,-12,-5,11709
2045,Coop,0,612,8,20,-12,-5,2039,Coop,0,612,8,20,-12,-5,11710
