user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2039,Coop,0,88,8,20,-12,-5,2048,Deflect,0,120,8,20,-12,-5,10636
2048,Coop,0,108,8,20,-12,-5,2039,Deflect,0,108,8,20,-12,-5,10637
2039,Coop,0,96,8,20,-12,-5,2048,Deflect,0,128,8,20,-12,-5,10638
2048,Coop,0,116,8,20,-12,-5,2039,Deflect,0,116,8,20,-12,-5,10639
2039,Coop,0,104,8,20,-12,-5,2048,Deflect,0,136,8,20,-12,-5,10640
2048,Coop,0,124,8,20,-12,-5,2039,Deflect,0,124,8,20,-12,-5,10641
2039,Coop,0,112,8,20,-12,-5,2048,Deflect,0,144,8,20,-12,-5,10642
2048,Coop,0,132,8,20,-12,-5,2039,Deflect,0,132,8,20,-12,-5,10643
2039,Coop,0,120,8,20,-12,-5,2048,Deflect,0,152,8,20,-12,-5,10644
2048,Coop,0,140,8,20,-12,-5,2039,Deflect,0,140,8,20,-12,-5,10645
2039,Coop,0,128,8,20,-12,-5,2048,Deflect,0,160,8,20,-12,-5,10646
2048,Coop,0,148,8,20,-12,-5,2039,Deflect,0,148,8,20,-12,-5,10647
2039,Coop,0,136,8,20,-12,-5,2048,Deflect,0,168,8,20,-12,-5,10648
2048,Coop,0,156,8,20,-12,-5,2039,Deflect,0,156,8,20,-12,-5,10649
2039,Coop,0,144,8,20,-12,-5,2048,Deflect,0,176,8,20,-12,-5,10650
2048,Coop,0,164,8,20,-12,-5,2039,Deflect,0,164,8,20,-12,-5,10651
2039,Coop,0,152,8,20,-12,-5,2048,Deflect,0,184,8,20,-12,-5,10652
2048,Coop,0,172,8,20,-12,-5,2039,Deflect,0,172,8,20,-12,-5,10653
2039,Coop,0,160,8,20,-12,-5,2048,Deflect,0,192,8,20,-12,-5,10654
2048,Coop,0,180,8,20,-12,-5,2039,Deflect,0,180,8,20,-12,-5,10655
2039,Coop,0,168,8,20,-12,-5,2048,Deflect,0,200,8,20,-12,-5,10656
2048,Coop,0,188,8,20,-12,-5,2039,Deflect,0,188,8,20,-12,-5,10657
2039,Coop,0,176,8,20,-12,-5,2048,Deflect,0,208,8,20,-12,-5,10658
2048,Coop,0,196,8,20,-12,-5,2039,Deflect,0,196,8,20,-12,-5,10659
2039,Coop,0,184,8,20,-12,-5,2048,Deflect,0,216,8,20,-12,-5,10660
2048,Coop,0,204,8,20,-12,-5,2039,Deflect,0,204,8,20,-12,-5,10661
2039,Coop,0,192,8,20,-12,-5,2048,Deflect,0,224,8,20,-12,-5,10662
2048,Coop,0,212,8,20,-12,-5,2039,Deflect,0,212,8,20,-12,-5,10663
2039,Coop,0,200,8,20,-12,-5,2048,Deflect,0,232,8,20,-12,-5,10664
2048,Coop,0,220,8,20,-12,-5,2039,Deflect,0,220,8,20,-12,-5,10665
2039,Coop,0,208,8,20,-12,-5,2048,Deflect,0,240,8,20,-12,-5,10666
2048,Coop,0,228,8,20,-12,-5,2039,Deflect,0,228,8,20,-12,-5,10667
2039,Coop,0,216,8,20,-12,-5,2048,Deflect,0,248,8,20,-12,-5,10668
2048,Coop,0,236,8,20,-12,-5,2039,Deflect,0,236,8,20,-12,-5,10669
2039,Coop,0,224,8,20,-12,-5,2048,Deflect,0,256,8,20,-12,-5,10670
2048,Coop,0,244,8,20,-12,-5,2039,Deflect,0,244,8,20,-12,-5,10671
2039,Coop,0,232,8,20,-12,-5,2048,Deflect,0,264,8,20,-12,-5,10672
2048,Coop,0,252,8,20,-12,-5,2039,Deflect,0,252,8,20,-12,-5,10673
2039,Coop,0,240,8,20,-12,-5,2048,Deflect,0,272,8,20,-12,-5,10674
2048,Coop,0,260,8,20,-12,-5,2039,Deflect,0,260,8,20,-12,-5,10675
2039,Coop,0,248,8,20,-12,-5,2048,Deflect,0,280,8,20,-12,-5,10676
2048,Coop,0,268,8,20,-12,-5,2039,Deflect,0,268,8,20,-12,-5,10677
2039,Coop,0,256,8,20,-12,-5,2048,Deflect,0,288,8,20,-12,-5,10678
2048,Coop,0,276,8,20,-12,-5,2039,Deflect,0,276,8,20,-12,-5,10679
2039,Coop,0,264,8,20,-12,-5,2048,Deflect,0,296,8,20,-12,-5,10680
2048,Coop,0,284,8,20,-12,-5,2039,Deflect,0,284,8,20,-12,-5,10681
2039,Coop,0,272,8,20,-12,-5,2048,Deflect,0,304,8,20,-12,-5,10682
2048,Coop,0,292,8,20,-12,-5,2039,Deflect,0,292,8,20,-12,-5,10683
2039,Coop,0,280,8,20,-12,-5,2048,Deflect,0,312,8,20,-12,-5,10684
2048,Coop,0,300,8,20,-12,-5,2039,Deflect,0,300,8,20,-12,-5,10685
2039,Coop,0,288,8,20,-12,-5,2048,Deflect,0,320,8,20,-12,-5,10686
2048,Coop,0,308,8,20,-12,-5,2039,Deflect,0,308,8,20,-12,-5,10687
2039,Coop,0,296,8,20,-12,-5,2048,Deflect,0,328,8,20,-12,-5,10688
2048,Coop,0,316,8,20,-12,-5,2039,Deflect,0,316,8,20,-12,-5,10689
2039,Coop,0,304,8,20,-12,-5,2048,Deflect,0,336,8,20,-12,-5,10690
2048,Coop,0,324,8,20,-12,-5,2039,Deflect,0,324,8,20,-12,-5,10691
2039,Coop,0,312,8,20,-12,-5,2048,Deflect,0,344,8,20,-12,-5,10692
2048,Coop,0,332,8,20,-12,-5,2039,Deflect,0,332,8,20,-12,-5,10693
2039,Coop,0,320,8,20,-12,-5,2048,Deflect,0,352,8,20,-12,-5,10694
2048,Coop,0,340,8,20,-12,-5,2039,Deflect,0,340,8,20,-12,-5,10695
2039,Coop,0,328,8,20,-12,-5,2048,Deflect,0,360,8,20,-12,-5,10696
2048,Coop,0,348,8,20,-12,-5,2039,Deflect,0,348,8,20,-12,-5,10697
2039,Coop,0,336,8,20,-12,-5,2048,Deflect,0,368,8,20,-12,-5,10698
2048,Coop,0,356,8,20,-12,-5,2039,Deflect,0,356,8,20,-12,-5,10699
2039,Coop,0,344,8,20,-12,-5,2048,Deflect,0,376,8,20,-12,-5,10700
2048,Coop,0,364,8,20,-12,-5,2039,Deflect,0,364,8,20,-12,-5,10701
2039,Coop,0,352,8,20,-12,-5,2048,Deflect,0,384,8,20,-12,-5,10702
2048,Coop,0,372,8,20,-12,-5,2039,Deflect,0,372,8,20,-12,-5,10703
2039,Coop,0,360,8,20,-12,-5,2048,Deflect,0,392,8,20,-12,-5,10704
2048,Coop,0,380,8,20,-12,-5,2039,Deflect,0,380,8,20,-12,-5,10705
2039,Coop,0,368,8,20,-12,-5,2048,Deflect,0,400,8,20,-12,-5,10706
2048,Coop,0,388,8,20,-12,-5,2039,Deflect,0,388,8,20,-12,-5,10707
2039,Coop,0,376,8,20,-12,-5,2048,Deflect,0,408,8,20,-12,-5,10708
