user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2041,Deflect,0,120,8,20,-12,-5,2043,Coop,0,88,8,20,-12,-5,100169
2043,Coop,0,76,8,20,-12,-5,2041,Deflect,0,140,8,20,-12,-5,100170
2041,Deflect,0,160,8,20,-12,-5,2043,Coop,0,64,8,20,-12,-5,100171
2043,Coop,0,72,8,20,-12,-5,2041,Coop,0,168,8,20,-12,-5,100172
2041,Deflect,0,188,8,20,-12,-5,2043,Coop,0,60,8,20,-12,-5,100173
2043,Coop,0,48,8,20,-12,-5,2041,Deflect,0,208,8,20,-12,-5,100174
2041,Deflect,0,228,8,20,-12,-5,2043,Coop,0,36,8,20,-12,-5,100175
2043,Coop,0,44,8,20,-12,-5,2041,Coop,0,236,8,20,-12,-5,100176
2041,Deflect,0,256,8,20,-12,-5,2043,Coop,0,32,8,20,-12,-5,100177
2043,Coop,0,20,8,20,-12,-5,2041,Deflect,0,276,8,20,-12,-5,100178
2041,Deflect,0,296,8,20,-12,-5,2043,Coop,0,8,8,20,-12,-5,100179
2043,Coop,0,16,8,20,-12,-5,2041,Coop,0,304,8,20,-12,-5,100180
2041,Coop,0,312,8,20,-12,-5,2043,Coop,0,24,8,20,-12,-5,100181
2043,Coop,0,12,8,20,-12,-5,2041,Deflect,0,332,8,20,-12,-5,100182
2041,Coop,0,340,8,20,-12,-5,2043,Coop,0,20,8,20,-12,-5,100183
2043,Coop,0,8,8,20,-12,-5,2041,Deflect,0,360,8,20,-12,-5,100184
2041,Coop,0,368,8,20,-12,-5,2043,Coop,0,16,8,20,-12,-5,100185
2043,Coop,0,24,8,20,-12,-5,2041,Coop,0,376,8,20,-12,-5,100186
2041,Deflect,0,396,8,20,-12,-5,2043,Coop,0,12,8,20,-12,-5,100187
2043,Coop,0,20,8,20,-12,-5,2041,Coop,0,404,8,20,-12,-5,100188
2041,Deflect,0,424,8,20,-12,-5,2043,Coop,0,8,8,20,-12,-5,100189
2043,Coop,0,-4,8,20,-12,-5,2041,Deflect,0,444,8,20,-12,-5,100190
