user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2043,Coop,0,108,8,20,-12,-5,2045,Coop,0,108,8,20,-12,-5,101216
2045,Coop,0,116,8,20,-12,-5,2043,Coop,0,116,8,20,-12,-5,101217
2043,Coop,0,124,8,20,-12,-5,2045,Coop,0,124,8,20,-12,-5,101218
2045,Coop,0,132,8,20,-12,-5,2043,Coop,0,132,8,20,-12,-5,101219
2043,Coop,0,140,8,20,-12,-5,2045,Coop,0,140,8,20,-12,-5,101220
2045,Coop,0,148,8,20,-12,-5,2043,Coop,0,148,8,20,-12,-5,101221
2043,Coop,0,156,8,20,-12,-5,2045,Coop,0,156,8,20,-12,-5,101222
2045,Coop,0,164,8,20,-12,-5,2043,Coop,0,164,8,20,-12,-5,101223
2043,Coop,0,172,8,20,-12,-5,2045,Coop,0,172,8,20,-12,-5,101224
2045,Coop,0,180,8,20,-12,-5,2043,Coop,0,180,8,20,-12,-5,101225
2043,Coop,0,188,8,20,-12,-5,2045,Coop,0,188,8,20,-12,-5,101226
2045,Coop,0,196,8,20,-12,-5,2043,Coop,0,196,8,20,-12,-5,101227
2043,Coop,0,204,8,20,-12,-5,2045,Coop,0,204,8,20,-12,-5,101228
2045,Coop,0,212,8,20,-12,-5,2043,Coop,0,212,8,20,-12,-5,101229
2043,Coop,0,220,8,20,-12,-5,2045,Coop,0,220,8,20,-12,-5,101230
2045,Coop,0,228,8,20,-12,-5,2043,Coop,0,228,8,20,-12,-5,101231
2043,Coop,0,236,8,20,-12,-5,2045,Coop,0,236,8,20,-12,-5,101232
2045,Coop,0,244,8,20,-12,-5,2043,Coop,0,244,8,20,-12,-5,101233
2043,Coop,0,252,8,20,-12,-5,2045,Coop,0,252,8,20,-12,-5,101234
2045,Coop,0,260,8,20,-12,-5,2043,Coop,0,260,8,20,-12,-5,101235
2043,Coop,0,268,8,20,-12,-5,2045,Coop,0,268,8,20,-12,-5,101236
2045,Coop,0,276,8,20,-12,-5,2043,Coop,0,276,8,20,-12,-5,101237
2043,Coop,0,284,8,20,-12,-5,2045,Coop,0,284,8,20,-12,-5,101238
2045,Coop,0,292,8,20,-12,-5,2043,Coop,0,292,8,20,-12,-5,101239
2043,Coop,0,300,8,20,-12,-5,2045,Coop,0,300,8,20,-12,-5,101240
2045,Coop,0,308,8,20,-12,-5,2043,Coop,0,308,8,20,-12,-5,101241
2043,Coop,0,316,8,20,-12,-5,2045,Coop,0,316,8,20,-12,-5,101242
2045,Coop,0,324,8,20,-12,-5,2043,Coop,0,324,8,20,-12,-5,101243
2043,Coop,0,332,8,20,-12,-5,2045,Coop,0,332,8,20,-12,-5,101244
2045,Coop,0,340,8,20,-12,-5,2043,Coop,0,340,8,20,-12,-5,101245
2043,Coop,0,348,8,20,-12,-5,2045,Coop,0,348,8,20,-12,-5,101246
2045,Coop,0,356,8,20,-12,-5,2043,Coop,0,356,8,20,-12,-5,101247
2043,Coop,0,364,8,20,-12,-5,2045,Coop,0,364,8,20,-12,-5,101248
2045,Coop,0,372,8,20,-12,-5,2043,Coop,0,372,8,20,-12,-5,101249
2043,Coop,0,380,8,20,-12,-5,2045,Coop,0,380,8,20,-12,-5,101250
2045,Coop,0,388,8,20,-12,-5,2043,Coop,0,388,8,20,-12,-5,101251
2043,Coop,0,396,8,20,-12,-5,2045,Coop,0,396,8,20,-12,-5,101252
2045,Coop,0,404,8,20,-12,-5,2043,Coop,0,404,8,20,-12,-5,101253
2043,Coop,0,412,8,20,-12,-5,2045,Coop,0,412,8,20,-12,-5,101254
2045,Coop,0,420,8,20,-12,-5,2043,Coop,0,420,8,20,-12,-5,101255
2043,Coop,0,428,8,20,-12,-5,2045,Coop,0,428,8,20,-12,-5,101256
2045,Coop,0,436,8,20,-12,-5,2043,Coop,0,436,8,20,-12,-5,101257
2043,Coop,0,444,8,20,-12,-5,2045,Coop,0,444,8,20,-12,-5,101258
2045,Coop,0,452,8,20,-12,-5,2043,Coop,0,452,8,20,-12,-5,101259
2043,Coop,0,460,8,20,-12,-5,2045,Coop,0,460,8,20,-12,-5,101260
2045,Coop,0,468,8,20,-12,-5,2043,Coop,0,468,8,20,-12,-5,101261
2043,Coop,0,476,8,20,-12,-5,2045,Coop,0,476,8,20,-12,-5,101262
2045,Coop,0,484,8,20,-12,-5,2043,Coop,0,484,8,20,-12,-5,101263
2043,Coop,0,492,8,20,-12,-5,2045,Coop,0,492,8,20,-12,-5,101264
2045,Coop,0,500,8,20,-12,-5,2043,Coop,0,500,8,20,-12,-5,101265
2043,Coop,0,508,8,20,-12,-5,2045,Coop,0,508,8,20,-12,-5,101266
2045,Coop,0,516,8,20,-12,-5,2043,Coop,0,516,8,20,-12,-5,101267
2043,Coop,0,524,8,20,-12,-5,2045,Coop,0,524,8,20,-12,-5,101268
2045,Coop,0,532,8,20,-12,-5,2043,Coop,0,532,8,20,-12,-5,101269
2043,Coop,0,540,8,20,-12,-5,2045,Coop,0,540,8,20,-12,-5,101270
2045,Coop,0,548,8,20,-12,-5,2043,Coop,0,548,8,20,-12,-5,101271
2043,Coop,0,556,8,20,-12,-5,2045,Coop,0,556,8,20,-12,-5,101272
2045,Coop,0,564,8,20,-12,-5,2043,Coop,0,564,8,20,-12,-5,101273
2043,Coop,0,572,8,20,-12,-5,2045,Coop,0,572,8,20,-12,-5,101274
2045,Coop,0,580,8,20,-12,-5,2043,Coop,0,580,8,20,-12,-5,101275
2043,Coop,0,588,8,20,-12,-5,2045,Coop,0,588,8,20,-12,-5,101276
2045,Coop,0,596,8,20,-12,-5,2043,Coop,0,596,8,20,-12,-5,101277
2043,Coop,0,604,8,20,-12,-5,2045,Coop,0,604,8,20,-12,-5,101278
2045,Buy,0,604,8,20,-12,-5,2045,Buy,0,104,9,21,-11,-4,101279
2045,Coop,0,113,9,21,-11,-4,2043,Coop,0,612,8,20,-12,-5,101280
2043,Coop,0,620,8,20,-12,-5,2045,Coop,0,122,9,21,-11,-4,101281
2045,Coop,0,131,9,21,-11,-4,2043,Coop,0,628,8,20,-12,-5,101282
2043,Coop,0,636,8,20,-12,-5,2045,Coop,0,140,9,21,-11,-4,101283
2045,Coop,0,149,9,21,-11,-4,2043,Coop,0,644,8,20,-12,-5,101284
2043,Coop,0,652,8,20,-12,-5,2045,Coop,0,158,9,21,-11,-4,101285
2045,Coop,0,167,9,21,-11,-4,2043,Coop,0,660,8,20,-12,-5,101286
2043,Coop,0,668,8,20,-12,-5,2045,Coop,0,176,9,21,-11,-4,101287
2045,Coop,0,185,9,21,-11,-4,2043,Coop,0,676,8,20,-12,-5,101288
2043,Coop,0,684,8,20,-12,-5,2045,Coop,0,194,9,21,-11,-4,101289
2045,Coop,0,203,9,21,-11,-4,2043,Coop,0,692,8,20,-12,-5,101290
2043,Coop,0,700,8,20,-12,-5,2045,Coop,0,212,9,21,-11,-4,101291
2045,Coop,0,221,9,21,-11,-4,2043,Coop,0,708,8,20,-12,-5,101292
2043,Coop,0,716,8,20,-12,-5,2045,Coop,0,230,9,21,-11,-4,101293
2045,Coop,0,239,9,21,-11,-4,2043,Coop,0,724,8,20,-12,-5,101294
2043,Coop,0,732,8,20,-12,-5,2045,Coop,0,248,9,21,-11,-4,101295
2045,Coop,0,257,9,21,-11,-4,2043,Coop,0,740,8,20,-12,-5,101296
2043,Coop,0,748,8,20,-12,-5,2045,Coop,0,266,9,21,-11,-4,101297
2045,Coop,0,275,9,21,-11,-4,2043,Coop,0,756,8,20,-12,-5,101298
2043,Coop,0,764,8,20,-12,-5,2045,Coop,0,284,9,21,-11,-4,101299
2045,Coop,0,293,9,21,-11,-4,2043,Coop,0,772,8,20,-12,-5,101300
2043,Coop,0,780,8,20,-12,-5,2045,Coop,0,302,9,21,-11,-4,101301
2045,Coop,0,311,9,21,-11,-4,2043,Coop,0,788,8,20,-12,-5,101302
2043,Coop,0,796,8,20,-12,-5,2045,Coop,0,320,9,21,-11,-4,101303
2045,Coop,0,329,9,21,-11,-4,2043,Coop,0,804,8,20,-12,-5,101304
2043,Coop,0,812,8,20,-12,-5,2045,Coop,0,338,9,21,-11,-4,101305
2045,Coop,0,347,9,21,-11,-4,2043,Coop,0,820,8,20,-12,-5,101306
2043,Coop,0,828,8,20,-12,-5,2045,Coop,0,356,9,21,-11,-4,101307
2045,Coop,0,365,9,21,-11,-4,2043,Coop,0,836,8,20,-12,-5,101308
2043,Coop,0,844,8,20,-12,-5,2045,Coop,0,374,9,21,-11,-4,101309
2045,Coop,0,383,9,21,-11,-4,2043,Coop,0,852,8,20,-12,-5,101310
2043,Coop,0,860,8,20,-12,-5,2045,Coop,0,392,9,21,-11,-4,101311
