user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2040,Coop,0,108,8,20,-12,-5,2043,Coop,0,108,8,20,-12,-5,99159
2043,Coop,0,116,8,20,-12,-5,2040,Coop,0,116,8,20,-12,-5,99160
2040,Coop,0,124,8,20,-12,-5,2043,Coop,0,124,8,20,-12,-5,99161
2043,Coop,0,132,8,20,-12,-5,2040,Coop,0,132,8,20,-12,-5,99162
2040,Deflect,0,152,8,20,-12,-5,2043,Coop,0,120,8,20,-12,-5,99163
2043,Coop,0,128,8,20,-12,-5,2040,Coop,0,160,8,20,-12,-5,99164
2040,Coop,0,168,8,20,-12,-5,2043,Coop,0,136,8,20,-12,-5,99165
2043,Coop,0,144,8,20,-12,-5,2040,Coop,0,176,8,20,-12,-5,99166
2040,Coop,0,184,8,20,-12,-5,2043,Coop,0,152,8,20,-12,-5,99167
2043,Coop,0,140,8,20,-12,-5,2040,Deflect,0,204,8,20,-12,-5,99168
2040,Coop,0,212,8,20,-12,-5,2043,Coop,0,148,8,20,-12,-5,99169
2043,Coop,0,156,8,20,-12,-5,2040,Coop,0,220,8,20,-12,-5,99170
2040,Coop,0,228,8,20,-12,-5,2043,Coop,0,164,8,20,-12,-5,99171
2043,Coop,0,172,8,20,-12,-5,2040,Coop,0,236,8,20,-12,-5,99172
2040,Deflect,0,256,8,20,-12,-5,2043,Coop,0,160,8,20,-12,-5,99173
2043,Coop,0,168,8,20,-12,-5,2040,Coop,0,264,8,20,-12,-5,99174
2040,Coop,0,272,8,20,-12,-5,2043,Coop,0,176,8,20,-12,-5,99175
2043,Coop,0,184,8,20,-12,-5,2040,Coop,0,280,8,20,-12,-5,99176
2040,Coop,0,288,8,20,-12,-5,2043,Coop,0,192,8,20,-12,-5,99177
2043,Coop,0,180,8,20,-12,-5,2040,Deflect,0,308,8,20,-12,-5,99178
2040,Coop,0,316,8,20,-12,-5,2043,Coop,0,188,8,20,-12,-5,99179
2043,Coop,0,196,8,20,-12,-5,2040,Coop,0,324,8,20,-12,-5,99180
2040,Coop,0,332,8,20,-12,-5,2043,Coop,0,204,8,20,-12,-5,99181
2043,Coop,0,212,8,20,-12,-5,2040,Coop,0,340,8,20,-12,-5,99182
2040,Deflect,0,360,8,20,-12,-5,2043,Coop,0,200,8,20,-12,-5,99183
2043,Coop,0,208,8,20,-12,-5,2040,Coop,0,368,8,20,-12,-5,99184
2040,Coop,0,376,8,20,-12,-5,2043,Coop,0,216,8,20,-12,-5,99185
2043,Coop,0,224,8,20,-12,-5,2040,Coop,0,384,8,20,-12,-5,99186
2040,Coop,0,392,8,20,-12,-5,2043,Coop,0,232,8,20,-12,-5,99187
2043,Coop,0,220,8,20,-12,-5,2040,Deflect,0,412,8,20,-12,-5,99188
2040,Coop,0,420,8,20,-12,-5,2043,Coop,0,228,8,20,-12,-5,99189
2043,Coop,0,236,8,20,-12,-5,2040,Coop,0,428,8,20,-12,-5,99190
2040,Coop,0,436,8,20,-12,-5,2043,Coop,0,244,8,20,-12,-5,99191
2043,Coop,0,252,8,20,-12,-5,2040,Coop,0,444,8,20,-12,-5,99192
2040,Deflect,0,464,8,20,-12,-5,2043,Coop,0,240,8,20,-12,-5,99193
2043,Coop,0,248,8,20,-12,-5,2040,Coop,0,472,8,20,-12,-5,99194
2040,Coop,0,480,8,20,-12,-5,2043,Coop,0,256,8,20,-12,-5,99195
2043,Coop,0,264,8,20,-12,-5,2040,Coop,0,488,8,20,-12,-5,99196
2040,Coop,0,496,8,20,-12,-5,2043,Coop,0,272,8,20,-12,-5,99197
2043,Coop,0,260,8,20,-12,-5,2040,Deflect,0,516,8,20,-12,-5,99198
2040,Coop,0,524,8,20,-12,-5,2043,Coop,0,268,8,20,-12,-5,99199
2043,Coop,0,276,8,20,-12,-5,2040,Coop,0,532,8,20,-12,-5,99200
2040,Coop,0,540,8,20,-12,-5,2043,Coop,0,284,8,20,-12,-5,99201
2043,Coop,0,292,8,20,-12,-5,2040,Coop,0,548,8,20,-12,-5,99202
2040,Deflect,0,568,8,20,-12,-5,2043,Coop,0,280,8,20,-12,-5,99203
2043,Coop,0,288,8,20,-12,-5,2040,Coop,0,576,8,20,-12,-5,99204
2040,Coop,0,584,8,20,-12,-5,2043,Coop,0,296,8,20,-12,-5,99205
2043,Coop,0,304,8,20,-12,-5,2040,Coop,0,592,8,20,-12,-5,99206
2040,Coop,0,600,8,20,-12,-5,2043,Coop,0,312,8,20,-12,-5,99207
2043,Coop,0,300,8,20,-12,-5,2040,Deflect,0,620,8,20,-12,-5,99208
2040,Buy,0,620,8,20,-12,-5,2040,Buy,0,120,9,21,-11,-4,99209
2040,Coop,0,129,9,21,-11,-4,2043,Coop,0,308,8,20,-12,-5,99210
2043,Coop,0,316,8,20,-12,-5,2040,Coop,0,138,9,21,-11,-4,99211
2040,Coop,0,147,9,21,-11,-4,2043,Coop,0,324,8,20,-12,-5,99212
2043,Coop,0,332,8,20,-12,-5,2040,Coop,0,156,9,21,-11,-4,99213
2040,Deflect,0,177,9,21,-11,-4,2043,Coop,0,320,8,20,-12,-5,99214
2043,Coop,0,328,8,20,-12,-5,2040,Coop,0,186,9,21,-11,-4,99215
2040,Coop,0,195,9,21,-11,-4,2043,Coop,0,336,8,20,-12,-5,99216
2043,Coop,0,344,8,20,-12,-5,2040,Coop,0,204,9,21,-11,-4,99217
2040,Coop,0,213,9,21,-11,-4,2043,Coop,0,352,8,20,-12,-5,99218
2043,Coop,0,340,8,20,-12,-5,2040,Deflect,0,234,9,21,-11,-4,99219
2040,Coop,0,243,9,21,-11,-4,2043,Coop,0,348,8,20,-12,-5,99220
2043,Coop,0,356,8,20,-12,-5,2040,Coop,0,252,9,21,-11,-4,99221
2040,Coop,0,261,9,21,-11,-4,2043,Coop,0,364,8,20,-12,-5,99222
2043,Coop,0,372,8,20,-12,-5,2040,Coop,0,270,9,21,-11,-4,99223
2040,Deflect,0,291,9,21,-11,-4,2043,Coop,0,360,8,20,-12,-5,99224
2043,Coop,0,368,8,20,-12,-5,2040,Coop,0,300,9,21,-11,-4,99225
2040,Coop,0,309,9,21,-11,-4,2043,Coop,0,376,8,20,-12,-5,99226
2043,Coop,0,384,8,20,-12,-5,2040,Coop,0,318,9,21,-11,-4,99227
2040,Coop,0,327,9,21,-11,-4,2043,Coop,0,392,8,20,-12,-5,99228
2043,Coop,0,380,8,20,-12,-5,2040,Deflect,0,348,9,21,-11,-4,99229
2040,Coop,0,357,9,21,-11,-4,2043,Coop,0,388,8,20,-12,-5,99230
2043,Coop,0,396,8,20,-12,-5,2040,Coop,0,366,9,21,-11,-4,99231
2040,Coop,0,375,9,21,-11,-4,2043,Coop,0,404,8,20,-12,-5,99232
2043,Coop,0,412,8,20,-12,-5,2040,Coop,0,384,9,21,-11,-4,99233
2040,Deflect,0,405,9,21,-11,-4,2043,Coop,0,400,8,20,-12,-5,99234
2043,Coop,0,408,8,20,-12,-5,2040,Coop,0,414,9,21,-11,-4,99235
2040,Coop,0,423,9,21,-11,-4,2043,Coop,0,416,8,20,-12,-5,99236
2043,Coop,0,424,8,20,-12,-5,2040,Coop,0,432,9,21,-11,-4,99237
2040,Coop,0,441,9,21,-11,-4,2043,Coop,0,432,8,20,-12,-5,99238
2043,Coop,0,420,8,20,-12,-5,2040,Deflect,0,462,9,21,-11,-4,99239
2040,Coop,0,471,9,21,-11,-4,2043,Coop,0,428,8,20,-12,-5,99240
2043,Coop,0,436,8,20,-12,-5,2040,Coop,0,480,9,21,-11,-4,99241
2040,Coop,0,489,9,21,-11,-4,2043,Coop,0,444,8,20,-12,-5,99242
