user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2043,Coop,0,108,8,20,-12,-5,2047,Coop,0,108,8,20,-12,-5,102327
2047,Coop,0,116,8,20,-12,-5,2043,Coop,0,116,8,20,-12,-5,102328
2043,Coop,0,124,8,20,-12,-5,2047,Coop,0,124,8,20,-12,-5,102329
2047,Coop,0,132,8,20,-12,-5,2043,Coop,0,132,8,20,-12,-5,102330
2043,Coop,0,140,8,20,-12,-5,2047,Coop,0,140,8,20,-12,-5,102331
2047,Coop,0,148,8,20,-12,-5,2043,Coop,0,148,8,20,-12,-5,102332
2043,Coop,0,156,8,20,-12,-5,2047,Coop,0,156,8,20,-12,-5,102333
2047,Coop,0,164,8,20,-12,-5,2043,Coop,0,164,8,20,-12,-5,102334
2043,Coop,0,172,8,20,-12,-5,2047,Coop,0,172,8,20,-12,-5,102335
2047,Coop,0,180,8,20,-12,-5,2043,Coop,0,180,8,20,-12,-5,102336
2043,Coop,0,188,8,20,-12,-5,2047,Coop,0,188,8,20,-12,-5,102337
2047,Coop,0,196,8,20,-12,-5,2043,Coop,0,196,8,20,-12,-5,102338
2043,Coop,0,204,8,20,-12,-5,2047,Coop,0,204,8,20,-12,-5,102339
2047,Coop,0,212,8,20,-12,-5,2043,Coop,0,212,8,20,-12,-5,102340
2043,Coop,0,220,8,20,-12,-5,2047,Coop,0,220,8,20,-12,-5,102341
2047,Coop,0,228,8,20,-12,-5,2043,Coop,0,228,8,20,-12,-5,102342
2043,Coop,0,236,8,20,-12,-5,2047,Coop,0,236,8,20,-12,-5,102343
2047,Coop,0,244,8,20,-12,-5,2043,Coop,0,244,8,20,-12,-5,102344
2043,Coop,0,252,8,20,-12,-5,2047,Coop,0,252,8,20,-12,-5,102345
2047,Coop,0,260,8,20,-12,-5,2043,Coop,0,260,8,20,-12,-5,102346
2043,Coop,0,268,8,20,-12,-5,2047,Coop,0,268,8,20,-12,-5,102347
2047,Coop,0,276,8,20,-12,-5,2043,Coop,0,276,8,20,-12,-5,102348
2043,Coop,0,284,8,20,-12,-5,2047,Coop,0,284,8,20,-12,-5,102349
2047,Coop,0,292,8,20,-12,-5,2043,Coop,0,292,8,20,-12,-5,102350
2043,Coop,0,300,8,20,-12,-5,2047,Coop,0,300,8,20,-12,-5,102351
2047,Coop,0,308,8,20,-12,-5,2043,Coop,0,308,8,20,-12,-5,102352
2043,Coop,0,316,8,20,-12,-5,2047,Coop,0,316,8,20,-12,-5,102353
2047,Coop,0,324,8,20,-12,-5,2043,Coop,0,324,8,20,-12,-5,102354
2043,Coop,0,332,8,20,-12,-5,2047,Coop,0,332,8,20,-12,-5,102355
2047,Coop,0,340,8,20,-12,-5,2043,Coop,0,340,8,20,-12,-5,102356
2043,Coop,0,348,8,20,-12,-5,2047,Coop,0,348,8,20,-12,-5,102357
2047,Coop,0,356,8,20,-12,-5,2043,Coop,0,356,8,20,-12,-5,102358
2043,Coop,0,364,8,20,-12,-5,2047,Coop,0,364,8,20,-12,-5,102359
2047,Coop,0,372,8,20,-12,-5,2043,Coop,0,372,8,20,-12,-5,102360
2043,Coop,0,380,8,20,-12,-5,2047,Coop,0,380,8,20,-12,-5,102361
2047,Coop,0,388,8,20,-12,-5,2043,Coop,0,388,8,20,-12,-5,102362
2043,Coop,0,396,8,20,-12,-5,2047,Coop,0,396,8,20,-12,-5,102363
2047,Coop,0,404,8,20,-12,-5,2043,Coop,0,404,8,20,-12,-5,102364
2043,Coop,0,412,8,20,-12,-5,2047,Coop,0,412,8,20,-12,-5,102365
2047,Coop,0,420,8,20,-12,-5,2043,Coop,0,420,8,20,-12,-5,102366
2043,Coop,0,428,8,20,-12,-5,2047,Coop,0,428,8,20,-12,-5,102367
2047,Coop,0,436,8,20,-12,-5,2043,Coop,0,436,8,20,-12,-5,102368
2043,Coop,0,444,8,20,-12,-5,2047,Coop,0,444,8,20,-12,-5,102369
2047,Coop,0,452,8,20,-12,-5,2043,Coop,0,452,8,20,-12,-5,102370
2043,Coop,0,460,8,20,-12,-5,2047,Coop,0,460,8,20,-12,-5,102371
2047,Coop,0,468,8,20,-12,-5,2043,Coop,0,468,8,20,-12,-5,102372
2043,Coop,0,476,8,20,-12,-5,2047,Coop,0,476,8,20,-12,-5,102373
2047,Coop,0,484,8,20,-12,-5,2043,Coop,0,484,8,20,-12,-5,102374
2043,Coop,0,492,8,20,-12,-5,2047,Coop,0,492,8,20,-12,-5,102375
2047,Coop,0,500,8,20,-12,-5,2043,Coop,0,500,8,20,-12,-5,102376
2043,Coop,0,508,8,20,-12,-5,2047,Coop,0,508,8,20,-12,-5,102377
2047,Coop,0,516,8,20,-12,-5,2043,Coop,0,516,8,20,-12,-5,102378
2043,Coop,0,524,8,20,-12,-5,2047,Coop,0,524,8,20,-12,-5,102379
2047,Coop,0,532,8,20,-12,-5,2043,Coop,0,532,8,20,-12,-5,102380
2043,Coop,0,540,8,20,-12,-5,2047,Coop,0,540,8,20,-12,-5,102381
2047,Coop,0,548,8,20,-12,-5,2043,Coop,0,548,8,20,-12,-5,102382
2043,Coop,0,556,8,20,-12,-5,2047,Coop,0,556,8,20,-12,-5,102383
2047,Coop,0,564,8,20,-12,-5,2043,Coop,0,564,8,20,-12,-5,102384
2043,Coop,0,572,8,20,-12,-5,2047,Coop,0,572,8,20,-12,-5,102385
2047,Coop,0,580,8,20,-12,-5,2043,Coop,0,580,8,20,-12,-5,102386
2043,Coop,0,588,8,20,-12,-5,2047,Coop,0,588,8,20,-12,-5,102387
2047,Coop,0,596,8,20,-12,-5,2043,Coop,0,596,8,20,-12,-5,102388
2043,Coop,0,604,8,20,-12,-5,2047,Coop,0,604,8,20,-12,-5,102389
2047,Buy,0,604,8,20,-12,-5,2047,Buy,0,104,9,21,-11,-4,102390
2047,Coop,0,113,9,21,-11,-4,2043,Coop,0,612,8,20,-12,-5,102391
2043,Coop,0,620,8,20,-12,-5,2047,Coop,0,122,9,21,-11,-4,102392
2047,Coop,0,131,9,21,-11,-4,2043,Coop,0,628,8,20,-12,-5,102393
2043,Coop,0,636,8,20,-12,-5,2047,Coop,0,140,9,21,-11,-4,102394
2047,Coop,0,149,9,21,-11,-4,2043,Coop,0,644,8,20,-12,-5,102395
2043,Coop,0,652,8,20,-12,-5,2047,Coop,0,158,9,21,-11,-4,102396
2047,Coop,0,167,9,21,-11,-4,2043,Coop,0,660,8,20,-12,-5,102397
2043,Coop,0,668,8,20,-12,-5,2047,Coop,0,176,9,21,-11,-4,102398
2047,Coop,0,185,9,21,-11,-4,2043,Coop,0,676,8,20,-12,-5,102399
2043,Coop,0,684,8,20,-12,-5,2047,Coop,0,194,9,21,-11,-4,102400
2047,Coop,0,203,9,21,-11,-4,2043,Coop,0,692,8,20,-12,-5,102401
2043,Coop,0,700,8,20,-12,-5,2047,Coop,0,212,9,21,-11,-4,102402
2047,Coop,0,221,9,21,-11,-4,2043,Coop,0,708,8,20,-12,-5,102403
2043,Coop,0,716,8,20,-12,-5,2047,Coop,0,230,9,21,-11,-4,102404
2047,Coop,0,239,9,21,-11,-4,2043,Coop,0,724,8,20,-12,-5,102405
2043,Coop,0,732,8,20,-12,-5,2047,Coop,0,248,9,21,-11,-4,102406
2047,Coop,0,257,9,21,-11,-4,2043,Coop,0,740,8,20,-12,-5,102407
2043,Coop,0,748,8,20,-12,-5,2047,Coop,0,266,9,21,-11,-4,102408
2047,Coop,0,275,9,21,-11,-4,2043,Coop,0,756,8,20,-12,-5,102409
2043,Coop,0,764,8,20,-12,-5,2047,Coop,0,284,9,21,-11,-4,102410
2047,Coop,0,293,9,21,-11,-4,2043,Coop,0,772,8,20,-12,-5,102411
2043,Coop,0,780,8,20,-12,-5,2047,Coop,0,302,9,21,-11,-4,102412
2047,Coop,0,311,9,21,-11,-4,2043,Coop,0,788,8,20,-12,-5,102413
2043,Coop,0,796,8,20,-12,-5,2047,Coop,0,320,9,21,-11,-4,102414
2047,Coop,0,329,9,21,-11,-4,2043,Coop,0,804,8,20,-12,-5,102415
2043,Coop,0,812,8,20,-12,-5,2047,Coop,0,338,9,21,-11,-4,102416
2047,Coop,0,347,9,21,-11,-4,2043,Coop,0,820,8,20,-12,-5,102417
2043,Coop,0,828,8,20,-12,-5,2047,Coop,0,356,9,21,-11,-4,102418
