user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2043,Coop,0,88,8,20,-12,-5,2048,Deflect,0,120,8,20,-12,-5,103498
2048,Coop,0,128,8,20,-12,-5,2043,Coop,0,96,8,20,-12,-5,103499
2043,Coop,0,84,8,20,-12,-5,2048,Deflect,0,148,8,20,-12,-5,103500
2048,Coop,0,156,8,20,-12,-5,2043,Coop,0,92,8,20,-12,-5,103501
2043,Coop,0,80,8,20,-12,-5,2048,Deflect,0,176,8,20,-12,-5,103502
2048,Coop,0,184,8,20,-12,-5,2043,Coop,0,88,8,20,-12,-5,103503
2043,Coop,0,76,8,20,-12,-5,2048,Deflect,0,204,8,20,-12,-5,103504
2048,Coop,0,212,8,20,-12,-5,2043,Coop,0,84,8,20,-12,-5,103505
2043,Coop,0,72,8,20,-12,-5,2048,Deflect,0,232,8,20,-12,-5,103506
2048,Coop,0,240,8,20,-12,-5,2043,Coop,0,80,8,20,-12,-5,103507
2043,Coop,0,68,8,20,-12,-5,2048,Deflect,0,260,8,20,-12,-5,103508
2048,Coop,0,268,8,20,-12,-5,2043,Coop,0,76,8,20,-12,-5,103509
2043,Coop,0,64,8,20,-12,-5,2048,Deflect,0,288,8,20,-12,-5,103510
2048,Coop,0,296,8,20,-12,-5,2043,Coop,0,72,8,20,-12,-5,103511
2043,Coop,0,60,8,20,-12,-5,2048,Deflect,0,316,8,20,-12,-5,103512
2048,Coop,0,324,8,20,-12,-5,2043,Coop,0,68,8,20,-12,-5,103513
2043,Coop,0,56,8,20,-12,-5,2048,Deflect,0,344,8,20,-12,-5,103514
2048,Coop,0,352,8,20,-12,-5,2043,Coop,0,64,8,20,-12,-5,103515
2043,Coop,0,52,8,20,-12,-5,2048,Deflect,0,372,8,20,-12,-5,103516
2048,Coop,0,380,8,20,-12,-5,2043,Coop,0,60,8,20,-12,-5,103517
2043,Coop,0,48,8,20,-12,-5,2048,Deflect,0,400,8,20,-12,-5,103518
2048,Coop,0,408,8,20,-12,-5,2043,Coop,0,56,8,20,-12,-5,103519
2043,Coop,0,44,8,20,-12,-5,2048,Deflect,0,428,8,20,-12,-5,103520
2048,Coop,0,436,8,20,-12,-5,2043,Coop,0,52,8,20,-12,-5,103521
2043,Coop,0,40,8,20,-12,-5,2048,Deflect,0,456,8,20,-12,-5,103522
2048,Coop,0,464,8,20,-12,-5,2043,Coop,0,48,8,20,-12,-5,103523
2043,Coop,0,36,8,20,-12,-5,2048,Deflect,0,484,8,20,-12,-5,103524
2048,Coop,0,492,8,20,-12,-5,2043,Coop,0,44,8,20,-12,-5,103525
2043,Coop,0,32,8,20,-12,-5,2048,Deflect,0,512,8,20,-12,-5,103526
2048,Coop,0,520,8,20,-12,-5,2043,Coop,0,40,8,20,-12,-5,103527
2043,Coop,0,28,8,20,-12,-5,2048,Deflect,0,540,8,20,-12,-5,103528
2048,Coop,0,548,8,20,-12,-5,2043,Coop,0,36,8,20,-12,-5,103529
2043,Coop,0,24,8,20,-12,-5,2048,Deflect,0,568,8,20,-12,-5,103530
2048,Coop,0,576,8,20,-12,-5,2043,Coop,0,32,8,20,-12,-5,103531
2043,Coop,0,20,8,20,-12,-5,2048,Deflect,0,596,8,20,-12,-5,103532
2048,Coop,0,604,8,20,-12,-5,2043,Coop,0,28,8,20,-12,-5,103533
2048,Buy,0,604,8,20,-12,-5,2048,Buy,0,104,9,21,-11,-4,103534
2043,Coop,0,16,8,20,-12,-5,2048,Deflect,0,125,9,21,-11,-4,103535
2048,Coop,0,134,9,21,-11,-4,2043,Coop,0,24,8,20,-12,-5,103536
2043,Coop,0,12,8,20,-12,-5,2048,Deflect,0,155,9,21,-11,-4,103537
2048,Coop,0,164,9,21,-11,-4,2043,Coop,0,20,8,20,-12,-5,103538
2043,Coop,0,8,8,20,-12,-5,2048,Deflect,0,185,9,21,-11,-4,103539
2048,Coop,0,194,9,21,-11,-4,2043,Coop,0,16,8,20,-12,-5,103540
2043,Coop,0,4,8,20,-12,-5,2048,Deflect,0,215,9,21,-11,-4,103541
2048,Coop,0,224,9,21,-11,-4,2043,Coop,0,12,8,20,-12,-5,103542
2043,Coop,0,0,8,20,-12,-5,2048,Deflect,0,245,9,21,-11,-4,103543
