user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2041,Deflect,0,95,8,20,-12,-5,2042,Deflect,0,95,8,20,-12,-5,98008
2042,Deflect,0,115,8,20,-12,-5,2041,Coop,0,83,8,20,-12,-5,98009
2041,Deflect,0,78,8,20,-12,-5,2042,Deflect,0,110,8,20,-12,-5,98010
2042,Deflect,0,105,8,20,-12,-5,2041,Deflect,0,73,8,20,-12,-5,98011
2041,Deflect,0,68,8,20,-12,-5,2042,Deflect,0,100,8,20,-12,-5,98012
2042,Deflect,0,120,8,20,-12,-5,2041,Coop,0,56,8,20,-12,-5,98013
2041,Coop,0,44,8,20,-12,-5,2042,Deflect,0,140,8,20,-12,-5,98014
2042,Deflect,0,135,8,20,-12,-5,2041,Deflect,0,39,8,20,-12,-5,98015
2041,Deflect,0,34,8,20,-12,-5,2042,Deflect,0,130,8,20,-12,-5,98016
2042,Deflect,0,150,8,20,-12,-5,2041,Coop,0,22,8,20,-12,-5,98017
2041,Deflect,0,17,8,20,-12,-5,2042,Deflect,0,145,8,20,-12,-5,98018
2042,Deflect,0,140,8,20,-12,-5,2041,Deflect,0,12,8,20,-12,-5,98019
2041,Coop,0,0,8,20,-12,-5,2042,Deflect,0,160,8,20,-12,-5,98020
