user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2041,Deflect,0,120,8,20,-12,-5,2047,Coop,0,88,8,20,-12,-5,113045
2047,Deflect,0,83,8,20,-12,-5,2041,Deflect,0,115,8,20,-12,-5,113046
2041,Deflect,0,110,8,20,-12,-5,2047,Deflect,0,78,8,20,-12,-5,113047
2047,Deflect,0,98,8,20,-12,-5,2041,Coop,0,98,8,20,-12,-5,113048
2041,Deflect,0,93,8,20,-12,-5,2047,Deflect,0,93,8,20,-12,-5,113049
2047,Deflect,0,113,8,20,-12,-5,2041,Coop,0,81,8,20,-12,-5,113050
2041,Deflect,0,76,8,20,-12,-5,2047,Deflect,0,108,8,20,-12,-5,113051
2047,Deflect,0,103,8,20,-12,-5,2041,Deflect,0,71,8,20,-12,-5,113052
2041,Deflect,0,66,8,20,-12,-5,2047,Deflect,0,98,8,20,-12,-5,113053
2047,Deflect,0,93,8,20,-12,-5,2041,Deflect,0,61,8,20,-12,-5,113054
2041,Deflect,0,56,8,20,-12,-5,2047,Deflect,0,88,8,20,-12,-5,113055
2047,Deflect,0,83,8,20,-12,-5,2041,Deflect,0,51,8,20,-12,-5,113056
2041,Coop,0,39,8,20,-12,-5,2047,Deflect,0,103,8,20,-12,-5,113057
2047,Deflect,0,98,8,20,-12,-5,2041,Deflect,0,34,8,20,-12,-5,113058
2041,Coop,0,22,8,20,-12,-5,2047,Deflect,0,118,8,20,-12,-5,113059
2047,Deflect,0,113,8,20,-12,-5,2041,Deflect,0,17,8,20,-12,-5,113060
2041,Coop,0,5,8,20,-12,-5,2047,Deflect,0,133,8,20,-12,-5,113061
2047,Deflect,0,153,8,20,-12,-5,2041,Coop,0,-7,8,20,-12,-5,113062
