user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2040,Coop,0,108,8,20,-12,-5,2047,Coop,0,108,8,20,-12,-5,112992
2047,Coop,0,116,8,20,-12,-5,2040,Coop,0,116,8,20,-12,-5,112993
2040,Coop,0,124,8,20,-12,-5,2047,Coop,0,124,8,20,-12,-5,112994
2047,Coop,0,132,8,20,-12,-5,2040,Coop,0,132,8,20,-12,-5,112995
2040,Deflect,0,152,8,20,-12,-5,2047,Coop,0,120,8,20,-12,-5,112996
2047,Deflect,0,140,8,20,-12,-5,2040,Coop,0,140,8,20,-12,-5,112997
2040,Deflect,0,135,8,20,-12,-5,2047,Deflect,0,135,8,20,-12,-5,112998
2047,Deflect,0,130,8,20,-12,-5,2040,Deflect,0,130,8,20,-12,-5,112999
2040,Deflect,0,125,8,20,-12,-5,2047,Deflect,0,125,8,20,-12,-5,113000
2047,Deflect,0,120,8,20,-12,-5,2040,Deflect,0,120,8,20,-12,-5,113001
2040,Deflect,0,115,8,20,-12,-5,2047,Deflect,0,115,8,20,-12,-5,113002
2047,Deflect,0,110,8,20,-12,-5,2040,Deflect,0,110,8,20,-12,-5,113003
2040,Deflect,0,105,8,20,-12,-5,2047,Deflect,0,105,8,20,-12,-5,113004
2047,Deflect,0,100,8,20,-12,-5,2040,Deflect,0,100,8,20,-12,-5,113005
2040,Deflect,0,95,8,20,-12,-5,2047,Deflect,0,95,8,20,-12,-5,113006
2047,Deflect,0,90,8,20,-12,-5,2040,Deflect,0,90,8,20,-12,-5,113007
2040,Deflect,0,85,8,20,-12,-5,2047,Deflect,0,85,8,20,-12,-5,113008
2047,Deflect,0,80,8,20,-12,-5,2040,Deflect,0,80,8,20,-12,-5,113009
2040,Deflect,0,75,8,20,-12,-5,2047,Deflect,0,75,8,20,-12,-5,113010
2047,Deflect,0,70,8,20,-12,-5,2040,Deflect,0,70,8,20,-12,-5,113011
2040,Deflect,0,65,8,20,-12,-5,2047,Deflect,0,65,8,20,-12,-5,113012
2047,Deflect,0,60,8,20,-12,-5,2040,Deflect,0,60,8,20,-12,-5,113013
2040,Deflect,0,55,8,20,-12,-5,2047,Deflect,0,55,8,20,-12,-5,113014
2047,Deflect,0,50,8,20,-12,-5,2040,Deflect,0,50,8,20,-12,-5,113015
2040,Deflect,0,45,8,20,-12,-5,2047,Deflect,0,45,8,20,-12,-5,113016
2047,Deflect,0,40,8,20,-12,-5,2040,Deflect,0,40,8,20,-12,-5,113017
2040,Deflect,0,35,8,20,-12,-5,2047,Deflect,0,35,8,20,-12,-5,113018
2047,Deflect,0,30,8,20,-12,-5,2040,Deflect,0,30,8,20,-12,-5,113019
2040,Deflect,0,25,8,20,-12,-5,2047,Deflect,0,25,8,20,-12,-5,113020
2047,Deflect,0,20,8,20,-12,-5,2040,Deflect,0,20,8,20,-12,-5,113021
2040,Deflect,0,15,8,20,-12,-5,2047,Deflect,0,15,8,20,-12,-5,113022
2047,Deflect,0,10,8,20,-12,-5,2040,Deflect,0,10,8,20,-12,-5,113023
2040,Deflect,0,5,8,20,-12,-5,2047,Deflect,0,5,8,20,-12,-5,113024
2047,Deflect,0,0,8,20,-12,-5,2040,Deflect,0,0,8,20,-12,-5,113025
