user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2046,Deflect,0,120,8,20,-12,-5,2047,Coop,0,88,8,20,-12,-5,111884
2047,Deflect,0,108,8,20,-12,-5,2046,Coop,0,108,8,20,-12,-5,111885
2046,Coop,0,96,8,20,-12,-5,2047,Deflect,0,128,8,20,-12,-5,111886
2047,Deflect,0,123,8,20,-12,-5,2046,Deflect,0,91,8,20,-12,-5,111887
2046,Deflect,0,86,8,20,-12,-5,2047,Deflect,0,118,8,20,-12,-5,111888
2047,Deflect,0,113,8,20,-12,-5,2046,Deflect,0,81,8,20,-12,-5,111889
2046,Deflect,0,76,8,20,-12,-5,2047,Deflect,0,108,8,20,-12,-5,111890
2047,Deflect,0,103,8,20,-12,-5,2046,Deflect,0,71,8,20,-12,-5,111891
2046,Deflect,0,66,8,20,-12,-5,2047,Deflect,0,98,8,20,-12,-5,111892
2047,Deflect,0,93,8,20,-12,-5,2046,Deflect,0,61,8,20,-12,-5,111893
2046,Deflect,0,56,8,20,-12,-5,2047,Deflect,0,88,8,20,-12,-5,111894
2047,Deflect,0,83,8,20,-12,-5,2046,Deflect,0,51,8,20,-12,-5,111895
2046,Deflect,0,46,8,20,-12,-5,2047,Deflect,0,78,8,20,-12,-5,111896
2047,Deflect,0,73,8,20,-12,-5,2046,Deflect,0,41,8,20,-12,-5,111897
2046,Deflect,0,36,8,20,-12,-5,2047,Deflect,0,68,8,20,-12,-5,111898
2047,Deflect,0,63,8,20,-12,-5,2046,Deflect,0,31,8,20,-12,-5,111899
2046,Deflect,0,26,8,20,-12,-5,2047,Deflect,0,58,8,20,-12,-5,111900
2047,Deflect,0,53,8,20,-12,-5,2046,Deflect,0,21,8,20,-12,-5,111901
2046,Deflect,0,16,8,20,-12,-5,2047,Deflect,0,48,8,20,-12,-5,111902
2047,Deflect,0,43,8,20,-12,-5,2046,Deflect,0,11,8,20,-12,-5,111903
2046,Deflect,0,6,8,20,-12,-5,2047,Deflect,0,38,8,20,-12,-5,111904
2047,Deflect,0,33,8,20,-12,-5,2046,Deflect,0,1,8,20,-12,-5,111905
2046,Deflect,0,-4,8,20,-12,-5,2047,Deflect,0,28,8,20,-12,-5,111906
