user1_id,choice_type,game_nr,m_points,coopcoop,coopdeflect,deflectcoop,deflectdeflect,user2_id,choice_type2,game2_nr,m_points2,coopcoop2,coopdeflect2,deflectcoop2,deflectdeflect2,ID
2046,Deflect,0,95,8,20,-12,-5,2051,Deflect,0,95,8,20,-12,-5,111925
2051,Coop,0,103,8,20,-12,-5,2046,Coop,0,103,8,20,-12,-5,111926
2046,Coop,0,111,8,20,-12,-5,2051,Coop,0,111,8,20,-12,-5,111927
2051,Deflect,0,106,8,20,-12,-5,2046,Deflect,0,106,8,20,-12,-5,111928
2046,Deflect,0,101,8,20,-12,-5,2051,Deflect,0,101,8,20,-12,-5,111929
2051,Deflect,0,96,8,20,-12,-5,2046,Deflect,0,96,8,20,-12,-5,111930
2046,Deflect,0,91,8,20,-12,-5,2051,Deflect,0,91,8,20,-12,-5,111931
2051,Deflect,0,86,8,20,-12,-5,2046,Deflect,0,86,8,20,-12,-5,111932
2046,Deflect,0,81,8,20,-12,-5,2051,Deflect,0,81,8,20,-12,-5,111933
2051,Deflect,0,76,8,20,-12,-5,2046,Deflect,0,76,8,20,-12,-5,111934
2046,Deflect,0,71,8,20,-12,-5,2051,Deflect,0,71,8,20,-12,-5,111935
2051,Deflect,0,66,8,20,-12,-5,2046,Deflect,0,66,8,20,-12,-5,111936
2046,Deflect,0,61,8,20,-12,-5,2051,Deflect,0,61,8,20,-12,-5,111937
2051,Deflect,0,56,8,20,-12,-5,2046,Deflect,0,56,8,20,-12,-5,111938
2046,Deflect,0,51,8,20,-12,-5,2051,Deflect,0,51,8,20,-12,-5,111939
2051,Deflect,0,46,8,20,-12,-5,2046,Deflect,0,46,8,20,-12,-5,111940
2046,Deflect,0,41,8,20,-12,-5,2051,Deflect,0,41,8,20,-12,-5,111941
2051,Deflect,0,36,8,20,-12,-5,2046,Deflect,0,36,8,20,-12,-5,111942
2046,Deflect,0,31,8,20,-12,-5,2051,Deflect,0,31,8,20,-12,-5,111943
2051,Deflect,0,26,8,20,-12,-5,2046,Deflect,0,26,8,20,-12,-5,111944
2046,Deflect,0,21,8,20,-12,-5,2051,Deflect,0,21,8,20,-12,-5,111945
2051,Deflect,0,16,8,20,-12,-5,2046,Deflect,0,16,8,20,-12,-5,111946
2046,Deflect,0,11,8,20,-12,-5,2051,Deflect,0,11,8,20,-12,-5,111947
2051,Deflect,0,6,8,20,-12,-5,2046,Deflect,0,6,8,20,-12,-5,111948
2046,Deflect,0,1,8,20,-12,-5,2051,Deflect,0,1,8,20,-12,-5,111949
2051,Deflect,0,-4,8,20,-12,-5,2046,Deflect,0,-4,8,20,-12,-5,111950
